analysis_status,family,value,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H2_events,2024H1_events,2024H2_events,2023H1_mean_net_bp,2023H2_mean_net_bp,2024H1_mean_net_bp,2024H2_mean_net_bp,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided,passes_original_full_gate
posthoc_single_coordinate_hypothesis_only,k1_min_body_ratio,0.65,100,3.9144355628506817,-16.085564437149326,-40.68424232561594,0.37,0.5290052056092792,-0.41315793492317465,-0.41539069101988524,24,61,12,3,21,True,-18.927951453059116,-26.33319522810579,22,21,27,30,-26.33319522810579,-20.40496690658817,-10.705194238271407,-10.389386640830836,100,5.483494666130208,0.23126768732312677,False
posthoc_single_coordinate_hypothesis_only,k1_min_body_ratio,0.7,89,8.289072286036795,-11.710927713963208,-39.15549262929917,0.39325842696629215,0.6256054937325579,-0.3436924145685628,-0.36614237997195354,23,52,11,3,19,True,-19.48915722724982,-22.888852658120115,20,19,25,25,-22.888852658120115,-20.320282008105785,-9.083644665425956,1.147238456373429,89,8.06944806369637,0.15982840171598284,False
posthoc_single_coordinate_hypothesis_only,k1_min_body_ratio,0.75,67,5.901889844626936,-14.09811015537307,-39.9262727906746,0.373134328358209,0.5695988180043605,-0.28052007072635254,-0.2832574736736623,18,41,7,1,15,False,-19.10859957682431,-19.40275306059778,17,16,19,15,-19.40275306059778,-18.69139373102324,-5.555601612512142,-14.007189869715372,67,5.649285729737428,0.26356736432635675,False
posthoc_single_coordinate_hypothesis_only,k1_min_body_ratio,0.8,48,7.22255496685309,-12.777445033146911,-38.64630389731781,0.3958333333333333,0.5850192081590957,-0.18666092051034322,-0.18975542906126952,14,28,5,1,9,False,-15.879096255736982,-20.490581130861987,13,9,15,11,-20.490581130861987,-4.09460426497882,-8.242200963900402,-16.95048673150278,48,4.4242770238961935,0.3181768182318177,False
posthoc_single_coordinate_hypothesis_only,k2_touch_depth_atr_min,0.0,100,3.9144355628506817,-16.085564437149326,-40.68424232561594,0.37,0.5290052056092792,-0.41315793492317465,-0.41539069101988524,24,61,12,3,21,True,-18.927951453059116,-26.33319522810579,22,21,27,30,-26.33319522810579,-20.40496690658817,-10.705194238271407,-10.389386640830836,100,5.483494666130208,0.23126768732312677,False
posthoc_single_coordinate_hypothesis_only,k2_touch_depth_atr_min,0.1,83,2.12041293322715,-17.879587066772853,-40.780108028095604,0.3614457831325301,0.4936703346690069,-0.37167492433797245,-0.3740655107101625,19,51,10,3,18,True,-19.831270549444476,-22.347055891234866,20,18,21,24,-19.810431349083377,-22.347055891234866,-16.688437858608346,-13.962204103644849,83,2.7410959274136366,0.3710562894371056,False
posthoc_single_coordinate_hypothesis_only,k2_touch_depth_atr_min,0.25,52,9.064719879997169,-10.935280120002837,-41.12043357494209,0.4230769230769231,0.6878456231575332,-0.12626196050071947,-0.14240762093746662,15,29,6,2,11,False,-12.83581954738029,-22.29841278973782,13,11,11,17,-9.991068718970034,-22.29841278973782,-3.83933327055601,-8.896203895900282,52,8.818575862589283,0.23672763272367275,False
posthoc_single_coordinate_hypothesis_only,k2_touch_depth_atr_min,0.5,23,36.84754550732791,16.8475455073279,33.69958988380219,0.6521739130434783,1.6468445138080468,0.16541820546435249,-0.036630181514854976,11,7,3,2,4,False,14.01987888694315,-6.027446956614965,6,6,4,7,20.099826599250452,-6.027446956614965,35.4517043126751,23.036064508861212,23,36.21003714106097,0.07172928270717292,False
posthoc_single_coordinate_hypothesis_only,next_open_risk_atr_min,0.15,100,3.9144355628506817,-16.085564437149326,-40.68424232561594,0.37,0.5290052056092792,-0.41315793492317465,-0.41539069101988524,24,61,12,3,21,True,-18.927951453059116,-26.33319522810579,22,21,27,30,-26.33319522810579,-20.40496690658817,-10.705194238271407,-10.389386640830836,100,5.483494666130208,0.23126768732312677,False
posthoc_single_coordinate_hypothesis_only,next_open_risk_atr_min,0.5,96,3.0768517777644484,-16.923148222235554,-40.89923937781568,0.3541666666666667,0.5192301504674292,-0.41239794680111697,-0.4146335944221642,23,60,10,3,20,True,-20.267078088330592,-26.33319522810579,22,20,25,29,-26.33319522810579,-21.42521525191758,-10.120729532177137,-12.543772102534684,96,4.773980898832043,0.2675273247267527,False
