failure_mode,events,share,mean_net_bp,contribution_to_all_trade_mean_bp,median_hold_bars,mean_mfe_r_before_exit,mean_mae_r_before_exit
stop_before_0.5R,30,0.3,-54.13462796567107,-16.24038838970132,2.0,0.20147401856203606,1.5584998375864756
stop_after_0.5R_before_1.5R,20,0.2,-53.862543468951145,-10.772508693790229,4.0,0.8470251683037986,1.657393369030831
stop_after_1.5R_wick_no_close_arm,11,0.11,-52.335003319035096,-5.756850365093861,8.0,2.1225068591113776,2.1974333066279157
timeout_48_bars,3,0.03,-34.835632629195,-1.0450689788758498,48.0,1.5829651107334877,0.6938231998638065
protected_flat,12,0.12,1.734723475976807e-14,2.0816681711721685e-15,9.5,2.317842713116884,0.5190690156099819
target_3R,24,0.24,73.87188329296718,17.729251990312125,7.0,3.980174308320143,0.47512779595898386
