engine,trades,mean_net_bp,median_net_bp,directional_win_rate,flat_rate,profit_factor
native,100,-16.085564437149138,-40.6842423256155,0.25,0.12,0.5290052056092802
freqtrade_2026.8,100,-15.770411721076046,-40.68411196256555,0.26,0.11,0.5381808393875316
