analysis_status,feature,bucket,events,mean_net_bp,median_net_bp,directional_win_rate,flat_rate,profit_factor,stop_rate,target_rate,horizon_hit_4r_rate,horizon_hit_5r_rate,horizon_hit_6r_rate,matched_events,matched_control_excess_bp,2023H1_events,2023H1_mean_net_bp,2023H2_events,2023H2_mean_net_bp,2024H1_events,2024H1_mean_net_bp,2024H2_events,2024H2_mean_net_bp
posthoc_hypothesis_only,direction,long,56,-9.363508741361853,-38.4162933533365,0.30357142857142855,0.125,0.7030304324713318,0.5535714285714286,0.2857142857142857,0.42857142857142855,0.375,0.26785714285714285,56,11.111294732562468,13,-22.03198250389969,7,-9.756073481646713,18,-8.281377100539881,18,-1.1435230435734984
posthoc_hypothesis_only,direction,short,44,-24.64090804996932,-41.9166267830425,0.18181818181818182,0.11363636363636363,0.3427262390518785,0.6818181818181818,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.22727272727272727,44,-1.6791599638743202,9,-32.54605805195855,14,-25.729413619058498,9,-15.552828513733889,12,-24.258182036716583
posthoc_hypothesis_only,confirmation_delay_bars,0,88,-16.00817883644399,-40.27227637930951,0.25,0.125,0.5249400756848666,0.6136363636363636,0.23863636363636365,0.4659090909090909,0.3977272727272727,0.2727272727272727,88,5.0250988971514765,19,-23.59954222996405,19,-15.65278024954105,26,-14.24646558872865,24,-12.18822938289704
posthoc_hypothesis_only,confirmation_delay_bars,1,6,-6.226366053841331,-40.6842423256155,0.16666666666666666,0.16666666666666666,0.7845025360614545,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,6,14.078389112160973,3,-43.646330883002,1,-42.418946884341004,0,,2,67.99987160514951
posthoc_hypothesis_only,confirmation_delay_bars,2,6,-27.07975163079917,-59.74908774390501,0.3333333333333333,0.0,0.41242165261553904,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,6,3.6117381651220524,0,,1,-88.682533412725,1,81.367860873622,4,-38.790959311423
posthoc_hypothesis_only,k1_to_touch_gap_bars,2,35,-6.591921789899396,-40.780108028095,0.2857142857142857,0.11428571428571428,0.8106696816978473,0.6,0.2857142857142857,0.5428571428571428,0.4857142857142857,0.34285714285714286,35,17.368824165513153,7,-18.52072104526443,4,-9.574160171117246,12,-14.273352702309078,12,9.042054815212495
posthoc_hypothesis_only,k1_to_touch_gap_bars,3,22,-22.39145743697164,-41.00476743387,0.2727272727272727,0.09090909090909091,0.3322461581888993,0.6363636363636364,0.2727272727272727,0.5,0.45454545454545453,0.36363636363636365,22,-0.38264837717193095,10,-29.349926422006497,3,-18.163046831072002,4,-20.571207879264747,5,-12.4677654766072
posthoc_hypothesis_only,k1_to_touch_gap_bars,4,14,-17.856526958107928,-38.843653079944,0.21428571428571427,0.07142857142857142,0.44739491840859896,0.6428571428571429,0.21428571428571427,0.35714285714285715,0.35714285714285715,0.14285714285714285,14,-0.625801145151674,0,,7,-21.033098724080425,5,2.3703730596826045,2,-57.305775821680506
posthoc_hypothesis_only,k1_to_touch_gap_bars,5,10,-43.2051146917,-43.4325193721875,0.0,0.2,8.030176465704692e-17,0.7,0.0,0.4,0.2,0.1,10,-19.988710426314498,2,-48.1431706877675,3,-43.70049343235532,1,1.734723475976807e-14,4,-51.165831311099744
posthoc_hypothesis_only,k1_to_touch_gap_bars,6,7,-11.729752509030282,-36.330003494064,0.2857142857142857,0.14285714285714285,0.6736767086345488,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,7,12.315463023617422,1,-44.028723991899,2,27.60174133715751,1,-36.330003494064,3,-18.984340917187996
