fold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout
2023H1,22,-6.333195228105785,-26.33319522810579,-42.60584919574982,0.2727272727272727,0.2858755992102658,-0.16265981162867493,-0.1658456371205168,5,16,1,0
2023H2,21,-0.40496690658816825,-20.40496690658817,-42.41894688434165,0.3333333333333333,0.3987740515358607,-0.13725391886268723,-0.15423866415185294,4,13,3,1
2024H1,27,9.294805761728595,-10.705194238271407,-36.330003494065,0.4444444444444444,0.6326395107121608,-0.10582128853341233,-0.15577096660969048,7,15,5,0
2024H2,30,9.610613359169166,-10.389386640830836,-40.89923937781568,0.4,0.7177988113773637,-0.09152709390360636,-0.1617688693123842,8,17,3,2
