scope,feature,target,n,spearman_rho,p
all_long,volume_ratio,future_favorable_pct,1666,-0.1803524261680335,1.200240402071653e-13
all_long,volume_ratio,future_adverse_pct,1666,-0.05340437707981059,0.029279117992628622
all_long,volume_z,future_favorable_pct,1666,-0.1697989933549985,3.0339600961643027e-12
all_long,volume_z,future_adverse_pct,1666,-0.07106999816696453,0.003703941008636535
all_long,ma_spread_pct,future_favorable_pct,1666,0.4148430801575756,2.7042397672054918e-70
all_long,ma_spread_pct,future_adverse_pct,1666,-0.0975588141942254,6.647728103174793e-05
pos_only,volume_ratio,future_favorable_pct,301,-0.0740930527797984,0.1998845691054867
pos_only,volume_ratio,future_adverse_pct,301,-0.072369612346075,0.21057571192369437
pos_only,volume_z,future_favorable_pct,301,-0.11408464804126965,0.04798286427061769
pos_only,volume_z,future_adverse_pct,301,-0.10494664187094631,0.06903290919956567
pos_only,ma_spread_pct,future_favorable_pct,301,0.4524963944358744,1.3419838719683973e-16
pos_only,ma_spread_pct,future_adverse_pct,301,-0.09480240341140368,0.10066961258931294
