feature,gain,split
close_vs_ema200,187.74881982803345,19
ret_4,121.22444915771484,14
drawdown24,94.45092010498047,13
close_vs_ema55,82.09272050857544,10
pre_range168,78.87377882003784,11
ma_spread_pct,75.7100100517273,11
atr_pct,71.0653600692749,10
spread_chg8,69.48849964141846,10
volume_ratio,69.11039066314697,10
ext_up,65.27207040786743,7
atr_pct_ratio96,65.21248960494995,10
ret_12,62.48304891586304,9
volume_z,58.808120012283325,10
vol_ratio_mean8,58.37699031829834,8
spread_chg24,55.609700202941895,8
slow_slope_12,49.06560945510864,6
ret_24,48.20151996612549,7
spread_mean24,47.06323051452637,7
dense_frac48,42.95091962814331,6
full_spread,38.34858989715576,5
spread_pos96,33.10991048812866,4
fast_slow_gap,31.295899868011475,5
pre_range48,31.29356050491333,5
spread_mean8,30.791749954223633,5
ret_48,30.31335973739624,4
dense_run_len,30.18172025680542,6
full_ratio_min48,23.436310291290283,4
order_score,0.0,0
