feature,gain,split
order_score,2524.133382320404,31
close_vs_ema55,1373.8123559951782,44
vol_ratio_mean8,268.0994017124176,41
ret_12,264.3587281703949,42
volume_z,234.2568600177765,51
ext_up,232.61324095726013,31
pre_range168,227.34033918380737,47
volume_ratio,220.28252583742142,57
spread_chg8,211.54433369636536,45
drawdown24,198.23848032951355,44
spread_chg24,197.9664499759674,47
spread_pos96,180.96988224983215,31
pre_range48,177.51951146125793,40
spread_mean24,174.92349934577942,37
atr_pct,162.31812071800232,36
dense_frac48,160.76916122436523,30
ret_48,160.43636059761047,35
atr_pct_ratio96,155.53754925727844,34
ret_24,154.6887400150299,29
slow_slope_12,147.75602984428406,36
fast_slow_gap,138.5441198348999,26
full_spread,122.20770907402039,26
spread_mean8,116.44003939628601,21
close_vs_ema200,102.14851999282837,23
ret_4,86.81286978721619,19
full_ratio_min48,82.49698054790497,21
ma_spread_pct,71.81232011318207,14
dense_run_len,0.0,0
