comparison,left,right,shared,only_left,only_right,diff_signal_i,diff_entry_i,diff_entry_time,diff_entry_price,diff_initial_stop,diff_initial_risk,diff_exit_i,diff_exit_time,diff_exit_price,diff_exit_reason,diff_net_r,diff_gross_r,diff_censored,diff_mfe_r,diff_initial_risk_frac,diff_gross_return,diff_net_return,diff_matched,diff_control_net_r,diff_control_net_return,diff_status,passed
original_vs_baseline,9287,9287,9287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
shared_baseline_vs_support,9287,9108,9106,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
