timeframe,arm,source,period,n,mean_net_r,total_net_r
15m,box_any,both,earlier,6,0.23655102812001513,1.4193061687200907
15m,box_any,both,later,9,-0.07690480583409988,-0.6921432525068989
15m,box_any,chart,earlier,2729,0.09248227993024985,252.38414192965183
15m,box_any,chart,later,2364,-0.24204821571580942,-572.2019819521735
15m,box_any,htf,earlier,1034,0.039751533034334575,41.10308515750195
15m,box_any,htf,later,940,-0.4200290521058403,-394.8273089794899
15m,box_support,both,earlier,6,0.23655102812001513,1.4193061687200907
15m,box_support,both,later,9,-0.07690480583409988,-0.6921432525068989
15m,box_support,chart,earlier,2721,0.09517410920858291,258.9687511565541
15m,box_support,chart,later,2355,-0.2407831170862477,-567.0442407381133
15m,box_support,htf,earlier,973,0.0577751113001701,56.21518329506551
15m,box_support,htf,later,881,-0.4313783475433044,-380.0443241856512
1h,box_any,both,earlier,3,1.3400842043449597,4.020252613034879
1h,box_any,both,later,8,-0.3368712059040455,-2.694969647232364
1h,box_any,chart,earlier,832,0.0004821135141205227,0.4011184437482749
1h,box_any,chart,later,797,-0.21865881698430517,-174.27107713649121
1h,box_any,htf,earlier,287,0.13357895113851925,38.33715897675503
1h,box_any,htf,later,272,-0.2515501929073548,-68.42165247080051
1h,box_support,both,earlier,3,1.3400842043449597,4.020252613034879
1h,box_support,both,later,8,-0.3368712059040455,-2.694969647232364
1h,box_support,chart,earlier,829,-0.0005655813783597402,-0.46886696266022465
1h,box_support,chart,later,795,-0.22361246150363806,-177.77190689539225
1h,box_support,htf,earlier,268,0.039751260818719915,10.653337899416938
1h,box_support,htf,later,254,-0.2712495063190374,-68.8973746050355
