timeframe,arm,period,signals,trades_taken,closed,censored_boundary,censored_gap,skipped_in_position,risk_invalid,no_next_bar,win_rate,mean_gross_r,mean_net_r,mean_net_bp,pf,total_net_r,event_drawdown_r,median_hold_h,concurrent_median,concurrent_max,random_mean_r,excess_vs_random_r,p_vs_random,matched_closed
15m,box_any,full,7095,7086,7082,4,0,8,1,0,0.29384354702061566,0.02527067172360672,-0.09500351608702295,-16.285974125303248,0.8704925329798604,-672.8149009282965,1056.2023435148603,8.0,9.0,121,-0.18337534311935855,0.0893664276293055,0.08545727136431784,7072
15m,box_any,earlier,3774,3769,3769,0,0,4,1,0,0.3385513398779517,0.19756816877141337,0.07824529935151868,11.50283745563293,1.1142532334589543,294.9065332558739,453.62608226057364,9.5,8.0,121,-0.16900661901529146,0.24758573584205426,0.00399800099950025,3768
15m,box_any,later,3321,3317,3313,4,0,4,0,0,0.24298219136734078,-0.17074178416929495,-0.29209822945492614,-47.89962666033146,0.6297952155857949,-967.7214341841703,996.806716016455,7.0,9.0,72,-0.19976195099590965,-0.09107254130097216,0.9305347326336831,3304
15m,box_support,full,6956,6949,6945,4,0,7,0,0,0.2947444204463643,0.02860967968518014,-0.09088228474527456,-15.351130363963984,0.8759480090369847,-631.1774675559318,1038.075759034014,8.25,9.0,121,-0.1815380767497209,0.09167598345869124,0.08395802098950525,6935
15m,box_support,earlier,3703,3700,3700,0,0,3,0,0,0.3402702702702703,0.20420492762691597,0.08556844341090261,13.084244539809832,1.12529392210317,316.60324062033965,444.0577578513877,9.5,8.0,121,-0.1650318053960176,0.2509422729731217,0.004997501249375313,3699
15m,box_support,later,3253,3249,3245,4,0,4,0,0,0.24283513097072418,-0.17160678175840152,-0.2920741781745058,-47.77359173344414,0.629935539624774,-947.7807081762714,974.423747299219,7.0,9.0,71,-0.2004060303150325,-0.09037778814633914,0.936031984007996,3236
1h,box_any,full,2206,2201,2199,2,0,5,0,0,0.2783083219645293,-0.02981835454566595,-0.09214605239699224,-62.555182243351894,0.8705494267460808,-202.62916922098591,370.253245036501,33.0,12.0,82,-0.10906502940797645,0.01258031214323044,0.3933033483258371,2185
1h,box_any,earlier,1123,1122,1122,0,0,1,0,0,0.3253119429590018,0.09931997635209415,0.03810920680350997,-30.255674151720754,1.057594162470996,42.75853003353818,220.49244900100788,36.0,10.0,82,-0.017028993778451892,0.05513820058196186,0.24087956021989004,1122
1h,box_any,later,1083,1079,1077,2,0,4,0,0,0.22934076137418755,-0.16435243743079767,-0.22784373189835105,-96.20425195441054,0.7017979115453343,-245.38769925452408,372.6682529425867,30.0,13.0,61,-0.20620936804986412,-0.03233967922860086,0.6591704147926037,1063
1h,box_support,full,2163,2159,2157,2,0,4,0,0,0.2753824756606398,-0.04701811756425129,-0.10902157051361545,-67.64264075341269,0.8475785830728725,-235.15952759786853,372.58340557285686,33.0,12.0,79,-0.10885467918335881,0.0025637631775259073,0.46926536731634183,2145
1h,box_support,earlier,1100,1100,1100,0,0,0,0,0,0.32,0.07371476192225476,0.012913385045265083,-37.61076973401378,1.0193631282467062,14.204723549791591,215.14034204518563,36.0,10.0,79,-0.021486084791518142,0.034399469836783214,0.33833083458270863,1100
1h,box_support,later,1063,1059,1057,2,0,4,0,0,0.22894985808893092,-0.17266255222381297,-0.23591698311036904,-98.89624351721481,0.6918492748898297,-249.36425114766007,363.5169646091921,30.0,13.0,61,-0.20082162064845424,-0.03094750699011334,0.6416791604197901,1045
