timeframe,period,removed,removed_gate_fail,removed_occupancy,removed_losers,removed_winners,removed_ge10r,avoided_loss_r,forgone_profit_r,added,added_net_r,delta_total_r
15m,full,138,138,0,103,35,0,107.17474662073369,66.47994482731642,1,0.9426315789473784,41.63743337236474
15m,earlier,70,70,0,52,18,0,54.281484113222334,33.527408327703924,1,0.9426315789473784,21.696707364465738
15m,later,68,68,0,51,17,0,52.893262507511345,32.9525364996125,0,0.0,19.94072600789889
1h,full,43,43,0,25,18,1,23.497982483089597,55.00709727754209,1,-1.0212435824301205,-32.53035837688262
1h,earlier,23,23,0,10,13,0,9.835552133166615,37.36811503448309,1,-1.0212435824301205,-28.553806483746587
1h,later,20,20,0,15,5,1,13.662430349922987,17.638982243059004,0,0.0,-3.9765518931359907
