timeframe,arm,month,n,mean_net_r,total_net_r
15m,box_any,2024-09,141,-0.38892603981780083,-54.83857161430992
15m,box_any,2024-10,180,0.15922826809683185,28.661088257429736
15m,box_any,2024-11,241,0.7676791366204787,185.01067192553538
15m,box_any,2024-12,305,-0.0008880413494397264,-0.27085261157911655
15m,box_any,2025-01,354,-0.17897782796420486,-63.35815109932852
15m,box_any,2025-02,268,-0.31361884653607824,-84.04985087166897
15m,box_any,2025-03,318,-0.13898709970381198,-44.19789770581221
15m,box_any,2025-04,363,0.2775923701344935,100.76603035882114
15m,box_any,2025-05,369,-0.1071266434307833,-39.52973142595904
15m,box_any,2025-06,487,0.13985662841706994,68.11017803911307
15m,box_any,2025-07,228,0.9748439377592926,222.2644178091187
15m,box_any,2025-08,346,-0.2031772802770939,-70.29933897587449
15m,box_any,2025-09,346,0.029431749747613433,10.183385412674248
15m,box_any,2025-10,340,-0.38356103647799195,-130.41075240251726
15m,box_any,2025-11,453,-0.3672207203469338,-166.35098631716102
15m,box_any,2025-12,506,-0.33817149679414116,-171.11477737783542
15m,box_any,2026-01,344,-0.2111272541969672,-72.62777544375672
15m,box_any,2026-02,380,-0.3506372709223648,-133.24216295049862
15m,box_any,2026-03,652,-0.27509154864821633,-179.35968971863704
15m,box_any,2026-04,461,-0.1695447596877447,-78.16013421605031
15m,box_support,2024-09,137,-0.3912944147349023,-53.607334818681615
15m,box_support,2024-10,176,0.19045632619340502,33.520313410039286
15m,box_support,2024-11,239,0.7829837644139086,187.13311969492415
15m,box_support,2024-12,302,0.0010706531595370927,0.323337254180202
15m,box_support,2025-01,347,-0.1600982208018576,-55.554082618244585
15m,box_support,2025-02,266,-0.3111918113429173,-82.777021817216
15m,box_support,2025-03,314,-0.13568823469105418,-42.606105692991015
15m,box_support,2025-04,351,0.29590228281597686,103.86170126840788
15m,box_support,2025-05,367,-0.10115322568312503,-37.12323382570688
15m,box_support,2025-06,480,0.15311534839767635,73.49536723088465
15m,box_support,2025-07,226,0.9774058725408493,220.89372719423196
15m,box_support,2025-08,335,-0.19455727004681542,-65.17668546568316
15m,box_support,2025-09,335,-0.00012686241280043402,-0.0424989082881454
15m,box_support,2025-10,331,-0.4013044348430747,-132.83176793305773
15m,box_support,2025-11,436,-0.36888780168641644,-160.83508153527757
15m,box_support,2025-12,496,-0.3234876516519746,-160.44987521937938
15m,box_support,2026-01,338,-0.2049747565027851,-69.28146769794137
15m,box_support,2026-02,373,-0.34745709366234606,-129.60149593605507
15m,box_support,2026-03,642,-0.2860819391352406,-183.66460492482446
15m,box_support,2026-04,454,-0.1692814476106892,-76.85377721525289
1h,box_any,2024-09,76,0.30605676446788965,23.260314099559615
1h,box_any,2024-10,41,-0.6877768533090954,-28.198850985672912
1h,box_any,2024-11,37,0.05328654771863896,1.9716022655896415
1h,box_any,2024-12,49,-0.8759719644010606,-42.92262625565197
1h,box_any,2025-01,95,-0.2565327707652749,-24.370613222701117
1h,box_any,2025-02,79,-0.7965153852143938,-62.92471543193711
1h,box_any,2025-03,155,-0.2519607219860901,-39.05391190784397
1h,box_any,2025-04,139,0.7857976049530397,109.22586708847253
1h,box_any,2025-05,33,-0.09634249070064223,-3.1793021931211936
1h,box_any,2025-06,50,-0.7322902904603985,-36.61451452301993
1h,box_any,2025-07,110,1.082528367716678,119.07812044883457
1h,box_any,2025-08,137,-0.2573979261945022,-35.2635158886468
1h,box_any,2025-09,200,0.07644912132918597,15.289824265837193
1h,box_any,2025-10,146,-0.4314134701735837,-62.986366645343224
1h,box_any,2025-11,66,-0.743571326342776,-49.07570753862321
1h,box_any,2025-12,154,-0.3167146319801963,-48.77405332495022
1h,box_any,2026-01,100,0.10022629199972383,10.022629199972382
1h,box_any,2026-02,88,-0.1849202624154316,-16.272983092557983
1h,box_any,2026-03,187,-0.3057546604675975,-57.17612150744074
1h,box_any,2026-04,257,0.09858270789205663,25.335755928258553
1h,box_support,2024-09,76,0.30605676446788965,23.260314099559615
1h,box_support,2024-10,41,-0.6877768533090954,-28.198850985672912
1h,box_support,2024-11,37,0.05328654771863896,1.9716022655896415
1h,box_support,2024-12,46,-0.9046427984206824,-41.61356872735139
1h,box_support,2025-01,94,-0.2714693842499816,-25.518122119498273
1h,box_support,2025-02,74,-0.8105234137858924,-59.97873262015604
1h,box_support,2025-03,152,-0.2605751631993278,-39.60742480629782
1h,box_support,2025-04,139,0.7857976049530397,109.22586708847253
1h,box_support,2025-05,33,-0.09634249070064223,-3.1793021931211936
1h,box_support,2025-06,50,-0.7322902904603985,-36.61451452301993
1h,box_support,2025-07,107,0.9756482131778167,104.39435881002639
1h,box_support,2025-08,133,-0.36374990523444034,-48.37873739618057
1h,box_support,2025-09,197,0.0608171694599082,11.980982383601916
1h,box_support,2025-10,144,-0.42898071857017894,-61.77322347410577
1h,box_support,2025-11,64,-0.7325298507943399,-46.88191045083775
1h,box_support,2025-12,149,-0.3129117284209212,-46.62384753471726
1h,box_support,2026-01,99,0.11182289046963759,11.07046615649412
1h,box_support,2026-02,86,-0.16400881837109652,-14.1047583799143
1h,box_support,2026-03,184,-0.30868500485036676,-56.79804089246748
1h,box_support,2026-04,252,0.048444109927492,12.207915701727984
