timeframe,compare,period,months,valid_reps,a_closed,c_closed,a_mean_r,c_mean_r,diff_mean_r,ci95_low,ci95_high,a_total_r,c_total_r
15m,box_support − box_any,full,20,2000,7082,6945,-0.09500351608702295,-0.09088228474527456,0.0041212313417483964,-0.00219852906191181,0.009876573913412103,-672.8149009282965,-631.1774675559318
15m,box_support − box_any,earlier,13,2000,3769,3700,0.07824529935151868,0.08556844341090261,0.007323144059383932,-0.0025379388400898323,0.014000471607148773,294.9065332558739,316.60324062033965
15m,box_support − box_any,later,8,2000,3313,3245,-0.29209822945492614,-0.2920741781745058,2.4051280420323007e-05,-0.006556652470750745,0.007339315799905084,-967.7214341841703,-947.7807081762714
1h,box_support − box_any,full,20,2000,2199,2157,-0.09214605239699224,-0.10902157051361545,-0.016875518116623217,-0.03685598904075934,2.214227121528995e-05,-202.62916922098591,-235.15952759786853
1h,box_support − box_any,earlier,13,2000,1122,1100,0.03810920680350997,0.012913385045265083,-0.025195821758244884,-0.05520141810815936,0.0007538103498507142,42.75853003353818,14.204723549791591
1h,box_support − box_any,later,8,2000,1077,1057,-0.22784373189835105,-0.23591698311036904,-0.00807325121201799,-0.027512243344581758,0.010547522488655058,-245.38769925452408,-249.36425114766007
