direction,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
-1,121,-24.786471870835115,-38.73506328850212,-2999.163096371049,0.44417933262104287,False,0.24793388429752067,91,0
1,130,-8.480425724706617,-34.811647307450855,-1102.4553442118602,0.8033698739715522,False,0.3153846153846154,89,0
