outcome,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
colour_exit,238,-10.526595676912704,-30.58279170863763,-2505.3297711052237,0.7046591063429691,False,0.2605042016806723,176,0
hard_stop,13,-78.00238196462566,-71.36567468406072,-1014.0309655401335,0.0,False,0.0,13,0
