primary_loss_reason,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
cost_flip,13,-11.705278487855724,-15.318581342890196,-152.16862034212443,0.0,False,0.0,13,0
early_reversal,27,-31.804168422800103,-28.87104499244007,-858.7125474156028,0.0,False,0.0,27,0
giveback,2,-38.998453682670394,-38.998453682670394,-77.99690736534079,0.0,False,0.0,2,0
hard_stop,6,-50.679048987857975,-45.84340999373991,-304.07429392714783,0.0,False,0.0,6,0
other_loss,3,-41.661183080357766,-46.05840470745191,-124.9835492410733,0.0,False,0.0,3,0
