direction,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
-1,30,-30.049462421386604,-30.340515866666955,-901.4838726415982,0.009013353071353574,False,0.03333333333333333,29,0
1,25,-14.365119376038292,-22.050267203300706,-359.12798440095725,0.4476747635619886,False,0.12,22,0
