entry_month,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
2023-01,1,-27.458430219804413,-27.458430219804413,-27.458430219804413,0.0,False,0.0,1,0
2023-02,1,-28.87104499244007,-28.87104499244007,-28.87104499244007,0.0,False,0.0,1,0
2023-03,3,-49.08572260703772,-46.05840470745191,-147.25716782111314,0.0,False,0.0,3,0
2023-04,2,-12.269381698390962,-12.269381698390962,-24.538763396781924,0.0,False,0.0,2,0
2023-05,1,-60.95426402887625,-60.95426402887625,-60.95426402887625,0.0,False,0.0,1,0
2023-06,5,-34.90466530180812,-31.093002299926713,-174.5233265090406,0.0,False,0.0,5,0
2023-07,4,-19.86387378298758,-25.323224178777064,-79.45549513195031,0.0,False,0.0,4,0
2023-08,3,-20.10174441408791,-21.495073054706975,-60.305233242263725,0.0,False,0.0,3,0
2023-09,3,-26.60382540378109,-23.57219126754682,-79.81147621134328,0.0,False,0.0,3,0
2023-10,4,-35.41360291972021,-31.05161864148774,-141.65441167888085,0.0,False,0.0,4,0
2023-11,2,-24.36642787226105,-24.36642787226105,-48.7328557445221,0.0,False,0.0,2,0
2023-12,3,-22.454034783319813,-20.851273343871473,-67.36210434995944,0.0,False,0.0,3,0
2024-02,2,-4.668910425874011,-4.668910425874011,-9.337820851748022,0.7832858052288345,False,0.5,1,0
2024-03,4,-17.96077829812585,-20.023726913540024,-71.8431131925034,0.10243689194459311,False,0.25,3,0
2024-04,1,-73.15161729540385,-73.15161729540385,-73.15161729540385,0.0,False,0.0,1,0
2024-05,3,-40.75964240319602,-43.38653610046926,-122.27892720958805,0.0,False,0.0,3,0
2024-06,2,103.80092866012103,103.80092866012103,207.60185732024206,14.552290037392803,False,0.5,1,0
2024-07,1,-6.198838183564241,-6.198838183564241,-6.198838183564241,0.0,False,0.0,1,0
2024-08,2,-36.514167573425944,-36.514167573425944,-73.02833514685189,0.0,False,0.0,2,0
2024-09,2,6.573613686331488,6.573613686331488,13.147227372662975,1.6182548877163425,False,0.5,1,0
2024-10,2,-37.225182345794735,-37.225182345794735,-74.45036469158947,0.0,False,0.0,2,0
2024-11,2,-21.617424567316174,-21.617424567316174,-43.23484913463235,0.0,False,0.0,2,0
2024-12,2,-12.477090093775383,-12.477090093775383,-24.954180187550765,0.0,False,0.0,2,0
