event_id,mother_event_id,decision_time,entry_time,fold,direction,match_status,assigned_controls,available_controls,mother_risk_atr,month,utc_6h_bucket,vol_bucket,known_5m_colour,known_hourly_colour,signed_hourly_slope_sign
2023-01-02T02:00:00+00:00_L,2023-01-02T02:00:00+00:00_L,2023-01-02 03:00:00+00:00,2023-01-02 03:00:00+00:00,2023H1,1,matched,3,7.0,1.0759819186155868,2023-01,0.0,0.0,1.0,1.0,1.0
2023-01-06T00:00:00+00:00_L,2023-01-06T00:00:00+00:00_L,2023-01-06 01:00:00+00:00,2023-01-06 01:00:00+00:00,2023H1,1,insufficient_exact_controls,0,0.0,0.8594173922696594,,,,,,
2023-01-08T14:00:00+00:00_L,2023-01-08T14:00:00+00:00_L,2023-01-08 15:00:00+00:00,2023-01-08 15:00:00+00:00,2023H1,1,insufficient_exact_controls,0,1.0,1.195699930296333,,,,,,
2023-01-08T20:00:00+00:00_L,2023-01-08T20:00:00+00:00_L,2023-01-08 21:00:00+00:00,2023-01-08 21:00:00+00:00,2023H1,1,insufficient_exact_controls,0,2.0,1.42861714956961,,,,,,
2023-01-18T15:00:00+00:00_S,2023-01-18T15:00:00+00:00_S,2023-01-18 16:00:00+00:00,2023-01-18 16:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,1.0,2.6745282036168456,,,,,,
2023-01-23T10:00:00+00:00_L,2023-01-23T10:00:00+00:00_L,2023-01-23 11:00:00+00:00,2023-01-23 11:00:00+00:00,2023H1,1,insufficient_exact_controls,0,1.0,0.8969913209601957,,,,,,
2023-01-23T20:00:00+00:00_L,2023-01-23T20:00:00+00:00_L,2023-01-23 21:00:00+00:00,2023-01-23 21:00:00+00:00,2023H1,1,matched,3,45.0,1.1668604843503376,2023-01,3.0,2.0,1.0,1.0,1.0
2023-01-25T20:00:00+00:00_L,2023-01-25T20:00:00+00:00_L,2023-01-25 21:00:00+00:00,2023-01-25 21:00:00+00:00,2023H1,1,matched,3,6.0,1.1370049870649785,2023-01,3.0,1.0,1.0,1.0,-1.0
2023-01-27T16:00:00+00:00_L,2023-01-27T16:00:00+00:00_L,2023-01-27 17:00:00+00:00,2023-01-27 17:00:00+00:00,2023H1,1,insufficient_exact_controls,0,1.0,1.2302132977824802,,,,,,
2023-01-28T20:00:00+00:00_S,2023-01-28T20:00:00+00:00_S,2023-01-28 21:00:00+00:00,2023-01-28 21:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,2.0,0.8351664678906443,,,,,,
2023-01-30T09:00:00+00:00_S,2023-01-30T09:00:00+00:00_S,2023-01-30 10:00:00+00:00,2023-01-30 10:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,1.0,2.2422725360118414,,,,,,
2023-02-05T11:00:00+00:00_S,2023-02-05T11:00:00+00:00_S,2023-02-05 12:00:00+00:00,2023-02-05 12:00:00+00:00,2023H1,-1,matched,3,16.0,0.6492249940048973,2023-02,2.0,0.0,-1.0,-1.0,1.0
2023-02-07T09:00:00+00:00_L,2023-02-07T09:00:00+00:00_L,2023-02-07 10:00:00+00:00,2023-02-07 10:00:00+00:00,2023H1,1,insufficient_exact_controls,0,2.0,1.2589363265752203,,,,,,
2023-02-11T21:00:00+00:00_L,2023-02-11T21:00:00+00:00_L,2023-02-11 22:00:00+00:00,2023-02-11 22:00:00+00:00,2023H1,1,insufficient_exact_controls,0,0.0,1.921736862519337,,,,,,
2023-02-13T01:00:00+00:00_S,2023-02-13T01:00:00+00:00_S,2023-02-13 02:00:00+00:00,2023-02-13 02:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,2.0,1.0709603435796191,,,,,,
2023-02-13T08:00:00+00:00_S,2023-02-13T08:00:00+00:00_S,2023-02-13 09:00:00+00:00,2023-02-13 09:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,1.0,1.4386882449690566,,,,,,
2023-02-14T08:00:00+00:00_S,2023-02-14T08:00:00+00:00_S,2023-02-14 09:00:00+00:00,2023-02-14 09:00:00+00:00,2023H1,-1,matched,3,11.0,0.776959918818839,2023-02,1.0,0.0,-1.0,-1.0,1.0
2023-02-16T23:00:00+00:00_S,2023-02-16T23:00:00+00:00_S,2023-02-17 00:00:00+00:00,2023-02-17 00:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,2.0,1.9595365415292831,,,,,,
2023-02-19T17:00:00+00:00_S,2023-02-19T17:00:00+00:00_S,2023-02-19 18:00:00+00:00,2023-02-19 18:00:00+00:00,2023H1,-1,insufficient_exact_controls,0,1.0,2.4860845103773057,,,,,,
2023-02-20T09:00:00+00:00_L,2023-02-20T09:00:00+00:00_L,2023-02-20 10:00:00+00:00,2023-02-20 10:00:00+00:00,2023H1,1,insufficient_exact_controls,0,1.0,2.455557933266027,,,,,,
