scope,ma,period,reason,censored,trades
actual,ema120,earlier,matched,False,4630
actual,ema120,later,censored,False,4
actual,ema120,later,matched,False,3505
actual,ema120,later,matched,True,6
actual,ema20,earlier,matched,False,5648
actual,ema20,later,censored,False,5
actual,ema20,later,matched,False,4264
actual,ema20,later,matched,True,6
actual,ema60,earlier,matched,False,5445
actual,ema60,later,censored,False,5
actual,ema60,later,matched,False,4120
actual,ema60,later,matched,True,6
actual,none,earlier,matched,False,5648
actual,none,later,censored,False,5
actual,none,later,matched,False,4264
actual,none,later,matched,True,6
actual,sma120,earlier,matched,False,4457
actual,sma120,later,censored,False,4
actual,sma120,later,matched,False,3340
actual,sma120,later,matched,True,6
actual,sma20,earlier,matched,False,5644
actual,sma20,later,censored,False,5
actual,sma20,later,matched,False,4262
actual,sma20,later,matched,True,6
actual,sma60,earlier,matched,False,5473
actual,sma60,later,censored,False,5
actual,sma60,later,matched,False,4127
actual,sma60,later,matched,True,6
common,ema120,earlier,matched,False,4630
common,ema120,later,censored,False,4
common,ema120,later,matched,False,3505
common,ema120,later,matched,True,6
common,ema20,earlier,matched,False,5616
common,ema20,later,censored,False,5
common,ema20,later,matched,False,4258
common,ema20,later,matched,True,6
common,ema60,earlier,matched,False,5426
common,ema60,later,censored,False,5
common,ema60,later,matched,False,4115
common,ema60,later,matched,True,6
common,none,earlier,matched,False,5616
common,none,later,censored,False,5
common,none,later,matched,False,4258
common,none,later,matched,True,6
common,sma120,earlier,matched,False,4431
common,sma120,later,censored,False,4
common,sma120,later,matched,False,3335
common,sma120,later,matched,True,6
common,sma20,earlier,matched,False,5612
common,sma20,later,censored,False,5
common,sma20,later,matched,False,4256
common,sma20,later,matched,True,6
common,sma60,earlier,matched,False,5442
common,sma60,later,censored,False,5
common,sma60,later,matched,False,4121
common,sma60,later,matched,True,6
