scope,period,selected_ma,baseline_closed,selected_closed,baseline_net_r,selected_net_r,baseline_10r,retained_10r,retention_10r,net_r_months,net_r_nonzero_months,net_r_minimum_exact_p,net_r_delta,net_r_low95,net_r_high95,net_r_p,net_return_months,net_return_nonzero_months,net_return_minimum_exact_p,net_return_delta,net_return_low95,net_return_high95,net_return_p
common,earlier,sma120,5616,4431,-1362.9518709681495,-925.0919475105644,13,11,0.8461538461538461,13,13,0.0001220703125,437.859923457585,213.9599003399419,647.8466713102054,0.0015869140625,13,13,0.0001220703125,3.976898826684368,1.0993655346125042,6.333741105416124,0.00830078125
common,later,sma120,4263,3339,-923.9626135300124,-785.2050552004514,29,23,0.7931034482758621,8,8,0.00390625,138.75755832956094,-173.46912647422187,361.1282616676299,0.203125,8,8,0.00390625,1.2650515515967549,-2.3464890694464158,4.158481833832298,0.2421875
actual,earlier,sma120,5648,4457,-1361.7740856869175,-920.3688885304007,13,11,0.8461538461538461,13,13,0.0001220703125,441.4051971565169,216.11167966323544,652.715608902937,0.0015869140625,13,13,0.0001220703125,4.063358013229725,1.1662592345240557,6.499626397263977,0.00830078125
actual,later,sma120,4269,3344,-921.914178855784,-782.1209738831135,29,23,0.7931034482758621,8,8,0.00390625,139.79320497267048,-173.44323530814415,362.16390831073943,0.19921875,8,8,0.00390625,1.3231578164659064,-2.308619682053916,4.216892748248413,0.23046875
