scope,period,ma,removed,removed_losses,removed_winners,saved_loss_r,lost_profit_r,added,added_net_r,net_delta_r
common,earlier,sma120,1414,1046,368,1174.909570441359,670.2871816056834,229,-66.76246537809057,437.85992345758507
common,later,sma120,1091,752,339,864.039180949759,730.7492477553608,167,5.467625135162783,138.757558329561
actual,earlier,sma120,1421,1051,370,1179.312033477755,673.6472615681473,230,-64.25957475309056,441.4051971565168
actual,later,sma120,1092,753,339,865.0748275928686,730.7492477553608,167,5.467625135162783,139.79320497267054
