universe,scope,ma,period,direction,entries,closed,censored,win_rate,net_r,gross_r,mean_net_r,net_bp,mean_net_bp,pf,pf_nominal,event_drawdown_r,realized_10r,random_pairs,random_mean_r,paired_strategy_mean_r,random_excess_r
all,actual,none,full,both,9923,9917,6,0.28183926590702835,-2283.6882645427013,-74.91140877690086,-0.23028015171349211,-223525.75943833566,-22.539655081005918,0.7146454561674508,0.763700242182177,2293.398304546554,42,9912,-0.2718806701029888,-0.23063235991996026,0.04124831018302848
all,actual,none,full,long,4783,4781,2,0.2719096423342397,-1243.5495387113128,-177.43347303098471,-0.2601023925353091,-123523.24873405436,-25.8362787563385,0.6828465384004664,0.7322006375336376,1312.5221711200106,24,4779,-0.28079274545141364,-0.2599916549761233,0.020801090475290343
all,actual,none,full,short,5140,5136,4,0.29108255451713394,-1040.138725831389,102.52206425408389,-0.20251922231919567,-100002.51070428129,-19.470893828715205,0.7451898450451557,0.7936767800554263,1107.0651603222611,18,5133,-0.2635832206406622,-0.20329784383318783,0.06028537680747434
all,actual,none,earlier,both,5648,5648,0,0.2848796033994334,-1361.7740856869175,-158.14795879090747,-0.2411073097887602,-149909.0095589992,-26.541963448831304,0.6979186942338654,0.7303010094245157,1375.6610993079883,13,5644,-0.26700818885381006,-0.24067619655286357,0.02633199230094644
all,actual,none,earlier,long,2720,2720,0,0.27647058823529413,-700.2885717788042,-123.82673554852619,-0.2574590337422074,-76255.48684419574,-28.0351054574249,0.6819731604147679,0.7170676485251982,727.7480553935405,8,2716,-0.23919739785403527,-0.2565872383785895,-0.017389840524554202
all,actual,none,earlier,short,2928,2928,0,0.2926912568306011,-661.4855139081133,-34.32122324238129,-0.22591718371178732,-73653.52271480348,-25.15489163756949,0.7131449956097663,0.7427578321346304,664.3292639081114,5,2928,-0.2928053570079727,-0.22591718371178732,0.0668881732961854
all,actual,none,later,both,4275,4269,6,0.2778168189271492,-921.914178855784,83.23655001400668,-0.21595553498612885,-73616.74987933646,-17.24449516967357,0.7362201303684046,0.8112890972776111,931.6242188596332,29,4264,-0.2790097356635203,-0.21675747322695327,0.06225226243656699
all,actual,none,later,long,2063,2061,2,0.26589034449296456,-543.2609669325085,-53.606737482458556,-0.2635909592103389,-47267.761889858644,-22.934382285229816,0.6839653108402791,0.7534728617037665,613.3457625718352,16,2059,-0.3370854427586575,-0.263337322657644,0.07374812010101352
all,actual,none,later,short,2212,2208,4,0.28894927536231885,-378.65321192327553,136.8432874964652,-0.17149149090728058,-26348.98798947783,-11.933418473495395,0.786796983037928,0.8671717150088978,445.57964641414924,13,2205,-0.22477940418556677,-0.17326182244337407,0.051517581742192696
all,actual,none,cross_split,both,0,0,0,,0.0,0.0,,0.0,,,,0.0,0,0,,,
all,actual,none,cross_split,long,0,0,0,,0.0,0.0,,0.0,,,,0.0,0,0,,,
all,actual,none,cross_split,short,0,0,0,,0.0,0.0,,0.0,,,,0.0,0,0,,,
all,actual,sma20,full,both,9917,9911,6,0.28200988800322874,-2277.54002369296,-70.62668445136389,-0.22979921538623346,-222856.1493056339,-22.48573799875229,0.7151948999372333,0.7642412308631491,2287.2500636968116,42,9906,-0.2713275637362744,-0.23015139417291594,0.041176169563358504
all,actual,sma20,full,long,4779,4777,2,0.27213732468076196,-1238.6823332151066,-174.18763759433654,-0.2593013048388333,-123099.11284813588,-25.76912557005147,0.6836952274454376,0.73287453757969,1307.6549656238049,24,4775,-0.2800592726020665,-0.25919013898108634,0.02086913362098013
