scope,ma,common_events,parity
actual,none,9923,True
actual,sma20,9917,True
actual,ema20,9923,True
actual,sma60,9497,True
actual,ema60,9463,True
actual,sma120,7410,True
actual,ema120,7779,True
common,none,9885,True
common,sma20,9879,True
common,ema20,9885,True
common,sma60,9460,True
common,ema60,9440,True
common,sma120,7380,True
common,ema120,7779,True
