arm,population,mg_entry_state,n
baseline,case,aligned,219
baseline,case,opposite,32
baseline,control,aligned,400
baseline,control,opposite,62
candidate,case,aligned,219
candidate,case,opposite,32
candidate,control,aligned,400
candidate,control,opposite,62
