group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp
loss_to_loss,366,366,-59.205396052553176,-56.437312806728926,2.768083245824251,1013.118467971676
loss_to_win,19,19,-14.378175044054124,14.840842317631918,29.21901736168605,555.1613298720349
win_to_win,77,77,142.2081295683046,119.17923233480211,-23.028897233502548,-1773.2250869796962
