phase,matched_events,candidate_mean_net_bp,control_mean_net_bp,excess_bp,signflip_p_one_sided
selection,54,4.590664868649699,-30.352516609753888,34.94318147840359,0.07028929710702893
audit,37,-42.968653308122796,-11.236752037551911,-31.73190127057089,0.8928910710892891
