group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp,wins_before,wins_after
frozen_ma_exit,10,10,28.15495622543075,-27.262212737432662,-55.417168962863414,-554.1716896286341,3,0
original_exit_retained,452,452,-22.04799889522988,-22.04799889522988,0.0,0.0,64,64
