group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp,wins_before,wins_after
frozen_ma_exit,20,20,-79.92953609122364,-75.44488631490154,4.484649776322124,89.69299552644249,0,0
original_exit_retained,231,231,-8.62499513544553,-8.62499513544553,0.0,0.0,62,62
