event_id,mother_decision_time,fold,event_net_return,assigned_controls,control_mean_return,excess
2023-05-05T13:00:00+00:00_L,2023-05-05 14:00:00+00:00,2023H1,0.008053437809564025,3,-0.008270404842731964,0.01632384265229599
2023-05-15T01:00:00+00:00_L,2023-05-15 02:00:00+00:00,2023H1,0.0009216555313003045,3,-0.004487433923358447,0.005409089454658751
2023-05-22T13:00:00+00:00_L,2023-05-22 14:00:00+00:00,2023H1,-0.00786231159500794,0,,
2023-05-24T03:00:00+00:00_S,2023-05-24 04:00:00+00:00,2023H1,0.014313822698239111,0,,
2023-06-06T16:00:00+00:00_L,2023-06-06 17:00:00+00:00,2023H1,0.02249690138281002,0,,
2023-06-12T08:00:00+00:00_L,2023-06-12 09:00:00+00:00,2023H1,-0.004124345539645578,3,-0.0048216681621008695,0.0006973226224552915
2023-06-12T13:00:00+00:00_S,2023-06-12 14:00:00+00:00,2023H1,-0.0073763232461054856,0,,
2023-06-13T15:00:00+00:00_S,2023-06-13 16:00:00+00:00,2023H1,-0.008832085960063461,0,,
2023-06-14T05:00:00+00:00_S,2023-06-14 06:00:00+00:00,2023H1,-0.0070752388689025985,0,,
2023-06-18T14:00:00+00:00_L,2023-06-18 15:00:00+00:00,2023H1,-0.005356298804765845,3,-0.002352054051388014,-0.0030042447533778307
2023-06-25T03:00:00+00:00_L,2023-06-25 04:00:00+00:00,2023H1,-0.0034276422764227803,0,,
2023-06-25T11:00:00+00:00_L,2023-06-25 12:00:00+00:00,2023H1,-0.006020378599215446,0,,
2023-06-25T14:00:00+00:00_S,2023-06-25 15:00:00+00:00,2023H1,-0.0010868566266717377,0,,
2023-07-02T17:00:00+00:00_S,2023-07-02 18:00:00+00:00,2023H2,-0.005133766498262247,3,-0.0044545080653260625,-0.0006792584329361846
2023-07-10T12:00:00+00:00_S,2023-07-10 13:00:00+00:00,2023H2,-0.0060249987566931545,0,,
2023-07-13T13:00:00+00:00_L,2023-07-13 14:00:00+00:00,2023H2,-0.0071365674684060725,3,-0.003047069382779394,-0.004089498085626678
2023-07-14T17:00:00+00:00_S,2023-07-14 18:00:00+00:00,2023H2,0.010503014934518886,0,,
2023-07-17T22:00:00+00:00_S,2023-07-17 23:00:00+00:00,2023H2,0.006024605246550798,3,-0.0017091501364971194,0.007733755383047917
2023-07-18T02:00:00+00:00_S,2023-07-18 03:00:00+00:00,2023H2,0.006610731215062506,3,-0.004624463820901424,0.01123519503596393
2023-07-19T14:00:00+00:00_S,2023-07-19 15:00:00+00:00,2023H2,-0.006935754714450624,3,-0.005069400126900268,-0.0018663545875503562
