Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
-0.1182,70,97,3334.63,3376.8599999999997,3376.8599999999997,,-5.784884117999972,0.793298118,-0.014676737749015623,2025-01-01 17:30:00+00:00,2025-01-02 00:15:00+00:00,0 days 06:45:00,0.004223
0.14070000000000002,241,638,3472.0,3475.4719999999993,3475.4719999999993,,-0.4889989104000893,0.9775093103999999,-0.0010010000000001099,2025-01-03 12:15:00+00:00,2025-01-07 15:30:00+00:00,4 days 03:15:00,0.0035090000000000004
-0.07980000000000001,802,829,3286.04,3282.75396,3282.75396,,-0.26196376600799187,0.5241897580079999,-0.0009989999999999986,2025-01-09 08:30:00+00:00,2025-01-09 15:15:00+00:00,0 days 06:45:00,0.006177
-0.0632,949,1398,3263.76,3260.4962400000004,3260.4962400000004,,-0.20606336236798928,0.4123329943680001,-0.000998999999999999,2025-01-10 21:15:00+00:00,2025-01-15 13:30:00+00:00,4 days 16:15:00,0.007792
0.0721,1545,1646,3385.31,3388.69531,3388.69531,,-0.24432493185101783,0.488405782851,-0.0010010000000001099,2025-01-17 02:15:00+00:00,2025-01-18 03:30:00+00:00,1 days 01:15:00,0.006834000000000001
0.0478,1853,1872,3428.82,3325.96,3325.96,,-5.239586484000009,0.322878484,-0.03196865977216653,2025-01-20 07:15:00+00:00,2025-01-20 12:00:00+00:00,0 days 04:45:00,0.010286
0.1469,2474,2486,3341.1500000000005,3307.98,3307.98,,-5.8494301970000215,0.9767571970000001,-0.011917791778279932,2025-01-26 18:30:00+00:00,2025-01-26 21:30:00+00:00,0 days 03:00:00,0.0033170000000000005
-0.0521,2569,2580,3080.11,3172.52,3172.52,,-5.140323023,0.325762023,-0.03203217742223488,2025-01-27 18:15:00+00:00,2025-01-27 21:00:00+00:00,0 days 02:45:00,0.009241000000000001
-0.1008,2644,2769,3175.4,3172.2246000000005,3172.2246000000005,,-0.319760239679995,0.6398405596800001,-0.000998999999999999,2025-01-28 13:00:00+00:00,2025-01-29 20:15:00+00:00,1 days 07:15:00,0.004724000000000001
0.0974,2923,3009,3267.4,3270.6673999999994,3270.6673999999994,,-0.31856300476006183,0.63680776476,-0.0010010000000001099,2025-01-31 10:45:00+00:00,2025-02-01 08:15:00+00:00,0 days 21:30:00,0.004882
-0.0589,3288,3308,2691.5,2772.25,2772.25,,-5.077989874999999,0.321814875,-0.03203185955786744,2025-02-04 06:00:00+00:00,2025-02-04 11:00:00+00:00,0 days 05:00:00,0.008075
-0.0589,3351,3359,2660.7,2740.5199999999995,2740.5199999999995,,-5.019529857999994,0.318131858,-0.03202962378321494,2025-02-04 21:45:00+00:00,2025-02-04 23:45:00+00:00,0 days 02:00:00,0.007982000000000001
-0.0577,3621,3758,2686.63,2683.9433700000004,2683.9433700000004,,-0.1548635324489987,0.30988208344900003,-0.000998999999999999,2025-02-07 17:15:00+00:00,2025-02-09 03:30:00+00:00,1 days 10:15:00,0.008060000000000001
0.0818,3939,3991,2707.81,2650.96,2650.96,,-5.088677385999997,0.438347386,-0.022973831251084802,2025-02-11 00:45:00+00:00,2025-02-11 13:45:00+00:00,0 days 13:00:00,0.005685000000000001
-0.0659,4672,4702,2673.7900000000004,2671.11621,2671.11621,,-0.1760265582389921,0.352229319239,-0.000998999999999999,2025-02-18 16:00:00+00:00,2025-02-18 23:30:00+00:00,0 days 07:30:00,0.006982000000000001
0.0911,4787,4860,2720.0,2722.72,2722.72,,-0.2480397920000051,0.49583179200000005,-0.0010010000000001099,2025-02-19 20:45:00+00:00,2025-02-20 15:00:00+00:00,0 days 18:15:00,0.005046
0.0887,4878,4934,2764.5799999999995,2767.3445799999995,2767.3445799999995,,-0.24546346424601823,0.490681710246,-0.0010010000000001103,2025-02-20 19:30:00+00:00,2025-02-21 09:30:00+00:00,0 days 14:00:00,0.005184
0.0799,5182,5196,2817.6700000000005,2760.1700000000005,2760.1700000000005,,-5.039919415999982,0.4456694160000001,-0.022386525036643706,2025-02-23 23:30:00+00:00,2025-02-24 03:00:00+00:00,0 days 03:30:00,0.00575
-0.09580000000000001,5413,5826,2466.08,2463.61392,2463.61392,,-0.2360142135359911,0.472264677536,-0.000998999999999999,2025-02-26 09:15:00+00:00,2025-03-02 16:30:00+00:00,4 days 07:15:00,0.004743
0.0609,5827,5828,2486.1,2411.52,2411.52,,-4.840187057999995,0.298265058,-0.031968794497405514,2025-03-02 16:45:00+00:00,2025-03-02 17:00:00+00:00,0 days 00:15:00,0.007458
0.06720000000000001,6131,6202,2229.26,2231.4892600000003,2231.4892600000003,,-0.14995607827201052,0.29976235027200004,-0.0010010000000001099,2025-03-05 20:45:00+00:00,2025-03-06 14:30:00+00:00,0 days 17:45:00,0.0066879999999999995
-0.0689,6311,6386,2171.4,2169.2286,2169.2286,,-0.14945985053999694,0.2990693105400001,-0.0009989999999999995,2025-03-07 17:45:00+00:00,2025-03-08 12:30:00+00:00,0 days 18:45:00,0.006514000000000001
-0.0738,6589,7052,2027.99,1927.35,2025.96201,,7.135327908000012,0.291904092,0.047675116741206926,2025-03-10 15:15:00+00:00,2025-03-15 11:00:00+00:00,4 days 19:45:00,0.006084000000000001
0.1958,7052,7108,1927.35,1929.2773499999996,1929.2773499999996,,-0.37775250513005526,0.7551276351299998,-0.0010010000000001099,2025-03-15 11:00:00+00:00,2025-03-16 01:00:00+00:00,0 days 14:00:00,0.00233
0.1359,7890,8121,2016.69,2018.70669,2018.70669,,-0.27434223917101686,0.5484104101710001,-0.0010010000000001103,2025-03-24 04:30:00+00:00,2025-03-26 14:15:00+00:00,2 days 09:45:00,0.003354
-0.1751,8212,8218,2018.1,2016.0819,2016.0819,,-0.35301594069000564,0.7063852506899999,-0.000998999999999999,2025-03-27 13:00:00+00:00,2025-03-27 14:30:00+00:00,0 days 01:30:00,0.002602
-0.15810000000000002,8379,8673,1885.56,1883.6744399999998,1883.6744399999998,,-0.2978089289639899,0.595915964964,-0.000998999999999999,2025-03-29 06:45:00+00:00,2025-04-01 08:15:00+00:00,3 days 01:30:00,0.002879
0.08600000000000001,8799,8817,1914.9599999999998,1916.8749599999996,1916.8749599999996,,-0.1648512465600125,0.32953780656,-0.0010010000000001103,2025-04-02 15:45:00+00:00,2025-04-02 20:15:00+00:00,0 days 04:30:00,0.005287000000000001
-0.09480000000000001,8975,8988,1767.5,1815.46,1815.46,,-4.886272607999995,0.3396646080000001,-0.029161504950495104,2025-04-04 11:45:00+00:00,2025-04-04 15:00:00+00:00,0 days 03:15:00,0.004796
0.2655,9065,9073,1820.5299999999997,1803.58,1803.58,,-5.462426205000005,0.962201205,-0.011301165045343972,2025-04-05 10:15:00+00:00,2025-04-05 12:15:00+00:00,0 days 02:00:00,0.0016950000000000001
0.09050000000000001,9865,9870,1636.49,1587.39,1587.39,,-4.7353111399999985,0.2917611400000001,-0.031973235400155155,2025-04-13 18:15:00+00:00,2025-04-13 19:30:00+00:00,0 days 01:15:00,0.00491
0.13770000000000002,10005,10041,1642.22,1610.29,1610.29,,-4.844631627000002,0.447870627,-0.02142374955852443,2025-04-15 05:15:00+00:00,2025-04-15 14:15:00+00:00,0 days 09:00:00,0.003193
0.11850000000000001,10844,10863,1803.6800000000003,1766.97,1766.97,,-4.773257025000008,0.42312202500000007,-0.022332481371418435,2025-04-23 23:00:00+00:00,2025-04-24 03:45:00+00:00,0 days 04:45:00,0.0036710000000000002
0.1335,10968,10987,1766.65,1768.4166500000001,1768.4166500000001,,-0.23608362277501002,0.47193139777500004,-0.0010010000000001103,2025-04-25 06:00:00+00:00,2025-04-25 10:45:00+00:00,0 days 04:45:00,0.003222
0.1258,11047,11074,1808.51,1810.3185099999998,1810.3185099999998,,-0.2277380685580228,0.455248626558,-0.0010010000000001103,2025-04-26 01:45:00+00:00,2025-04-26 08:30:00+00:00,0 days 06:45:00,0.003418
-0.18050000000000002,11901,11927,1815.99,1814.17401,1814.17401,,-0.3274584088049919,0.655244603805,-0.000998999999999999,2025-05-04 23:15:00+00:00,2025-05-05 05:45:00+00:00,0 days 06:30:00,0.002381
-0.1583,12010,12076,1795.9,1794.1041,1794.1041,,-0.28400667902998855,0.56829764903,-0.000998999999999999,2025-05-06 02:30:00+00:00,2025-05-06 19:00:00+00:00,0 days 16:30:00,0.0027120000000000004
-0.12610000000000002,12087,12090,1771.2099999999998,1805.2299999999998,1805.2299999999998,,-4.740911083999985,0.450989084,-0.021226415840018862,2025-05-06 21:45:00+00:00,2025-05-06 22:30:00+00:00,0 days 00:45:00,0.0034020000000000005
0.11270000000000001,12197,12944,1824.58,2529.62,1826.4045799999997,,78.96728966,0.49071834000000003,0.38402580319854446,2025-05-08 01:15:00+00:00,2025-05-15 20:00:00+00:00,7 days 18:45:00,0.003765
-0.0663,12944,12989,2529.62,2605.51,2605.51,,-5.3719661190000085,0.34045911900000003,-0.03203055399625242,2025-05-15 20:00:00+00:00,2025-05-16 07:15:00+00:00,0 days 11:15:00,0.007589
0.1105,14162,14169,2670.35,2625.29,2625.29,,-5.564298220000011,0.5851682200000001,-0.018857318329058043,2025-05-28 12:30:00+00:00,2025-05-28 14:15:00+00:00,0 days 01:45:00,0.0045060000000000005
0.09290000000000001,14205,14258,2672.0,2674.6719999999996,2674.6719999999996,,-0.2484770288000302,0.49670582879999997,-0.0010010000000001099,2025-05-28 23:15:00+00:00,2025-05-29 12:30:00+00:00,0 days 13:15:00,0.005295
-0.12050000000000001,14606,14649,2493.1,2533.92,2533.92,,-5.524565910000002,0.6057559100000001,-0.018389563194416588,2025-06-02 03:30:00+00:00,2025-06-02 14:15:00+00:00,0 days 10:45:00,0.0040820000000000006
0.10640000000000001,14798,14854,2632.63,2635.2626299999997,2635.2626299999997,,-0.2803919438320447,0.5605037758320001,-0.0010010000000001099,2025-06-04 03:30:00+00:00,2025-06-04 17:30:00+00:00,0 days 14:00:00,0.004571
0.14830000000000002,14900,14913,2629.2,2596.4199999999996,2596.4199999999996,,-5.636233446000004,0.774959446,-0.014455203103605666,2025-06-05 05:00:00+00:00,2025-06-05 08:15:00+00:00,0 days 03:15:00,0.003278
-0.1174,15069,15127,2472.7,2513.63,2513.63,,-5.390577142000016,0.5853951420000001,-0.01856930885267116,2025-06-06 23:15:00+00:00,2025-06-07 13:45:00+00:00,0 days 14:30:00,0.004093
-0.10890000000000001,15924,15928,2501.88,2545.53,2545.53,,-5.303147949000008,0.549662949,-0.01946432682622664,2025-06-15 21:00:00+00:00,2025-06-15 22:00:00+00:00,0 days 01:00:00,0.004365
-0.1033,16173,16183,2505.2000000000003,2502.6948,2502.6948,,-0.25852837284002456,0.5173155328400001,-0.0009990000000001105,2025-06-18 11:15:00+00:00,2025-06-18 13:45:00+00:00,0 days 02:30:00,0.004548000000000001
0.09390000000000001,16903,16936,2455.5,2457.9555,2457.9555,,-0.23080202145001577,0.46137347145000007,-0.0010010000000001103,2025-06-26 01:45:00+00:00,2025-06-26 10:00:00+00:00,0 days 08:15:00,0.004999000000000001
0.101,17276,17307,2500.83,2454.3799999999997,2454.3799999999997,,-5.191926210000011,0.50047621,-0.020555259653794972,2025-06-29 23:00:00+00:00,2025-06-30 06:45:00+00:00,0 days 07:45:00,0.004645000000000001
0.0876,17352,17427,2486.57,2433.59,2433.59,,-5.072054015999998,0.4310060160000001,-0.02328515183566121,2025-06-30 18:00:00+00:00,2025-07-01 12:45:00+00:00,0 days 18:45:00,0.005298000000000001
-0.1406,18056,18074,2525.73,2558.38,2558.38,,-5.3054158660000255,0.714825866,-0.014939882726974045,2025-07-08 02:00:00+00:00,2025-07-08 06:30:00+00:00,0 days 04:30:00,0.003265
0.10700000000000001,18168,18203,2626.82,2629.4468199999997,2629.4468199999997,,-0.28135080974004434,0.56242054974,-0.0010010000000001099,2025-07-09 06:00:00+00:00,2025-07-09 14:45:00+00:00,0 days 08:45:00,0.004242
0.0733,18309,19609,2818.6,3569.66,2821.4185999999995,,54.58443854200001,0.46825945799999996,0.2641991556091678,2025-07-10 17:15:00+00:00,2025-07-24 06:15:00+00:00,13 days 13:00:00,0.0061860000000000005
-0.063,19609,19613,3569.66,3566.0903399999997,3566.0903399999997,,-0.2246636914199911,0.44955227142,-0.000998999999999999,2025-07-24 06:15:00+00:00,2025-07-24 07:15:00+00:00,0 days 01:00:00,0.008062000000000001
0.1017,20953,21834,3699.97,4396.81,3703.6699699999995,,70.04518547400004,0.823442526,0.18614832552696375,2025-08-07 06:15:00+00:00,2025-08-16 10:30:00+00:00,9 days 04:15:00,0.004991000000000001
-0.06810000000000001,21834,21907,4396.81,4481.59,4481.59,,-6.378137039999991,0.60461904,-0.021301443546571312,2025-08-16 10:30:00+00:00,2025-08-17 04:45:00+00:00,0 days 18:15:00,0.008478000000000001
0.06570000000000001,22890,22923,4593.45,4598.043449999999,4598.043449999999,,-0.30209145466503656,0.603881119665,-0.0010010000000001103,2025-08-27 10:30:00+00:00,2025-08-27 18:45:00+00:00,0 days 08:15:00,0.008692
-0.0585,23008,23032,4502.44,4497.937559999999,4497.937559999999,,-0.26312934726000675,0.52652208726,-0.0009989999999999995,2025-08-28 16:00:00+00:00,2025-08-28 22:00:00+00:00,0 days 06:00:00,0.009762000000000002
-0.063,23144,23149,4263.98,4354.53,4354.53,,-6.2476161299999875,0.5429661299999999,-0.023257264339888915,2025-08-30 02:00:00+00:00,2025-08-30 03:15:00+00:00,0 days 01:15:00,0.009055
-0.0661,23476,23479,4275.8,4361.16,4361.16,,-6.213199055999992,0.570903056,-0.02198347911501942,2025-09-02 13:00:00+00:00,2025-09-02 13:45:00+00:00,0 days 00:45:00,0.008536
-0.0809,23551,23565,4309.8,4378.8,4378.8,,-6.2850077400000135,0.7029077400000001,-0.018026033690658548,2025-09-03 07:45:00+00:00,2025-09-03 11:15:00+00:00,0 days 03:30:00,0.006900000000000001
-0.13820000000000002,23832,23997,4293.43,4333.38,4333.38,,-6.713315142000036,1.1922251420000003,-0.011314219633253653,2025-09-06 06:00:00+00:00,2025-09-07 23:15:00+00:00,1 days 17:15:00,0.003995
0.10890000000000001,24122,24154,4344.48,4294.41,4294.41,,-6.393398120999982,0.940775121,-0.013513444647000248,2025-09-09 06:30:00+00:00,2025-09-09 14:30:00+00:00,0 days 08:00:00,0.005007
0.1033,24379,24706,4446.58,4561.54,4451.026579999999,,10.944829204000007,0.930538796,0.023827723778724323,2025-09-11 22:45:00+00:00,2025-09-15 08:30:00+00:00,3 days 09:45:00,0.005216000000000001
-0.0712,24706,24953,4561.54,4556.97846,4556.97846,,-0.32445686635200977,0.6492385143520001,-0.0009989999999999995,2025-09-15 08:30:00+00:00,2025-09-17 22:15:00+00:00,2 days 13:45:00,0.007719
0.10880000000000001,25063,25070,4603.17,4552.67,4552.67,,-6.490555391999999,0.9961553920000001,-0.012959729925247148,2025-09-19 01:45:00+00:00,2025-09-19 03:30:00+00:00,0 days 01:45:00,0.005050000000000001
-0.1247,25339,26197,4464.25,4180.53,4459.78575,,34.30187993400001,1.078004066,0.06161734221873776,2025-09-21 22:45:00+00:00,2025-09-30 21:15:00+00:00,8 days 22:30:00,0.0043560000000000005
0.0796,26197,26944,4180.53,4445.04,4184.710529999999,,20.368400628000003,0.6865953720000001,0.06120860991309718,2025-09-30 21:15:00+00:00,2025-10-08 16:00:00+00:00,7 days 18:45:00,0.007256
-0.0679,26944,26949,4445.04,4533.09,4533.09,,-6.588210027000005,0.609615027,-0.02182840424383145,2025-10-08 16:00:00+00:00,2025-10-08 17:15:00+00:00,0 days 01:15:00,0.008805
-0.0785,27101,27430,4325.24,4166.89,4320.91476,,11.763842794999992,0.666632205,0.03464729587259892,2025-10-10 07:15:00+00:00,2025-10-13 17:30:00+00:00,3 days 10:15:00,0.007529000000000001
0.0482,27430,27467,4166.89,4171.05689,4171.05689,,-0.20104494209801438,0.40188904009799997,-0.0010010000000001099,2025-10-13 17:30:00+00:00,2025-10-14 02:45:00+00:00,0 days 09:15:00,0.012501000000000002
-0.050800000000000005,27711,27715,3951.52,3947.56848,3947.56848,,-0.20053647878399505,0.401273694784,-0.000998999999999999,2025-10-16 15:45:00+00:00,2025-10-16 16:45:00+00:00,0 days 01:00:00,0.011855000000000001
-0.0717,27772,27789,3818.9099999999994,3815.0910899999994,3815.0910899999994,,-0.2735420311529834,0.547357878153,-0.0009989999999998884,2025-10-17 07:00:00+00:00,2025-10-17 11:15:00+00:00,0 days 04:15:00,0.008403
0.06860000000000001,28051,28096,4039.11,3951.41,3951.41,,-6.564369672,0.5481496720000001,-0.023690991332248938,2025-10-20 04:45:00+00:00,2025-10-20 16:00:00+00:00,0 days 11:15:00,0.00877
0.0745,28774,28789,4201.6,4121.64,4121.64,,-6.577101380000003,0.62008138,-0.021011814546839314,2025-10-27 17:30:00+00:00,2025-10-27 21:15:00+00:00,0 days 03:45:00,0.007996000000000001
-0.058800000000000005,28880,28918,4037.33,4033.29267,4033.29267,,-0.23715760899598987,0.474552612996,-0.000998999999999999,2025-10-28 20:00:00+00:00,2025-10-29 05:30:00+00:00,0 days 09:30:00,0.010015000000000001
-0.0758,29033,29135,3888.0100000000007,3884.1219900000006,3884.1219900000006,,-0.2944164468420045,0.5891276048420001,-0.000998999999999999,2025-10-30 10:15:00+00:00,2025-10-31 11:45:00+00:00,1 days 01:30:00,0.007766
-0.0693,29160,29299,3826.2400000000002,3911.13,3911.13,,-6.4190767410000165,0.536199741,-0.02420845791168365,2025-10-31 18:00:00+00:00,2025-11-02 04:45:00+00:00,1 days 10:45:00,0.008489
-0.0876,29386,31379,3812.0100000000007,2827.57,3808.1979900000006,,85.65531679200002,0.5816272080000001,0.25650520853827774,2025-11-03 02:30:00+00:00,2025-11-23 20:45:00+00:00,20 days 18:15:00,0.006643000000000001
0.1197,31379,31393,2827.57,2771.78,2771.78,,-7.348305195000001,0.6702421950000002,-0.021710992123979263,2025-11-23 20:45:00+00:00,2025-11-24 00:15:00+00:00,0 days 03:30:00,0.005579
0.07060000000000001,32743,32796,3115.26,3118.37526,3118.37526,,-0.22015729335603473,0.44009464935600007,-0.0010010000000001103,2025-12-08 01:45:00+00:00,2025-12-08 15:00:00+00:00,0 days 13:15:00,0.009346000000000002
-0.1453,33621,33659,2932.01,2977.4600000000005,2977.4600000000005,,-7.4625309910000315,0.8586459910000002,-0.017516812698456074,2025-12-17 05:15:00+00:00,2025-12-17 14:45:00+00:00,0 days 09:30:00,0.004545
-0.076,33668,33738,2862.24,2859.37776,2859.37776,,-0.21731270975999878,0.43484294976,-0.000998999999999999,2025-12-17 17:00:00+00:00,2025-12-18 10:30:00+00:00,0 days 17:30:00,0.008587000000000001
0.165,34061,34088,2988.2,2991.1881999999996,2991.1881999999996,,-0.4935460530000372,0.986599053,-0.0010010000000001103,2025-12-21 19:15:00+00:00,2025-12-22 02:00:00+00:00,0 days 06:45:00,0.003955000000000001
-0.1277,34287,34338,2941.64,2938.69836,2938.69836,,-0.3752717805720183,0.750919208572,-0.000998999999999999,2025-12-24 03:45:00+00:00,2025-12-24 16:30:00+00:00,0 days 12:45:00,0.005106
