representative,aliases,mean_net_bp,minimum_block_net_bp,total_trades,2023H1_net_bp,2023H2_net_bp,2024H1_net_bp,2024H2_net_bp
side:v9_long_only,side:v9_long_only,186.13186768434096,79.40423101407544,81,140.12138353673083,174.76334205325742,350.2385141333001,79.40423101407544
threshold:1.0,threshold:1.0,180.66597866185361,-84.61431210296573,47,29.749197620781764,-84.61431210296573,621.7569012521905,155.77212787740785
threshold:0.8,threshold:0.8,170.04705346549395,-77.9374277374328,60,-60.170360775474755,-77.9374277374328,583.9016272241976,234.39437515068568
threshold:0.6,threshold:0.6,153.20990016116684,-79.87619984588291,84,-21.953865770201055,-79.87619984588291,454.843185485381,259.8264807753704
feature:vol_ratio_mean8_ge1,feature:vol_ratio_mean8_ge1,147.07229133247432,68.25352782080246,126,121.16042158416208,68.25352782080246,274.1248904318891,124.75032549304365
feature:atr_ratio96_ge1,feature:atr_ratio96_ge1,143.84264279294763,-34.92415498989261,92,104.7847116375446,-34.92415498989261,540.2134268122596,-34.703412288121136
threshold:0.5,threshold:0.5,120.27595183761133,-86.59212979247147,93,-21.455788029776055,-86.59212979247147,363.2639948923394,225.88773028035345
feature:ret24_aligned,feature:ret24_aligned,118.93682996687502,60.86100841374955,149,70.39092036022397,60.86100841374955,225.59502999869417,118.90036109483243
slope:72,slope:72,116.51202689020292,72.22197457005028,138,126.02169255183205,85.85648908566411,181.94795135326524,72.22197457005028
feature:spread_expanding8,feature:spread_expanding8,115.09361960184755,51.220171740871905,136,51.220171740871905,67.14005218143826,289.3887428498917,52.62551163518834
slope:12,slope:12|threshold:0.2,112.913714363179,25.48834800963286,140,137.0037750473426,25.48834800963286,175.4241894778387,113.73854491790186
slope:16,slope:16,105.062798298884,31.47281389721836,134,172.7088433752316,31.47281389721836,147.41055166119358,68.6589842618925
feature:cluster_breakout,feature:cluster_breakout,103.8734701175258,41.4930219849321,163,65.16557909415492,41.4930219849321,214.48051388308937,94.3547655079268
slope:24,slope:24,103.51744739534631,42.60165787229679,128,194.2857483880989,42.60165787229679,108.06159082992502,69.12079249106448
threshold:0.4,threshold:0.4,103.08826107294777,-75.14354571042675,105,89.42620259207047,-75.14354571042675,183.06238917938907,215.00799823075832
feature:order_ge3,feature:order_ge3,101.59118463858107,53.344114867149166,162,53.344114867149166,54.11289824640079,199.75929700700925,99.14842843376502
feature:ema55_price_side,feature:ema55_price_side,101.03070974858417,41.4930219849321,165,65.16557909415492,41.4930219849321,205.42846719638788,92.03577071886176
threshold:0.25,threshold:0.25,100.03661329782442,-59.59194136195833,138,166.8892633285647,-59.59194136195833,187.61788466170273,105.2312465629886
feature:ema200_price_side,feature:ema200_price_side|feature:none|side:v9_two_sided|threshold:0.1|trailing:trailing_off,98.57697382265349,41.4930219849321,167,61.01980557981081,41.4930219849321,199.75929700700925,92.03577071886176
feature:strict_dense,feature:strict_dense,98.05813248551006,-0.8098244202718596,92,65.74091441655933,43.68349361003911,283.61794633571367,-0.8098244202718596
feature:ret12_aligned,feature:ret12_aligned,97.32976666664786,41.4930219849321,167,62.18964221220945,41.4930219849321,193.6006317505881,92.03577071886176
slope:96,slope:96,94.67128191854852,52.522670135609914,144,127.95645298142205,67.40809597276177,130.79790858440032,52.522670135609914
slope:8,slope:8,94.38586236051768,52.50403951021887,166,52.50403951021887,54.138646231739,202.7937616001339,68.10700209997891
feature:ret4_aligned,feature:ret4_aligned,92.91319295256525,38.19317537497027,162,47.171661080958,38.19317537497027,191.93316984640597,94.3547655079268
threshold:0.15,threshold:0.15,92.87063155035025,42.16535600640506,159,58.707095362489376,42.16535600640506,165.9688052945315,104.64126953797503
feature:order_eq4,feature:order_eq4,91.71515045765172,29.566561434334307,135,29.566561434334307,37.43128782984513,177.68093011040088,122.18182245602657
slope:48,slope:48,90.76616132641955,-37.595280329016546,148,139.36007175627466,-37.595280329016546,134.19249129884753,127.10736257957257
threshold:0.05,threshold:0.05,80.16448174746817,-14.868532401291134,184,54.93054058530163,-14.868532401291134,194.380853494009,86.2150653118532
feature:not_strict_dense,feature:not_strict_dense,75.28360900579338,-101.84409351865162,111,49.5484805152694,-101.84409351865162,205.58691424133983,147.84313478521594
