gate_arm,period,control_seed,matched_control_net_bp_per_trade,candidate_minus_control_bp_per_trade
allow_all,2023,0,13.190016127234939,38.81765786849052
allow_all,2023,1,-2.6826833578272313,54.690357353552685
allow_all,2023,2,2.003781044949515,50.00389295077594
allow_all,2023,3,20.947643092398305,31.06003090332715
allow_all,2023,4,-15.89879834485311,67.90647234057857
allow_all,2023,5,-15.016546152733072,67.02422014845853
allow_all,2023,6,-12.933407843868673,64.94108183959412
allow_all,2023,7,1.457109262865898,50.55056473285954
allow_all,2023,8,-15.283308025192046,67.29098202091751
allow_all,2023,9,-19.94743611584454,71.95511011157
allow_all,2023,10,-2.107445357577016,54.11511935330246
allow_all,2023,11,6.308308802348469,45.699365193377
allow_all,2023,12,14.051820731814615,37.955853263910846
allow_all,2023,13,-7.176734544082791,59.18440853980825
allow_all,2023,14,14.897913787843986,37.10976020788147
allow_all,2023,15,-11.711371530381633,63.719045526107095
allow_all,2023,16,13.477368134090144,38.53030586163532
allow_all,2023,17,13.189646624542807,38.81802737118264
allow_all,2023,18,2.3175754855430317,49.690098510182416
allow_all,2023,19,-2.785284149146532,54.792958144872
allow_all,2023,20,-11.969913956514743,63.9775879522402
allow_all,2023,21,-7.4514486837890495,59.45912267951452
allow_all,2023,22,-14.150014251136433,66.15768824686188
allow_all,2023,23,4.753923694802378,47.253750300923095
allow_all,2023,24,3.298183541483683,48.709490454241774
allow_all,2023,25,-8.363326757089425,60.37100075281489
allow_all,2023,26,22.76353989469532,29.244134101030138
allow_all,2023,27,9.676910163926546,42.3307638317989
allow_all,2023,28,-16.428822546193928,68.4364965419194
allow_all,2023,29,20.675956899720042,31.331717096005413
allow_all,2023,30,12.229460846279482,39.778213149445975
allow_all,2023,31,4.3074863228148335,47.70018767291063
allow_all,2023,32,11.366976067251487,40.64069792847399
allow_all,2023,33,-2.8393405216169105,54.84701451734238
allow_all,2023,34,-2.877353522129038,54.8850275178545
allow_all,2023,35,18.80724655433811,33.20042744138735
allow_all,2023,36,-2.309008902066291,54.316682897791736
allow_all,2023,37,4.573439112208508,47.43423488351694
allow_all,2023,38,10.239833121176622,41.76784087454884
allow_all,2023,39,0.08511163614800657,51.922562359577455
allow_all,2023,40,5.331697514172741,46.67597648155272
allow_all,2023,41,2.690660406319608,49.31701358940586
allow_all,2023,42,-15.288505889496474,67.29617988522193
allow_all,2023,43,-8.743680076311918,60.75135407203737
allow_all,2023,44,27.602299420906938,24.40537457481852
allow_all,2023,45,-19.011431862830225,71.01910585855569
allow_all,2023,46,21.314321482275165,30.69335251345029
allow_all,2023,47,14.95395367892815,37.053720316797296
allow_all,2023,48,12.598527635288056,39.40914636043741
allow_all,2023,49,-2.6838607760451496,54.69153477177061
allow_all,2023,50,1.8293122964611925,50.17836169926426
allow_all,2023,51,12.905875091948674,39.1017989037768
allow_all,2023,52,5.302496184590696,46.70517781113476
allow_all,2023,53,14.27920121996084,37.72847277576462
allow_all,2023,54,13.295274190322834,38.71239980540262
allow_all,2023,55,4.231307483544279,47.77636651218119
allow_all,2023,56,3.573224213868396,48.43444978185707
allow_all,2023,57,-15.816845795832362,67.8245197915578
allow_all,2023,58,-2.754788193267085,54.76246218899255
allow_all,2023,59,-4.811101625588592,56.81877562131406
allow_all,2023,60,-7.859195318832252,59.86686931455772
allow_all,2023,61,29.619013054320337,22.388660941405124
allow_all,2023,62,-8.68547543171431,60.69314942743977
allow_all,2023,63,5.04486719003628,46.9628068056892
allow_all,2024,0,32.54616574104266,108.80880978444081
