trade_id,candidate_entry_time,direction,project_net_return,score,control_count,control_mean_project_net,excess_return,gate_arm,period
allow_all|2023|0,2023-01-04 00:00:00+00:00,long,0.24803910720313516,0.4557719502397446,3,0.09867568946040228,0.14936341774273287,allow_all,2023
allow_all|2023|1,2023-01-19 11:30:00+00:00,short,-0.013269108416594786,0.2543562565064844,3,-0.005950692257905304,-0.007318416158689482,allow_all,2023
allow_all|2023|2,2023-02-09 17:15:00+00:00,short,0.041133591844008666,0.5395524779309603,3,-0.005879014556546343,0.04701260640055501,allow_all,2023
allow_all|2023|3,2023-02-15 11:30:00+00:00,long,0.053398566547640414,0.26999559647836274,3,-0.0052409803999488745,0.058639546947589286,allow_all,2023
allow_all|2023|4,2023-02-23 12:30:00+00:00,short,-0.018728126863582606,0.5179085826997885,3,-0.004967204010316804,-0.013760922853265802,allow_all,2023
allow_all|2023|5,2023-02-27 12:00:00+00:00,long,-0.010958935166563098,0.3880679540538644,3,-0.0008088932179736887,-0.010150041948589409,allow_all,2023
allow_all|2023|6,2023-02-28 12:45:00+00:00,long,-0.011472822167626127,0.36062931795270164,3,-0.0028677879562079736,-0.008605034211418153,allow_all,2023
allow_all|2023|7,2023-03-03 01:45:00+00:00,short,-0.012738599871547905,1.0,3,-0.010737127180806327,-0.0020014726907415775,allow_all,2023
allow_all|2023|8,2023-03-07 02:45:00+00:00,long,-0.010845283786188207,0.4665720256715236,3,-0.0115520045753447,0.0007067207891564928,allow_all,2023
allow_all|2023|9,2023-03-08 06:30:00+00:00,short,0.025592064707509854,0.46122713426804673,3,-0.007545548522179107,0.03313761322968896,allow_all,2023
allow_all|2023|10,2023-03-12 17:30:00+00:00,long,0.15430066371535012,0.8822324803437426,3,-0.018434559437973674,0.1727352231533238,allow_all,2023
allow_all|2023|11,2023-03-25 06:15:00+00:00,short,-0.0009999999999999992,0.28689329120344753,3,-0.009712031182413665,0.008712031182413666,allow_all,2023
allow_all|2023|12,2023-03-26 23:45:00+00:00,long,-0.01596256771732829,0.5165447873232187,3,-0.005217884656389021,-0.010744683060939269,allow_all,2023
allow_all|2023|13,2023-03-30 08:00:00+00:00,long,-0.018700351615493327,0.5161680272333768,3,-0.02014021753519572,0.0014398659197023926,allow_all,2023
