threshold,variant,period,risk_percent,trades,gross_bp_per_trade,project_net_bp_per_trade,pine_net_bp_per_trade,win_rate,monetary_profit_factor,unit_profit_factor,return_percent,max_drawdown_15m_percent,max_drawdown_daily_percent,median_holding_bars,mean_leverage,max_leverage,long_trades,short_trades,period_end_exits,min_block_net_bp,weighted_net_bp,selected
0.0,threshold_0p0,2023H1,1.0,47,64.64053323260165,44.64053323260164,44.58513904151023,0.14893617021276595,1.7763735775020553,1.5151443553649162,34.50714057112349,16.853313540078176,15.035311323738377,34.0,0.8540553696598719,1.9624193548387094,26,21,1,-16.11106243251933,64.58908965378781,False
0.0,threshold_0p0,2023H2,1.0,55,3.8889375674806748,-16.11106243251933,-16.125426762203748,0.10909090909090909,0.8633346726533085,0.7853646925650325,-5.417894863187122,17.54018457716522,15.160081284581139,32.0,1.0970613244919183,2.137486979166666,28,27,1,-16.11106243251933,64.58908965378781,False
0.0,threshold_0p0,2024H1,1.0,41,202.1680657710485,182.16806577104848,182.06622934166774,0.1951219512195122,3.3396207225182706,3.9591044288163486,58.16832139129693,9.512444041735801,8.015196682862113,38.0,0.7116471881089242,1.4408510638297873,20,21,0,-16.11106243251933,64.58908965378781,False
0.0,threshold_0p0,2024H2,1.0,49,95.92281405654202,75.92281405654201,75.92161411498773,0.16326530612244897,2.053274026206619,1.9482745053508415,27.556849831763852,12.202064513004963,10.171048772119406,47.0,0.6200961101436876,1.5282016179215931,27,22,0,-16.11106243251933,64.58908965378781,False
0.05,threshold_0p05,2023H1,1.0,45,74.93054058530164,54.93054058530163,54.88010152492628,0.15555555555555556,1.8896269410849744,1.668240385876323,37.575676000722844,16.85331354007816,15.035311323738366,34.0,0.8652343285736036,1.9624193548387094,26,19,1,-14.868532401291134,71.8245644960894,False
0.05,threshold_0p05,2023H2,1.0,54,5.131467598708877,-14.868532401291134,-14.881992224411944,0.1111111111111111,0.892843874679742,0.8015191217581698,-4.155219211936323,17.54018457716523,14.35072734482219,33.0,1.0880793837528442,2.1374869791666664,28,26,1,-14.868532401291134,71.8245644960894,False
0.05,threshold_0p05,2024H1,1.0,39,214.380853494009,194.380853494009,194.2719494890279,0.20512820512820512,3.532346819574567,4.142876322975018,60.21257730289567,9.512444041735801,8.015196682862102,38.0,0.7083113482206217,1.4408510638297871,18,21,0,-14.868532401291134,71.8245644960894,False
0.05,threshold_0p05,2024H2,1.0,46,106.21506531185321,86.2150653118532,86.20975069768505,0.17391304347826086,2.1517015014436707,2.078429923975362,29.069042537080403,12.20206451300495,10.171048772119429,44.0,0.6334135445473339,1.5282016179215931,24,22,0,-14.868532401291134,71.8245644960894,False
0.1,threshold_0p1,2023H1,1.0,42,81.01980557981084,61.01980557981081,60.964550455408336,0.16666666666666666,1.9663081715899866,1.7102952243021816,39.79900126126466,16.685271509090306,14.863595053910917,33.5,0.8322539814104182,1.6893045897079273,24,18,1,41.4930219849321,96.03593848104391,True
0.1,threshold_0p1,2023H2,1.0,42,61.493021984932106,41.4930219849321,41.41539833402185,0.11904761904761904,1.8601652686954122,1.762599844336993,21.83240646128919,16.73389582303041,15.182953077074501,82.0,1.1318481434868357,2.1374869791666664,15,27,1,41.4930219849321,96.03593848104391,True
0.1,threshold_0p1,2024H1,1.0,38,219.75929700700925,199.75929700700925,199.64779026505497,0.21052631578947367,3.548986644868432,4.160123396397319,60.32406024704353,9.512444041735801,8.015196682862102,38.5,0.7086704529198538,1.4408510638297873,17,21,0,41.4930219849321,96.03593848104391,True
0.1,threshold_0p1,2024H2,1.0,45,112.03577071886177,92.03577071886176,92.03379837277885,0.17777777777777778,2.2596480706471516,2.1827247827717957,30.52369560341095,12.215350734134066,10.184642341298344,47.0,0.6365754671178048,1.5282016179215931,24,21,0,41.4930219849321,96.03593848104391,True
0.15,threshold_0p15,2023H1,1.0,41,78.7070953624894,58.707095362489376,58.634716188409016,0.14634146341463414,2.053815649980588,1.7179417502659011,39.46527055517439,14.70002165782468,12.83552671504683,38.0,0.8316550912500857,1.6893045897079273,22,19,1,42.16535600640506,90.1862390693599,False
0.15,threshold_0p15,2023H2,1.0,41,62.16535600640508,42.16535600640506,42.09176857399279,0.12195121951219512,2.0866756434790403,1.8001285160396323,26.342300862130053,16.897607454939845,15.182953077074501,84.0,1.1496864451230955,2.1374869791666664,15,26,1,42.16535600640506,90.1862390693599,False
0.15,threshold_0p15,2024H1,1.0,35,185.9688052945315,165.9688052945315,165.9174453393939,0.2,3.118067577896977,3.2120893876196597,50.772993805813925,9.049856984597804,7.545431306522776,39.0,0.7159186328480953,1.4408510638297873,15,20,0,42.16535600640506,90.1862390693599,False
0.15,threshold_0p15,2024H2,1.0,42,124.64126953797505,104.64126953797503,104.63407717578511,0.19047619047619047,2.554506897298727,2.3529411475118565,33.84783396136213,11.054937584017932,9.045955979161102,47.5,0.6162460415596928,1.123860264419013,22,20,0,42.16535600640506,90.1862390693599,False
0.2,threshold_0p2,2023H1,1.0,31,157.00377504734263,137.0037750473426,136.87769650189992,0.1935483870967742,3.0444170283343372,2.8290285942013775,55.89099080301969,12.194585736825236,10.924029998345752,61.0,0.8370004706347245,1.6893045897079273,17,14,1,25.48834800963286,109.66644116307822,False
0.2,threshold_0p2,2023H2,1.0,37,45.488348009632865,25.48834800963286,25.44212455630512,0.10810810810810811,1.821675806673997,1.513038346227805,16.17269494581417,16.0869087610757,15.405500021732,84.0,1.0933789386718755,1.9538948626045398,14,23,1,25.48834800963286,109.66644116307822,False
0.2,threshold_0p2,2024H1,1.0,32,195.42418947783872,175.4241894778387,175.3427101502699,0.21875,3.6508245385482283,3.6690557915944386,49.94209237633569,8.148003579718466,7.036726701610407,38.5,0.6909452354559501,1.4408510638297873,12,20,0,25.48834800963286,109.66644116307822,False
0.2,threshold_0p2,2024H2,1.0,40,133.7385449179019,113.73854491790186,113.72790196011827,0.2,2.7328011277572912,2.4705254214046892,35.49270085671105,10.016628341691424,7.984194685519686,47.5,0.6128852308885999,1.1238602644190132,20,20,0,25.48834800963286,109.66644116307822,False
0.25,threshold_0p25,2023H1,1.0,27,186.88926332856474,166.8892633285647,166.7363993288563,0.2222222222222222,3.5552999044976827,3.18402428997845,59.962108157813,11.10668448971568,9.820386679018755,47.0,0.8280287452217536,1.6893045897079273,15,12,1,-59.59194136195833,83.24995581487663,False
0.25,threshold_0p25,2023H2,1.0,43,-39.59194136195832,-59.59194136195833,-59.57236394112059,0.023255813953488372,0.1929180450936356,0.1346402795604166,-19.949780731195432,21.14388087107646,19.949780731195432,46.0,1.0055515416198406,1.95389486260454,19,24,0,-59.59194136195833,83.24995581487663,False
0.25,threshold_0p25,2024H1,1.0,29,207.61788466170276,187.61788466170273,187.5206434930717,0.20689655172413793,3.5895403643903974,3.611800630923098,48.320841401807144,8.758733502291127,7.105430536177105,38.0,0.70977527263755,1.4408510638297873,11,18,0,-59.59194136195833,83.24995581487663,False
0.25,threshold_0p25,2024H2,1.0,39,125.2312465629886,105.23124656298859,105.22437268562878,0.20512820512820512,2.513624743371837,2.330822764639814,29.51398603636388,9.936794385639558,7.902557538320476,47.0,0.6077389873122758,1.1238602644190132,19,20,0,-59.59194136195833,83.24995581487663,False
0.3,threshold_0p3,2023H1,1.0,30,112.70857956373618,92.70857956373617,92.62126396741832,0.23333333333333334,1.8078567084661965,2.1790062449901058,15.34082561626169,11.106684489715713,9.820386679018778,55.5,0.7660679392597705,1.6007899159663865,15,15,1,-74.5916926011036,56.777949499321906,False
0.3,threshold_0p3,2023H2,1.0,40,-54.59169260110358,-74.5916926011036,-74.5759986658599,0.0,0.0,0.0,-22.698181560295527,23.851284113355998,22.698181560295527,58.5,0.9364755865717133,1.95389486260454,18,22,0,-74.5916926011036,56.777949499321906,False
0.3,threshold_0p3,2024H1,1.0,28,178.47033077015357,158.47033077015357,158.31634653766227,0.17857142857142858,3.3764412619065474,3.0854468989746184,38.46767038758696,8.298870767859135,6.82911066284394,38.0,0.6415848331763385,1.1494378930817608,10,18,0,-74.5916926011036,56.777949499321906,False
