feature,auc_all,oriented_auc_all,preferred_direction,auc_2023,auc_2024,same_direction_both_years
atr_pct,0.5666210768787792,0.5666210768787792,higher,0.5210843373493976,0.5747007536574553,True
atr_pct_ratio96,0.5556435358479701,0.5556435358479701,higher,0.5377223178427998,0.5704152504802719,True
drawdown24,0.5423625107975814,0.5423625107975814,higher,0.5210843373493976,0.560218708438008,True
order_score,0.46006694500431905,0.5399330549956809,lower,0.4753298909925416,0.43712132407270576,True
volume_ratio,0.46803915922833284,0.5319608407716672,lower,0.4604130808950086,0.45677552829909857,True
pre_range48,0.5305211632594299,0.5305211632594299,higher,0.48264486517498567,0.5553421013743165,False
pre_range168,0.5295493809386698,0.5295493809386698,higher,0.47030981067125643,0.572336338111423,False
ret_12,0.5275338324215376,0.5275338324215376,higher,0.5030120481927711,0.5139648293187528,True
spread_chg24,0.5230348401957962,0.5230348401957962,higher,0.5579460699942628,0.4824885473621989,False
spread_chg8,0.47934062769939534,0.5206593723006047,lower,0.49010327022375216,0.46564208659671935,True
dense_frac48,0.519921537575583,0.519921537575583,higher,0.5892139988525531,0.46726762228461655,False
full_spread,0.5187517995968903,0.5187517995968903,higher,0.49899598393574296,0.5213536279001034,False
close_vs_ema200,0.5181399366541894,0.5181399366541894,higher,0.4952667814113597,0.5192847642973253,False
full_ratio_min48,0.5162143679815722,0.5162143679815722,higher,0.5443918531267928,0.4715531254617999,False
ret_48,0.5160883961992514,0.5160883961992514,higher,0.5093230063109582,0.5019949756169647,True
spread_pos96,0.48941837028505614,0.5105816297149439,lower,0.4885255306942054,0.4752475247524752,True
ret_4,0.5074143391880219,0.5074143391880219,higher,0.5032989099254159,0.49165065760307375,False
ext_up,0.5067304923697092,0.5067304923697092,higher,0.5058806655192197,0.48396630707846905,False
spread_mean8,0.5066945004319032,0.5066945004319032,higher,0.45582329317269077,0.5217969558149845,False
dense_run_len,0.5064605528361646,0.5064605528361646,higher,0.5124784853700516,0.544628343431358,True
ma_spread_pct,0.4938093866973798,0.5061906133026202,lower,0.4690189328743546,0.4869218265110093,True
vol_ratio_mean8,0.49431327382666285,0.5056867261733371,lower,0.485083189902467,0.5039160632481159,False
fast_slow_gap,0.5045709761013533,0.5045709761013533,higher,0.4951233505450373,0.4968228166100192,True
spread_mean24,0.5035991937805931,0.5035991937805931,higher,0.45051635111876076,0.5322890498005024,False
close_vs_ema55,0.4976245321048085,0.5023754678951915,lower,0.4892426850258176,0.4745086448943402,True
ret_24,0.5023394759573856,0.5023394759573856,higher,0.5166379804934021,0.4765775084971184,False
volume_z,0.49816441117189747,0.5018355888281025,lower,0.4932587492828457,0.4910595537165657,True
slow_slope_12,0.49924416930607546,0.5007558306939246,lower,0.49541021227768217,0.49165065760307375,True
