label,variant,risk_percent,trades,weeks,actual_return_percent,actual_drawdown_15m_percent,return_q05_percent,return_median_percent,return_q95_percent,drawdown_median_percent,drawdown_q95_percent,probability_negative_terminal,probability_drawdown_over_15pct,probability_drawdown_over_20pct,longest_actual_losing_streak
V9 risk 0.50%,v9_risk_0p5,0.5,110,61,12.138699837757683,10.609505950640862,-11.395370411990765,11.47261602480757,43.388686275079216,9.713824431964763,18.400434968569698,0.22565,0.13945,0.0295,22
V9 risk 0.75%,v9_risk_0p75,0.75,110,61,17.68324548058755,15.459588367475396,-16.949786099855373,17.03765666387522,69.69618724763798,14.17671083789927,26.371595423178395,0.2316,0.44385,0.19255,22
V9 risk 1.00%,v9_risk_1p0,1.0,110,61,22.81944823926716,20.032112605053175,-22.596209254935417,21.90372945429496,99.78798708565034,18.48353231254357,33.62524276367696,0.24335,0.71165,0.42125,22
V10 volume 1.00%,v10_volume_1p0,1.0,77,61,18.242941189519502,13.561647154976574,-23.09452091410455,17.620438530799166,89.70098438052962,17.86908546277835,32.72208411153564,0.27725,0.6735,0.3858,27
V11 long-only 1.00%,v11_long_1p0,1.0,56,61,17.46477948812366,16.734688406825914,-19.850530308295635,15.384353707733723,80.7900962968511,14.68659890054908,26.22609321071835,0.2778,0.478,0.20515,20
