candidate_id,side,signal_i,signal_time,ema7_adjacent_directional_cross_count_8,ema7_adjacent_opposite_cross_count_8,ema7_adjacent_cross_imbalance_8,ema7_adjacent_cross_churn_8,ema7_adjacent_directional_cross_breadth_8,ema7_adjacent_opposite_cross_breadth_8,ema7_adjacent_current_alignment_8,ema7_adjacent_directional_cross_count_16,ema7_adjacent_opposite_cross_count_16,ema7_adjacent_cross_imbalance_16,ema7_adjacent_cross_churn_16,ema7_adjacent_directional_cross_breadth_16,ema7_adjacent_opposite_cross_breadth_16,ema7_adjacent_current_alignment_16,ema7_adjacent_directional_cross_count_32,ema7_adjacent_opposite_cross_count_32,ema7_adjacent_cross_imbalance_32,ema7_adjacent_cross_churn_32,ema7_adjacent_directional_cross_breadth_32,ema7_adjacent_opposite_cross_breadth_32,ema7_adjacent_current_alignment_32,ma6_directional_pairs_directional_cross_count_8,ma6_directional_pairs_opposite_cross_count_8,ma6_directional_pairs_cross_imbalance_8,ma6_directional_pairs_cross_churn_8,ma6_directional_pairs_directional_cross_breadth_8,ma6_directional_pairs_opposite_cross_breadth_8,ma6_directional_pairs_current_alignment_8,ma6_directional_pairs_directional_cross_count_16,ma6_directional_pairs_opposite_cross_count_16,ma6_directional_pairs_cross_imbalance_16,ma6_directional_pairs_cross_churn_16,ma6_directional_pairs_directional_cross_breadth_16,ma6_directional_pairs_opposite_cross_breadth_16,ma6_directional_pairs_current_alignment_16,ma6_directional_pairs_directional_cross_count_32,ma6_directional_pairs_opposite_cross_count_32,ma6_directional_pairs_cross_imbalance_32,ma6_directional_pairs_cross_churn_32,ma6_directional_pairs_directional_cross_breadth_32,ma6_directional_pairs_opposite_cross_breadth_32,ma6_directional_pairs_current_alignment_32,ma6_bandwidth,ma6_bandwidth_change_4,start_label
pine-v9|long|35073|2023-01-03T23:45:00+00:00,long,35073,2023-01-03 23:45:00+00:00,2.0,1.0,1.0,3.0,2.0,1.0,5.0,4.0,1.0,3.0,5.0,4.0,1.0,5.0,4.0,1.0,3.0,5.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-3.0,3.0,0.0,3.0,1.0,0.0023941352434274712,-0.001093538422090179,1
pine-v9|long|35167|2023-01-04T23:15:00+00:00,long,35167,2023-01-04 23:15:00+00:00,2.0,0.0,2.0,2.0,2.0,0.0,6.0,2.0,2.0,0.0,4.0,2.0,2.0,6.0,3.0,2.0,1.0,5.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.011441683705807722,-0.002356030324847302,0
pine-v9|long|35249|2023-01-05T19:45:00+00:00,long,35249,2023-01-05 19:45:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,3.0,3.0,3.0,0.0,5.0,3.0,2.0,1.0,5.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,-1.0,3.0,1.0,2.0,4.0,0.002817596439778194,-0.00019112612851126523,0
pine-v9|long|35328|2023-01-06T15:30:00+00:00,long,35328,2023-01-06 15:30:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,3.0,-2.0,4.0,1.0,3.0,0.0,0.0027887746800961807,-0.0005120529326580257,1
pine-v9|long|35914|2023-01-12T18:00:00+00:00,long,35914,2023-01-12 18:00:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,6.0,3.0,1.0,2.0,4.0,3.0,1.0,6.0,5.0,4.0,1.0,9.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,2.0,-1.0,3.0,1.0,2.0,11.0,0.01676131791011674,-0.0007441054485656691,1
pine-v9|long|35954|2023-01-13T04:00:00+00:00,long,35954,2023-01-13 04:00:00+00:00,1.0,1.0,0.0,2.0,1.0,1.0,4.0,1.0,2.0,-1.0,3.0,1.0,2.0,4.0,1.0,3.0,-2.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.010229186970497753,-0.0009628278593370818,1
pine-v9|long|36000|2023-01-13T15:30:00+00:00,long,36000,2023-01-13 15:30:00+00:00,4.0,1.0,3.0,5.0,4.0,1.0,6.0,4.0,4.0,0.0,8.0,4.0,4.0,6.0,7.0,4.0,3.0,11.0,4.0,4.0,6.0,3.0,0.0,3.0,3.0,3.0,0.0,12.0,3.0,1.0,2.0,4.0,3.0,1.0,12.0,4.0,2.0,2.0,6.0,4.0,2.0,12.0,0.00490357360399505,0.0005200678993695727,1
pine-v9|long|36298|2023-01-16T18:00:00+00:00,long,36298,2023-01-16 18:00:00+00:00,2.0,0.0,2.0,2.0,2.0,0.0,5.0,3.0,0.0,3.0,3.0,3.0,0.0,5.0,3.0,1.0,2.0,4.0,3.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,1.0,6.0,-5.0,7.0,1.0,6.0,4.0,0.003555384500251125,-0.0026602448513974755,1
pine-v9|long|36373|2023-01-17T12:45:00+00:00,long,36373,2023-01-17 12:45:00+00:00,4.0,0.0,4.0,4.0,4.0,0.0,6.0,4.0,3.0,1.0,7.0,4.0,3.0,6.0,7.0,5.0,2.0,12.0,4.0,3.0,6.0,3.0,0.0,3.0,3.0,3.0,0.0,11.0,3.0,2.0,1.0,5.0,3.0,2.0,11.0,6.0,4.0,2.0,10.0,4.0,3.0,11.0,0.003448108778045292,-0.0001847457123288934,1
pine-v9|long|36430|2023-01-18T03:00:00+00:00,long,36430,2023-01-18 03:00:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,6.0,3.0,1.0,2.0,4.0,3.0,1.0,6.0,3.0,3.0,0.0,6.0,3.0,3.0,6.0,2.0,2.0,0.0,4.0,2.0,2.0,10.0,2.0,4.0,-2.0,6.0,2.0,4.0,10.0,2.0,4.0,-2.0,6.0,2.0,4.0,10.0,0.003803257750943128,0.0002751274110777374,0
pine-v9|short|36559|2023-01-19T11:15:00+00:00,short,36559,2023-01-19 11:15:00+00:00,1.0,1.0,0.0,2.0,1.0,1.0,6.0,3.0,1.0,2.0,4.0,2.0,1.0,6.0,3.0,2.0,1.0,5.0,2.0,1.0,6.0,0.0,1.0,-1.0,1.0,0.0,1.0,10.0,0.0,2.0,-2.0,2.0,0.0,2.0,10.0,0.0,2.0,-2.0,2.0,0.0,2.0,10.0,0.014488587091349278,-0.0004235066345344724,0
pine-v9|long|36987|2023-01-23T22:15:00+00:00,long,36987,2023-01-23 22:15:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,4.0,4.0,2.0,2.0,6.0,3.0,2.0,4.0,5.0,3.0,2.0,8.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,2.0,2.0,6.0,4.0,2.0,4.0,0.0020636324501216905,-0.0016617838950232907,0
pine-v9|short|37756|2023-01-31T22:30:00+00:00,short,37756,2023-01-31 22:30:00+00:00,2.0,0.0,2.0,2.0,2.0,0.0,5.0,3.0,0.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,3.0,3.0,3.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0,-3.0,5.0,1.0,4.0,2.0,0.007608505101836051,-0.0020886911400252043,0
pine-v9|short|37829|2023-02-01T16:45:00+00:00,short,37829,2023-02-01 16:45:00+00:00,4.0,1.0,3.0,5.0,4.0,1.0,6.0,4.0,2.0,2.0,6.0,4.0,2.0,6.0,4.0,4.0,0.0,8.0,4.0,4.0,6.0,3.0,3.0,0.0,6.0,3.0,3.0,10.0,3.0,5.0,-2.0,8.0,3.0,5.0,10.0,6.0,5.0,1.0,11.0,6.0,5.0,10.0,0.001707238316577158,0.0007516210627319267,0
pine-v9|long|38094|2023-02-04T11:00:00+00:00,long,38094,2023-02-04 11:00:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,6.0,5.0,1.0,4.0,6.0,4.0,1.0,6.0,5.0,3.0,2.0,8.0,4.0,3.0,6.0,3.0,0.0,3.0,3.0,3.0,0.0,10.0,4.0,0.0,4.0,4.0,4.0,0.0,10.0,4.0,6.0,-2.0,10.0,4.0,6.0,10.0,0.002344893203181928,-0.00013969406125361643,1
pine-v9|short|38304|2023-02-06T15:30:00+00:00,short,38304,2023-02-06 15:30:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,6.0,3.0,3.0,0.0,6.0,3.0,3.0,6.0,6.0,5.0,1.0,11.0,3.0,3.0,6.0,2.0,1.0,1.0,3.0,2.0,1.0,11.0,2.0,1.0,1.0,3.0,2.0,1.0,11.0,2.0,2.0,0.0,4.0,2.0,1.0,11.0,0.004369630222445506,0.00016922079282786183,0
pine-v9|short|38335|2023-02-06T23:15:00+00:00,short,38335,2023-02-06 23:15:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,3.0,3.0,3.0,0.0,5.0,3.0,4.0,-1.0,7.0,3.0,4.0,5.0,3.0,0.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,3.0,3.0,3.0,0.0,5.0,3.0,10.0,-7.0,13.0,3.0,10.0,5.0,0.005019504063173892,-0.0024702434776626547,0
pine-v9|short|38598|2023-02-09T17:00:00+00:00,short,38598,2023-02-09 17:00:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,6.0,3.0,1.0,2.0,4.0,3.0,1.0,6.0,4.0,3.0,1.0,7.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,-2.0,2.0,0.0,2.0,10.0,0.0,2.0,-2.0,2.0,0.0,2.0,10.0,0.007577158881644274,9.56492658276192e-05,1
pine-v9|short|38668|2023-02-10T10:30:00+00:00,short,38668,2023-02-10 10:30:00+00:00,2.0,0.0,2.0,2.0,2.0,0.0,6.0,2.0,1.0,1.0,3.0,2.0,1.0,6.0,2.0,2.0,0.0,4.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.027155875470278548,-0.0019231435212166935,1
pine-v9|short|38905|2023-02-12T21:45:00+00:00,short,38905,2023-02-12 21:45:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,4.0,3.0,0.0,3.0,3.0,3.0,0.0,4.0,3.0,4.0,-1.0,7.0,3.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,-2.0,8.0,3.0,5.0,2.0,0.0035851802844855236,-0.002255700190036326,1
pine-v9|long|39151|2023-02-15T11:15:00+00:00,long,39151,2023-02-15 11:15:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,6.0,3.0,3.0,0.0,6.0,3.0,3.0,6.0,5.0,3.0,2.0,8.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,2.0,-1.0,3.0,1.0,2.0,11.0,0.00911522974584736,-0.0012784200035865813,1
pine-v9|long|39267|2023-02-16T16:15:00+00:00,long,39267,2023-02-16 16:15:00+00:00,3.0,1.0,2.0,4.0,3.0,1.0,6.0,5.0,3.0,2.0,8.0,3.0,3.0,6.0,7.0,5.0,2.0,12.0,3.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,2.0,-1.0,3.0,1.0,2.0,11.0,0.023774041111544714,-0.0005708438951812847,0
pine-v9|long|39670|2023-02-20T21:00:00+00:00,long,39670,2023-02-20 21:00:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,6.0,3.0,1.0,2.0,4.0,3.0,1.0,6.0,4.0,4.0,0.0,8.0,3.0,3.0,6.0,1.0,2.0,-1.0,3.0,1.0,2.0,10.0,1.0,3.0,-2.0,4.0,1.0,3.0,10.0,3.0,3.0,0.0,6.0,3.0,3.0,10.0,0.0051076147221073296,0.00045853049731912725,0
pine-v9|short|39923|2023-02-23T12:15:00+00:00,short,39923,2023-02-23 12:15:00+00:00,2.0,0.0,2.0,2.0,2.0,0.0,4.0,3.0,0.0,3.0,3.0,3.0,0.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,3.0,-3.0,3.0,0.0,3.0,0.0,0.011197729660869064,-0.003186083171834402,0
pine-v9|short|39985|2023-02-24T03:45:00+00:00,short,39985,2023-02-24 03:45:00+00:00,4.0,0.0,4.0,4.0,4.0,0.0,6.0,4.0,4.0,0.0,8.0,4.0,4.0,6.0,7.0,5.0,2.0,12.0,4.0,4.0,6.0,6.0,2.0,4.0,8.0,6.0,2.0,9.0,8.0,6.0,2.0,14.0,8.0,6.0,9.0,10.0,6.0,4.0,16.0,8.0,6.0,9.0,0.001776606061202451,0.000367458453736086,1
pine-v9|long|40305|2023-02-27T11:45:00+00:00,long,40305,2023-02-27 11:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,2.0,0.0,6.0,2.0,2.0,0.0,4.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,-2.0,2.0,0.0,2.0,10.0,0.0,2.0,-2.0,2.0,0.0,2.0,10.0,0.009379964489299952,-0.0007930019560039702,0
pine-v9|long|40404|2023-02-28T12:30:00+00:00,long,40404,2023-02-28 12:30:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,-3.0,7.0,2.0,5.0,0.0,0.004368804468727471,-0.000923662963893619,0
pine-v9|short|40648|2023-03-03T01:30:00+00:00,short,40648,2023-03-03 01:30:00+00:00,4.0,0.0,4.0,4.0,4.0,0.0,5.0,4.0,1.0,3.0,5.0,4.0,1.0,5.0,4.0,4.0,0.0,8.0,4.0,4.0,5.0,6.0,0.0,6.0,6.0,6.0,0.0,10.0,6.0,5.0,1.0,11.0,6.0,5.0,10.0,6.0,8.0,-2.0,14.0,6.0,8.0,10.0,0.006702709392708712,0.0014096835893981042,0
pine-v9|short|40718|2023-03-03T19:00:00+00:00,short,40718,2023-03-03 19:00:00+00:00,2.0,2.0,0.0,4.0,2.0,2.0,6.0,4.0,2.0,2.0,6.0,2.0,2.0,6.0,4.0,4.0,0.0,8.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,2.0,-1.0,3.0,1.0,2.0,11.0,1.0,2.0,-1.0,3.0,1.0,2.0,11.0,0.018111297254898667,-0.0007184385595990009,0
pine-v9|short|41014|2023-03-06T21:00:00+00:00,short,41014,2023-03-06 21:00:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,4.0,3.0,0.0,3.0,3.0,3.0,0.0,4.0,3.0,2.0,1.0,5.0,3.0,2.0,4.0,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,7.0,-7.0,7.0,0.0,7.0,1.0,0.0025254674816261573,-0.001210236280743281,0
pine-v9|long|41036|2023-03-07T02:30:00+00:00,long,41036,2023-03-07 02:30:00+00:00,4.0,0.0,4.0,4.0,4.0,0.0,5.0,4.0,2.0,2.0,6.0,4.0,2.0,5.0,5.0,5.0,0.0,10.0,4.0,4.0,5.0,6.0,1.0,5.0,7.0,6.0,1.0,11.0,6.0,7.0,-1.0,13.0,6.0,7.0,11.0,10.0,9.0,1.0,19.0,8.0,7.0,11.0,0.0020098566599426678,0.00043659306303794865,0
pine-v9|short|41147|2023-03-08T06:15:00+00:00,short,41147,2023-03-08 06:15:00+00:00,4.0,1.0,3.0,5.0,4.0,1.0,6.0,6.0,3.0,3.0,9.0,4.0,2.0,6.0,6.0,6.0,0.0,12.0,4.0,4.0,6.0,2.0,0.0,2.0,2.0,2.0,0.0,9.0,2.0,2.0,0.0,4.0,2.0,2.0,9.0,2.0,5.0,-3.0,7.0,2.0,5.0,9.0,0.0036510648246455024,-9.982140964608869e-05,1
pine-v9|short|41197|2023-03-08T18:45:00+00:00,short,41197,2023-03-08 18:45:00+00:00,3.0,0.0,3.0,3.0,3.0,0.0,6.0,3.0,3.0,0.0,6.0,3.0,3.0,6.0,5.0,3.0,2.0,8.0,3.0,3.0,6.0,1.0,1.0,0.0,2.0,1.0,1.0,12.0,1.0,1.0,0.0,2.0,1.0,1.0,12.0,1.0,1.0,0.0,2.0,1.0,1.0,12.0,0.0020022101619797416,-8.271889601692891e-06,1
pine-v9|short|41213|2023-03-08T22:45:00+00:00,short,41213,2023-03-08 22:45:00+00:00,3.0,1.0,2.0,4.0,3.0,1.0,6.0,3.0,3.0,0.0,6.0,3.0,3.0,6.0,6.0,6.0,0.0,12.0,3.0,3.0,6.0,2.0,0.0,2.0,2.0,2.0,0.0,12.0,3.0,3.0,0.0,6.0,3.0,3.0,12.0,4.0,4.0,0.0,8.0,3.0,3.0,12.0,0.0021649000214814685,0.0005274612254868871,1
pine-v9|short|41285|2023-03-09T16:45:00+00:00,short,41285,2023-03-09 16:45:00+00:00,2.0,0.0,2.0,2.0,2.0,0.0,6.0,2.0,2.0,0.0,4.0,2.0,2.0,6.0,2.0,2.0,0.0,4.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0060200430402157935,2.221428845545874e-05,1
