trade_id,candidate_signal_i,candidate_entry_time,candidate_project_net_return,direction,holding_bars,control_rank,control_signal_i,control_signal_time,stratum_month,stratum_hk_6h,stratum_atr_quintile,control_entry_i,control_exit_i,control_entry_price,control_exit_price,control_exit_reason,control_gross_return,control_project_net_return,control_pine_net_return,gate_arm,period
allow_all|2023|0,35073,2023-01-04 00:00:00+00:00,0.24803910720313516,long,1486,0,34881,2023-01-01 23:45:00+00:00,2023-01,1,0,34882,34887,1200.27,1194.11,stop,-0.005132178593149961,-0.007132178593149961,-0.0071270464145568105,allow_all,2023
allow_all|2023|0,35073,2023-01-04 00:00:00+00:00,0.24803910720313516,long,1486,1,34889,2023-01-02 01:45:00+00:00,2023-01,1,0,34890,36376,1194.83,1569.25,copied_horizon,0.3133667551032364,0.3113667551032364,0.3110533883481332,allow_all,2023
allow_all|2023|0,35073,2023-01-04 00:00:00+00:00,0.24803910720313516,long,1486,2,34970,2023-01-02 22:00:00+00:00,2023-01,1,0,34971,35037,1217.88,1210.3200000000002,stop,-0.006207508128879602,-0.008207508128879602,-0.008201300620750723,allow_all,2023
allow_all|2023|1,36559,2023-01-19 11:30:00+00:00,-0.013269108416594786,short,12,0,35983,2023-01-13 11:15:00+00:00,2023-01,3,3,35984,35996,1411.5,1408.09,copied_horizon,0.0024158696422246217,0.0004158696422246217,0.00041828551186684623,allow_all,2023
allow_all|2023|1,36559,2023-01-19 11:30:00+00:00,-0.013269108416594786,short,12,1,37711,2023-01-31 11:15:00+00:00,2023-01,3,3,37712,37720,1568.66,1586.3400000000001,stop,-0.011270766131602716,-0.013270766131602716,-0.01328203689773432,allow_all,2023
allow_all|2023|1,36559,2023-01-19 11:30:00+00:00,-0.013269108416594786,short,12,2,36558,2023-01-19 11:00:00+00:00,2023-01,3,3,36559,36571,1521.43,1525.99,copied_horizon,-0.0029971802843378192,-0.004997180284337819,-0.0050001774646221565,allow_all,2023
allow_all|2023|2,38598,2023-02-09 17:15:00+00:00,0.041133591844008666,short,553,0,38601,2023-02-09 17:45:00+00:00,2023-02,0,3,38602,39155,1623.89,1585.58,copied_horizon,0.02359149942422223,0.021591499424222227,0.02161509092364645,allow_all,2023
allow_all|2023|2,38598,2023-02-09 17:15:00+00:00,0.041133591844008666,short,553,1,38408,2023-02-07 17:30:00+00:00,2023-02,0,3,38409,38409,1639.27,1664.3799999999999,stop,-0.015317793896063359,-0.01731779389606336,-0.01733311168995942,allow_all,2023
allow_all|2023|2,38598,2023-02-09 17:15:00+00:00,0.041133591844008666,short,553,2,39849,2023-02-22 17:45:00+00:00,2023-02,0,3,39850,39870,1611.19,1643.27,stop,-0.019910749197797895,-0.021910749197797896,-0.021930659946995692,allow_all,2023
allow_all|2023|3,39151,2023-02-15 11:30:00+00:00,0.053398566547640414,long,772,0,39435,2023-02-18 10:15:00+00:00,2023-02,3,1,39436,39557,1692.45,1694.1424499999998,stop,0.0009999999999998899,-0.0010000000000001102,-0.0010010000000001099,allow_all,2023
allow_all|2023|3,39151,2023-02-15 11:30:00+00:00,0.053398566547640414,long,772,1,39059,2023-02-14 12:15:00+00:00,2023-02,3,1,39060,39064,1509.86,1492.1599999999999,stop,-0.011722941199846404,-0.013722941199846404,-0.013711218258646558,allow_all,2023
allow_all|2023|3,39151,2023-02-15 11:30:00+00:00,0.053398566547640414,long,772,2,40306,2023-02-27 12:00:00+00:00,2023-02,3,1,40307,40320,1639.52,1641.1595199999997,stop,0.0009999999999998899,-0.0010000000000001102,-0.0010010000000001099,allow_all,2023
allow_all|2023|4,39923,2023-02-23 12:30:00+00:00,-0.018728126863582606,short,3,0,39168,2023-02-15 15:30:00+00:00,2023-02,3,3,39169,39172,1575.02,1578.38,copied_horizon,-0.002133306243730315,-0.004133306243730315,-0.004135439549974046,allow_all,2023
allow_all|2023|4,39923,2023-02-23 12:30:00+00:00,-0.018728126863582606,short,3,1,39627,2023-02-20 10:15:00+00:00,2023-02,3,3,39628,39631,1709.01,1712.29,copied_horizon,-0.0019192397937988215,-0.0039192397937988215,-0.0039211590335926205,allow_all,2023
allow_all|2023|4,39923,2023-02-23 12:30:00+00:00,-0.018728126863582606,short,3,2,39925,2023-02-23 12:45:00+00:00,2023-02,3,3,39926,39929,1647.74,1655.73,copied_horizon,-0.004849065993421275,-0.0068490659934212755,-0.0068539150594146975,allow_all,2023
allow_all|2023|5,40305,2023-02-27 12:00:00+00:00,-0.010958935166563098,long,18,0,40109,2023-02-25 10:45:00+00:00,2023-02,3,1,40110,40128,1596.88,1595.67,copied_horizon,-0.0007577275687591367,-0.0027577275687591368,-0.0027569698411903775,allow_all,2023
