variant,period,risk_percent,trades,gross_bp_per_trade,project_net_bp_per_trade,pine_net_bp_per_trade,win_rate,monetary_profit_factor,unit_profit_factor,return_percent,max_drawdown_15m_percent,max_drawdown_daily_percent,median_holding_bars,mean_leverage,max_leverage,long_trades,short_trades,period_end_exits,raw_candidates,accepted_candidates,acceptance_rate,intrabar_barrier_collisions,largest_trade_share_of_unit_net,without_largest_trade_net_bp,exit_reasons,gate_id,family,window,threshold
ema7_adjacent_allow_all,2023H1,1.0,42,81.01980557981084,61.01980557981081,60.964550455408336,0.16666666666666666,1.9663976867616242,1.7102952243021816,39.80485694491054,16.684507711411722,14.863316527703297,33.5,0.8322577495833685,1.6897959314817335,24.0,18.0,1.0,77,77,1.0,0,0.9678321608091209,2.010750300504944,"{'stop': 33, 'reverse': 8, 'period_end': 1}",ema7_adjacent_allow_all,ema7_adjacent,,
ema7_adjacent_allow_all,2023H2,1.0,42,61.493021984932106,41.4930219849321,41.41539833402185,0.11904761904761904,1.8598677564263415,1.762599844336993,21.82505772932737,16.735166363774734,15.183961339312123,82.0,1.1318334237518197,2.1379219001159657,15.0,27.0,1.0,90,90,1.0,0,1.2418814491659567,-10.28118234379491,"{'stop': 36, 'reverse': 5, 'period_end': 1}",ema7_adjacent_allow_all,ema7_adjacent,,
ema7_adjacent_allow_all,2024H1,1.0,38,219.75929700700925,199.75929700700925,199.64779026505497,0.21052631578947367,3.5490143171909856,4.160123396397319,60.32293782439451,9.512658645058835,8.015346320105365,38.5,0.7086666646016909,1.440865863747012,17.0,21.0,0.0,81,81,1.0,0,0.330746756003609,137.30278882525462,"{'stop': 30, 'reverse': 8}",ema7_adjacent_allow_all,ema7_adjacent,,
ema7_adjacent_allow_all,2024H2,1.0,45,112.03577071886177,92.03577071886176,92.03379837277885,0.17777777777777778,2.2595847485292326,2.1827247827717957,30.522145244460575,12.215369521910768,10.184706574944824,47.0,0.6365777497864092,1.5284396601381303,24.0,21.0,0.0,87,87,1.0,0,0.6414353934635735,33.75078741315556,"{'stop': 37, 'reverse': 8}",ema7_adjacent_allow_all,ema7_adjacent,,
ema7_adjacent_cross_imbalance_w8_gte_1,2023H1,1.0,41,85.62832048512198,65.62832048512195,65.54593121372129,0.14634146341463414,2.1223775560612363,1.7554382439871377,46.20105478176912,16.03453811330249,14.630267051739132,38.0,0.8204934757423079,1.6897959314817335,23.0,18.0,1.0,77,73,0.948051948051948,0,1.1050363335178328,-7.065692112657749,"{'stop': 33, 'reverse': 7, 'period_end': 1}",ema7_adjacent_cross_imbalance_w8_gte_1,ema7_adjacent,8.0,1.0
ema7_adjacent_cross_imbalance_w8_gte_1,2023H2,1.0,42,49.331460159084756,29.331460159084738,29.26105526435132,0.11904761904761904,1.6397218640270768,1.4915711020801807,17.203964331347564,16.720567534733878,16.0280577103035,82.0,1.1157058281194832,2.1379219001159657,16.0,26.0,1.0,90,83,0.9222222222222223,0,1.6184411429541379,-18.58221544640295,"{'stop': 36, 'reverse': 5, 'period_end': 1}",ema7_adjacent_cross_imbalance_w8_gte_1,ema7_adjacent,8.0,1.0
ema7_adjacent_cross_imbalance_w8_gte_1,2024H1,1.0,34,199.63311993720424,179.6331199372042,179.58844403904953,0.20588235294117646,3.310557278638946,3.6242239237502107,52.40688771511448,8.497717040444074,7.545595008882266,39.0,0.7264152222081307,1.4408658637470122,15.0,19.0,0.0,81,78,0.9629629629629629,0,0.42393259707035613,106.61656624244642,"{'stop': 27, 'reverse': 7}",ema7_adjacent_cross_imbalance_w8_gte_1,ema7_adjacent,8.0,1.0
ema7_adjacent_cross_imbalance_w8_gte_1,2024H2,1.0,44,116.06922896060806,96.06922896060804,96.06572459775238,0.18181818181818182,2.4087264245183557,2.2373111015003526,32.24777175429552,11.054773477267654,9.045837701708614,44.0,0.6163081609147792,1.1240179699225414,23.0,21.0,0.0,87,85,0.9770114942528736,0,0.6284708019490322,36.52258228132137,"{'stop': 36, 'reverse': 8}",ema7_adjacent_cross_imbalance_w8_gte_1,ema7_adjacent,8.0,1.0
ema7_adjacent_cross_imbalance_w8_gte_2,2023H1,1.0,45,41.81543279681785,21.81543279681783,21.780460348921675,0.15555555555555556,1.0202292341599126,1.2604374006559518,0.6223005021897654,15.237557681111491,13.819957608638067,38.0,0.8086934915751092,1.6446173825357708,25.0,20.0,1.0,77,69,0.8961038961038961,0,1.5717788732658367,-12.757094574924967,"{'stop': 36, 'reverse': 8, 'period_end': 1}",ema7_adjacent_cross_imbalance_w8_gte_2,ema7_adjacent,8.0,2.0
ema7_adjacent_cross_imbalance_w8_gte_2,2023H2,1.0,39,52.394684349518194,32.39468434951818,32.31638955497783,0.10256410256410256,1.8781488140624005,1.5214035741526712,22.883745484094774,16.79952839361718,15.814507267006706,84.0,1.1164768469811643,2.137921900115966,15.0,24.0,0.0,90,74,0.8222222222222222,0,1.5781254524799244,-19.221038693496606,"{'stop': 34, 'reverse': 5}",ema7_adjacent_cross_imbalance_w8_gte_2,ema7_adjacent,8.0,2.0
