label,bar_minutes,variant,period,risk_percent,trades,gross_bp_per_trade,project_net_bp_per_trade,pine_net_bp_per_trade,win_rate,monetary_profit_factor,unit_profit_factor,return_percent,max_drawdown_15m_percent,max_drawdown_daily_percent,median_holding_bars,mean_leverage,max_leverage,long_trades,short_trades,period_end_exits,matched_control_net_bp,candidate_minus_control_bp,week_signflip_p
V8_10m,10,V8_10m,common_short_20251223_202602,1.0,52,47.388475464272055,27.38847546427204,27.413739793718744,0.21153846153846154,1.6658027316205863,1.311332495308279,21.27644303025187,14.133653983321393,12.671749702804803,50.5,0.7664820000902746,1.703065662665022,25,27,0,,,
V8_15m,15,V8_15m,common_short_20251223_202602,1.0,31,-19.784222353820446,-39.78422235382047,-39.774322039466284,0.12903225806451613,0.7792881200442788,0.5732749903358555,-3.312120427374532,9.392364236626882,8.80910372623016,63.0,0.5905354678672199,1.0711687362442552,14,17,0,11.823339951930794,-51.607562305751266,0.5251474852514748
V9_10m,10,V9_10m,common_short_20251223_202602,1.0,29,4.007593196983957,-15.992406803016062,-15.960469888388372,0.10344827586206896,1.101479220532688,0.8419492167874855,2.1185235122521906,12.79806110892433,11.740072189799855,66.0,0.8206583769059264,1.858995412346832,11,18,0,,,
V9_15m,15,V9_15m,common_short_20251223_202602,1.0,25,-38.67520777367894,-58.67520777367896,-58.633731460314145,0.08,0.5684392589600781,0.4439436644393485,-5.98049688663097,11.402570715309746,10.671119160225018,46.0,0.6266523007686138,1.1482506996887534,11,14,0,2.794037809066238,-61.4692455827452,0.4958504149585041
