variant,round_trip_cost,round_trip_cost_bp,gross_bp_per_trade,net_bp_per_trade,official_cost_row
v9_locked,0.0,0.0,50.22342085518964,50.22342085518964,False
v9_locked,0.001,10.0,50.22342085518964,40.22342085518963,False
v9_locked,0.002,20.0,50.22342085518964,30.223420855189634,True
v9_locked,0.003,30.0,50.22342085518964,20.223420855189634,False
v9_locked,0.004,40.0,50.22342085518964,10.223420855189634,False
v9_locked,0.005,50.0,50.22342085518964,0.22342085518963287,False
v9_locked,0.006,60.0,50.22342085518964,-9.776579144810368,False
v10_volume_hypothesis,0.0,0.0,61.21818162149014,61.21818162149014,False
v10_volume_hypothesis,0.001,10.0,61.21818162149014,51.21818162149014,False
v10_volume_hypothesis,0.002,20.0,61.21818162149014,41.21818162149014,True
v10_volume_hypothesis,0.003,30.0,61.21818162149014,31.21818162149014,False
v10_volume_hypothesis,0.004,40.0,61.21818162149014,21.21818162149014,False
v10_volume_hypothesis,0.005,50.0,61.21818162149014,11.218181621490139,False
v10_volume_hypothesis,0.006,60.0,61.21818162149014,1.2181816214901393,False
