feature,favorable_direction,raw_auc,oriented_auc,top_decile_rows,top_decile_net_bp,status
spread_chg8,higher,0.5853983479882761,0.5853983479882761,17,342.57560360507443,full-development exploratory; in-sample and unadjusted
ret_48,lower,0.4175326405542233,0.5824673594457768,17,260.87794909563377,full-development exploratory; in-sample and unadjusted
volume_z,lower,0.43005595523581136,0.5699440447641886,17,115.80273007134531,full-development exploratory; in-sample and unadjusted
full_ratio_min48,higher,0.5638156141753264,0.5638156141753264,17,-38.260520402953,full-development exploratory; in-sample and unadjusted
vol_ratio_mean8,higher,0.5611510791366906,0.5611510791366906,17,-20.643506708916423,full-development exploratory; in-sample and unadjusted
pre_range48,lower,0.44417799094058086,0.5558220090594191,17,95.02288780435592,full-development exploratory; in-sample and unadjusted
spread_chg24,higher,0.5550226485478285,0.5550226485478285,17,232.27938031815586,full-development exploratory; in-sample and unadjusted
drawdown24,lower,0.44844124700239807,0.5515587529976019,17,454.4182647654605,full-development exploratory; in-sample and unadjusted
ret_24,higher,0.5512922994937384,0.5512922994937384,17,336.208246216068,full-development exploratory; in-sample and unadjusted
dense_run_len,lower,0.45550226485478285,0.5444977351452172,87,112.68351580206422,full-development exploratory; in-sample and unadjusted
volume_ratio,lower,0.4606981081801226,0.5393018918198774,17,163.96503331791683,full-development exploratory; in-sample and unadjusted
ext_up,lower,0.4660271782573941,0.5339728217426059,17,93.00970433334875,full-development exploratory; in-sample and unadjusted
atr_pct_ratio96,lower,0.47002398081534774,0.5299760191846523,17,142.5283903022936,full-development exploratory; in-sample and unadjusted
pre_range168,higher,0.5267785771382894,0.5267785771382894,17,15.16902505676945,full-development exploratory; in-sample and unadjusted
close_vs_ema55,lower,0.4745536903810285,0.5254463096189714,17,49.01527728148594,full-development exploratory; in-sample and unadjusted
atr_pct,lower,0.47961630695443647,0.5203836930455635,17,253.54347818692506,full-development exploratory; in-sample and unadjusted
fast_slow_gap,lower,0.4828137490007994,0.5171862509992007,17,169.6253117262923,full-development exploratory; in-sample and unadjusted
ret_4,lower,0.48361310951239006,0.5163868904876099,17,85.89541522480445,full-development exploratory; in-sample and unadjusted
close_vs_ema200,lower,0.4870770050626166,0.5129229949373835,17,139.2835008753515,full-development exploratory; in-sample and unadjusted
full_spread,lower,0.49054090061284306,0.5094590993871569,17,238.134733511744,full-development exploratory; in-sample and unadjusted
slow_slope_12,lower,0.4918731681321609,0.5081268318678391,17,-4.108703119807885,full-development exploratory; in-sample and unadjusted
ma_spread_pct,higher,0.5078603783639755,0.5078603783639755,17,372.8278821437943,full-development exploratory; in-sample and unadjusted
spread_pos96,higher,0.5078603783639755,0.5078603783639755,17,81.33343534440579,full-development exploratory; in-sample and unadjusted
order_score,higher,0.5067945643485212,0.5067945643485212,117,97.82036791843876,full-development exploratory; in-sample and unadjusted
dense_frac48,lower,0.4934718891553424,0.5065281108446575,21,-74.44919610799151,full-development exploratory; in-sample and unadjusted
spread_mean24,lower,0.49480415667466027,0.5051958433253397,17,-59.55189184563065,full-development exploratory; in-sample and unadjusted
spread_mean8,lower,0.495603517186251,0.504396482813749,17,-59.02329949591988,full-development exploratory; in-sample and unadjusted
ret_12,higher,0.502531308286704,0.502531308286704,17,349.7488750274454,full-development exploratory; in-sample and unadjusted
