trade_id,candidate_signal_i,candidate_entry_time,candidate_project_net_return,direction,holding_bars,control_rank,control_signal_i,control_signal_time,stratum_month,stratum_hk_6h,stratum_atr_quintile,control_entry_i,control_exit_i,control_entry_price,control_exit_price,control_exit_reason,control_take_profit_price,control_intrabar_barrier_collision,control_gross_return,control_project_net_return,control_pine_net_return,arm,period
baseline_v9|2023|35073|35074|long,35073,2023-01-04 00:00:00+00:00,0.24803910720313516,long,1486,0,35278,2023-01-06 03:00:00+00:00,2023-01,1,0,35279,35310,1251.01,1242.09,stop,,False,-0.007130238767076302,-0.009130238767076302,-0.009123108528309226,baseline_v9,2023
baseline_v9|2023|35073|35074|long,35073,2023-01-04 00:00:00+00:00,0.24803910720313516,long,1486,1,35263,2023-01-05 23:15:00+00:00,2023-01,1,0,35264,35310,1249.96,1241.4,stop,,False,-0.0068482191430124795,-0.00884821914301248,-0.008841370923869468,baseline_v9,2023
baseline_v9|2023|35073|35074|long,35073,2023-01-04 00:00:00+00:00,0.24803910720313516,long,1486,2,34983,2023-01-03 01:15:00+00:00,2023-01,1,0,34984,36470,1212.24,1581.57,copied_horizon,,False,0.30466739259552567,0.30266739259552566,0.3023627252029301,baseline_v9,2023
baseline_v9|2023|36559|36560|short,36559,2023-01-19 11:30:00+00:00,-0.013269108416594786,short,12,0,36561,2023-01-19 11:45:00+00:00,2023-01,3,3,36562,36572,1520.05,1536.72,stop,,False,-0.010966744514983029,-0.012966744514983029,-0.012977711259498013,baseline_v9,2023
baseline_v9|2023|36559|36560|short,36559,2023-01-19 11:30:00+00:00,-0.013269108416594786,short,12,1,36941,2023-01-23 10:45:00+00:00,2023-01,3,3,36942,36954,1637.0,1617.14,copied_horizon,,False,0.012131948686621818,0.010131948686621818,0.010144080635308441,baseline_v9,2023
baseline_v9|2023|36559|36560|short,36559,2023-01-19 11:30:00+00:00,-0.013269108416594786,short,12,2,36563,2023-01-19 12:15:00+00:00,2023-01,3,3,36564,36574,1523.65,1540.1100000000001,stop,,False,-0.010803005939684418,-0.012803005939684418,-0.012813808945624103,baseline_v9,2023
baseline_v9|2023|38598|38599|short,38598,2023-02-09 17:15:00+00:00,0.041133591844008666,short,553,0,38597,2023-02-09 16:45:00+00:00,2023-02,0,3,38598,39151,1623.32,1557.07,copied_horizon,,False,0.040811423502451816,0.038811423502451814,0.03885223492595427,baseline_v9,2023
baseline_v9|2023|38598|38599|short,38598,2023-02-09 17:15:00+00:00,0.041133591844008666,short,553,1,38710,2023-02-10 21:00:00+00:00,2023-02,0,3,38711,38734,1522.26,1520.73774,stop,,False,0.0010000000000000009,-0.0009999999999999992,-0.0009989999999999995,baseline_v9,2023
baseline_v9|2023|38598|38599|short,38598,2023-02-09 17:15:00+00:00,0.041133591844008666,short,553,2,39569,2023-02-19 19:45:00+00:00,2023-02,0,3,39570,39600,1685.06,1683.37494,stop,,False,0.0010000000000000009,-0.0009999999999999992,-0.0009989999999999995,baseline_v9,2023
baseline_v9|2023|39151|39152|long,39151,2023-02-15 11:30:00+00:00,0.053398566547640414,long,772,0,40111,2023-02-25 11:15:00+00:00,2023-02,3,1,40112,40140,1602.05,1588.56,stop,,False,-0.008420461283979885,-0.010420461283979885,-0.010412040822695905,baseline_v9,2023
baseline_v9|2023|39151|39152|long,39151,2023-02-15 11:30:00+00:00,0.053398566547640414,long,772,1,37812,2023-02-01 12:30:00+00:00,2023-02,3,1,37813,37833,1581.84,1566.6,stop,,False,-0.009634349871036285,-0.011634349871036285,-0.011624715521165249,baseline_v9,2023
baseline_v9|2023|39151|39152|long,39151,2023-02-15 11:30:00+00:00,0.053398566547640414,long,772,2,39454,2023-02-18 15:00:00+00:00,2023-02,3,1,39455,39557,1695.34,1697.0353399999997,stop,,False,0.0009999999999998899,-0.0010000000000001102,-0.0010010000000001099,baseline_v9,2023
baseline_v9|2023|39923|39924|short,39923,2023-02-23 12:30:00+00:00,-0.018728126863582606,short,3,0,39155,2023-02-15 12:15:00+00:00,2023-02,3,3,39156,39159,1585.57,1583.3,copied_horizon,,False,0.001431661799857431,-0.000568338200142569,-0.0005669065383427118,baseline_v9,2023
baseline_v9|2023|39923|39924|short,39923,2023-02-23 12:30:00+00:00,-0.018728126863582606,short,3,1,39743,2023-02-21 15:15:00+00:00,2023-02,3,3,39744,39747,1666.63,1666.05,copied_horizon,,False,0.00034800765616849194,-0.001651992343831508,-0.0016516443361753396,baseline_v9,2023
baseline_v9|2023|39923|39924|short,39923,2023-02-23 12:30:00+00:00,-0.018728126863582606,short,3,2,39633,2023-02-20 11:45:00+00:00,2023-02,3,3,39634,39637,1713.53,1707.15,copied_horizon,,False,0.0037233080249542416,0.0017233080249542416,0.0017270313329791958,baseline_v9,2023
baseline_v9|2023|40305|40306|long,40305,2023-02-27 12:00:00+00:00,-0.010958935166563098,long,18,0,37902,2023-02-02 11:00:00+00:00,2023-02,3,1,37903,37917,1671.57,1653.8,stop,,False,-0.010630724408789316,-0.012630724408789316,-0.012620093684380527,baseline_v9,2023
baseline_v9|2023|40305|40306|long,40305,2023-02-27 12:00:00+00:00,-0.010958935166563098,long,18,1,38579,2023-02-09 12:15:00+00:00,2023-02,3,1,38580,38598,1631.36,1627.27,copied_horizon,,False,-0.002507110631620235,-0.004507110631620235,-0.0045046035209886145,baseline_v9,2023
baseline_v9|2023|40305|40306|long,40305,2023-02-27 12:00:00+00:00,-0.010958935166563098,long,18,2,38572,2023-02-09 10:30:00+00:00,2023-02,3,1,38573,38591,1631.81,1633.65,copied_horizon,,False,0.0011275822552871961,-0.0008724177447128039,-0.0008735453269680909,baseline_v9,2023
baseline_v9|2023|40404|40405|long,40404,2023-02-28 12:45:00+00:00,-0.011472822167626127,long,33,0,40127,2023-02-25 15:15:00+00:00,2023-02,3,1,40128,40141,1598.52,1585.28,stop,,False,-0.008282661461852192,-0.010282661461852192,-0.01027437880039034,baseline_v9,2023
baseline_v9|2023|40404|40405|long,40404,2023-02-28 12:45:00+00:00,-0.011472822167626127,long,33,1,39440,2023-02-18 11:30:00+00:00,2023-02,3,1,39441,39474,1692.19,1684.7,copied_horizon,,False,-0.0044262169141763286,-0.006426216914176329,-0.006421790697262153,baseline_v9,2023
baseline_v9|2023|40404|40405|long,40404,2023-02-28 12:45:00+00:00,-0.011472822167626127,long,33,2,38382,2023-02-07 11:00:00+00:00,2023-02,3,1,38383,38403,1642.98,1625.57,stop,,False,-0.01059659886304165,-0.01259659886304165,-0.012586002264178608,baseline_v9,2023
baseline_v9|2023|40648|40649|short,40648,2023-03-03 01:45:00+00:00,-0.012738599871547905,short,388,0,41895,2023-03-16 01:15:00+00:00,2023-03,1,4,41896,41967,1644.2,1685.8300000000002,stop,,False,-0.025319304220897676,-0.027319304220897678,-0.027344623525118572,baseline_v9,2023
baseline_v9|2023|40648|40649|short,40648,2023-03-03 01:45:00+00:00,-0.012738599871547905,short,388,1,41887,2023-03-15 23:15:00+00:00,2023-03,1,4,41888,41967,1649.17,1691.6200000000001,stop,,False,-0.02574022083836125,-0.02774022083836125,-0.02776596105919961,baseline_v9,2023
baseline_v9|2023|40648|40649|short,40648,2023-03-03 01:45:00+00:00,-0.012738599871547905,short,388,2,42556,2023-03-22 22:30:00+00:00,2023-03,1,4,42557,42621,1720.3,1771.9099999999999,stop,,False,-0.030000581293960327,-0.03200058129396033,-0.03203058187525429,baseline_v9,2023
baseline_v9|2023|41036|41037|long,41036,2023-03-07 02:45:00+00:00,-0.010845283786188207,long,47,0,40749,2023-03-04 02:45:00+00:00,2023-03,1,0,40750,40797,1571.37,1567.68,copied_horizon,,False,-0.0023482693445845415,-0.0043482693445845415,-0.0043459210752399575,baseline_v9,2023
baseline_v9|2023|41036|41037|long,41036,2023-03-07 02:45:00+00:00,-0.010845283786188207,long,47,1,41037,2023-03-07 02:45:00+00:00,2023-03,1,0,41038,41082,1576.61,1562.4299999999998,stop,,False,-0.00899398075617941,-0.01099398075617941,-0.01098498677542323,baseline_v9,2023
baseline_v9|2023|41036|41037|long,41036,2023-03-07 02:45:00+00:00,-0.010845283786188207,long,47,2,40752,2023-03-04 03:30:00+00:00,2023-03,1,0,40753,40800,1570.48,1566.7,copied_horizon,,False,-0.0024069074423106462,-0.004406907442310646,-0.004404500534868336,baseline_v9,2023
baseline_v9|2023|41147|41148|short,41147,2023-03-08 06:30:00+00:00,0.025592064707509854,short,428,0,40958,2023-03-06 07:00:00+00:00,2023-03,2,0,40959,40993,1563.97,1577.8,stop,,False,-0.008842880617914606,-0.010842880617914606,-0.010851723498532521,baseline_v9,2023
baseline_v9|2023|41147|41148|short,41147,2023-03-08 06:30:00+00:00,0.025592064707509854,short,428,1,40774,2023-03-04 09:00:00+00:00,2023-03,2,0,40775,40839,1569.92,1579.67,stop,,False,-0.006210507541785537,-0.008210507541785537,-0.008216718049327323,baseline_v9,2023
baseline_v9|2023|41147|41148|short,41147,2023-03-08 06:30:00+00:00,0.025592064707509854,short,428,2,42981,2023-03-27 08:45:00+00:00,2023-03,2,0,42982,43089,1756.62,1754.8633799999998,stop,,False,0.001000000000000112,-0.0009999999999998881,-0.000998999999999888,baseline_v9,2023
