gate,split,static_trades,dynamic_trades,entry_intersection,entry_union,entry_jaccard,common_entry_same_exit,static_net_bp_per_trade,dynamic_net_bp_per_trade,static_minus_dynamic_net_bp
vol_ratio_mean8_ge1,discovery_2023,61,62,57,66,0.8636363636363636,56,85.6701052074238,94.72468734645061,-9.054582139026817
long_only,discovery_2023,38,37,36,39,0.9230769230769231,36,131.95583800930228,158.25243610999158,-26.296598100689298
vol_ratio_mean8_ge1,confirmation_2024,64,64,59,69,0.855072463768116,56,197.57998168130254,192.4356752309583,5.144306450344249
long_only,confirmation_2024,41,43,40,44,0.9090909090909091,40,196.07896020258283,186.47824992167602,9.600710280906824
vol_ratio_mean8_ge1,final_preholdout_2025_202602,78,77,71,84,0.8452380952380952,67,50.504891061761164,41.21818162149058,9.286709440270583
long_only,final_preholdout_2025_202602,53,56,53,56,0.9464285714285714,53,75.57014878960902,63.39284101908975,12.177307770519274
