candidate_id,side,signal_i,signal_time,features_available_at,earliest_entry_time,feature_semantics,candidate_policy,ma_spread_pct,full_spread,fast_slow_gap,full_ratio_min48,spread_mean8,spread_mean24,spread_chg8,spread_chg24,spread_pos96,dense_run_len,dense_frac48,ext_up,close_vs_ema55,close_vs_ema200,order_score,slow_slope_12,volume_ratio,volume_z,vol_ratio_mean8,atr_pct,atr_pct_ratio96,pre_range48,pre_range168,drawdown24,ret_4,ret_12,ret_24,ret_48
pine-v9|long|35073|2023-01-03T23:45:00+00:00,long,35073,2023-01-03 23:45:00+00:00,2023-01-04 00:00:00+00:00,2023-01-04 00:00:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.001263591611121045,0.0020737194184086895,0.0009612317636134346,2.1441732832093012,0.0009900337371772016,0.001974844889521529,0.0001785941265192543,-0.0022494739155996075,0.32954851671819796,16,0.6875,0.0008702129279227755,0.0018390579617011404,0.0029518635874865584,3,0.00017457384860186664,0.40890197801912664,-0.496192463545334,1.0694937850580173,0.001479480768258069,0.9115439004794892,0.011658159064712731,0.020879301827762334,0.0019759591635106766,0.0016658694684061892,0.003080429773633764,0.004540529811183358,-0.0004197150875229205
pine-v9|long|35167|2023-01-04T23:15:00+00:00,long,35167,2023-01-04 23:15:00+00:00,2023-01-04 23:30:00+00:00,2023-01-04 23:30:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.0023268278728298267,0.015902213227859133,0.012558112560289741,1.0166030414591545,0.0021789054567927886,0.004421414496300268,-0.00031670217658227254,-0.0028724461789881965,0.07511500418955863,9,0.1875,0.0015369038407364588,0.003876341265387273,0.017746194733885057,4,0.0019301322522458086,0.3241326273454266,-0.5162738026420646,0.267198568421608,0.0029221386510302903,1.014694298959997,0.02581728206474612,0.05489653197126285,0.013596836686795344,0.0018332390145145983,0.0029924351240064873,0.0007245222929936901,0.005777432803335314
pine-v9|long|35249|2023-01-05T19:45:00+00:00,long,35249,2023-01-05 19:45:00+00:00,2023-01-05 20:00:00+00:00,2023-01-05 20:00:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.0008739221202836502,0.006027467482900673,0.004136694475908328,1.1316479210195622,0.0009086750345467573,0.0011432157635473655,-0.0008110473210899231,0.00015970893498700128,0.18233631652062418,91,1.0,0.001395968243268264,0.0021011354364859347,0.007476980045915127,3,0.0006402452087603816,1.4640847119143081,0.30174173932912735,0.5905998667372643,0.0018198939776413424,0.8370479139155477,0.010052095383216301,0.0399690459285024,0.0010929659265876968,0.0015501026743267587,0.003627075760244569,0.004946684839252757,0.001902341158509957
pine-v9|long|35328|2023-01-06T15:30:00+00:00,long,35328,2023-01-06 15:30:00+00:00,2023-01-06 15:45:00+00:00,2023-01-06 15:45:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.0020051379191477012,0.0029294768205859515,0.0012485409988073415,2.1570555865334287,0.0013316286917630202,0.002087125340489251,-0.0009563960592173511,0.0007171559762915183,0.4822750587117461,8,0.8333333333333334,0.005869391535855861,0.007601781036667532,0.008842117414453732,3,0.00013670369073626176,3.113385204553489,4.376919238173354,1.268413832258246,0.0037193196858812663,1.9336464920768905,0.025669154881432163,0.025669154881432163,0.0062960578092579045,0.008797395265285113,0.011075834907366522,0.007940577875354737,0.003878474466709969
pine-v9|long|35914|2023-01-12T18:00:00+00:00,long,35914,2023-01-12 18:00:00+00:00,2023-01-12 18:15:00+00:00,2023-01-12 18:15:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.010458562876714284,0.02992667300044747,0.02137530342715791,1.5244548468927772,0.004557043160499533,0.0043577699431319086,0.006583836176763601,0.004122323876688089,0.3376573654777197,0,0.041666666666666664,0.01157661158142842,0.022393160703153336,0.0431562071969267,4,0.0029665391998332513,1.0366470340434035,0.7798443122997811,0.905858517118832,0.007732212398976683,1.6469750665221994,0.056168336504504,0.0800398795189182,0.007519536049540587,0.027641091502041748,0.0280861568667079,0.01758259030635556,0.01841205828935899
pine-v9|long|35954|2023-01-13T04:00:00+00:00,long,35954,2023-01-13 04:00:00+00:00,2023-01-13 04:15:00+00:00,2023-01-13 04:15:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.0015323523773347755,0.020981579098075624,0.01658510939704064,1.0687947153713786,0.0020745318812100825,0.005074028290576379,-0.0013804822657106717,-0.01128067115194594,0.007224205390598564,7,0.16666666666666666,0.000610526472613282,0.002147106524134079,0.02206822426283872,2,0.002504786560258321,0.6494798377443147,-0.38149278810805437,0.8180965172113182,0.003607382763945991,0.7061389584773377,0.04019111661652803,0.08488409131127239,0.007609272695098257,0.0013679987524986004,0.004065300668784522,-0.006567798099979538,0.018961960676831646
pine-v9|long|36000|2023-01-13T15:30:00+00:00,long,36000,2023-01-13 15:30:00+00:00,2023-01-13 15:45:00+00:00,2023-01-13 15:45:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.0023680499345037995,0.014858885800846952,0.01074314378090837,1.2000972077850272,0.0014080425558549337,0.0011875191623092454,0.0008524413241772853,0.001959496261945443,0.12513894979437312,53,1.0,0.0033810052398737245,0.005770773245878047,0.018566945906045795,4,0.0016066967320180758,1.7369632329734355,0.705020219586561,1.6561255753858335,0.003917839031676163,0.8628014904376,0.01605318631425327,0.07079758320936828,0.004371091574368435,0.007329076976613891,0.00891256721768574,0.0050379083114859835,0.004255168507504958
pine-v9|long|36298|2023-01-16T18:00:00+00:00,long,36298,2023-01-16 18:00:00+00:00,2023-01-16 18:15:00+00:00,2023-01-16 18:15:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.0030255471434685343,0.011117420584041249,0.007016428932493103,1.3226058225546309,0.0020379711594535263,0.00403002909661781,0.00048531133030030055,-0.0025407275429561644,0.15966200953205012,0,0.16666666666666666,0.0027467207766631585,0.0054212735329211,0.014051321337347211,3,0.0012680325352716348,0.3573693382154349,-0.3948791317030986,0.7684819788654449,0.005246619240943358,1.0890369153847794,0.036075563680682515,0.04426055999230251,0.0024182943647967914,0.0034888286676151292,0.02244331783332143,0.008800595334390371,-0.009806972859329632
pine-v9|long|36373|2023-01-17T12:45:00+00:00,long,36373,2023-01-17 12:45:00+00:00,2023-01-17 13:00:00+00:00,2023-01-17 13:00:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.0019608845733049005,0.009531288189335355,0.006533529765769124,1.2664782417999516,0.00108011765542828,0.0008279210749815771,0.000798379188131126,0.0008005616440442285,0.11499062193659244,36,0.75,0.0007832292736817958,0.002751048382641841,0.010421389713223927,4,0.001039384349875716,1.8282020505997743,0.1972294519612553,1.362119524130084,0.0033051627173200445,0.6638732117560907,0.025477707006369428,0.0566751592356688,0.004178343949044594,0.0005990848023658124,0.0034449479422988816,0.00668774085164503,0.0024390555364006694
pine-v9|long|36430|2023-01-18T03:00:00+00:00,long,36430,2023-01-18 03:00:00+00:00,2023-01-18 03:15:00+00:00,2023-01-18 03:15:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.0027772609613995634,0.010385778084600113,0.0072353171118055394,1.3405532937586384,0.001456225854997521,0.00253630841706839,0.00031445981926730374,-0.00308131033784694,0.3207350134596424,9,0.4583333333333333,0.005759451149990991,0.008576664433564751,0.016376103754882854,4,0.0010370421061793866,2.037434313442927,0.460126572838445,1.5140850802409687,0.00469475510855007,1.0216350861915082,0.024610217674325065,0.0562707941559381,0.0018176214944749525,0.008217979366277106,0.01629274528603397,0.005775337474539288,0.008333069093445777
pine-v9|short|36559|2023-01-19T11:15:00+00:00,short,36559,2023-01-19 11:15:00+00:00,2023-01-19 11:30:00+00:00,2023-01-19 11:30:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.004320071567888796,0.016164039779117588,0.01276289582615916,1.146133745358074,0.0031551237226383807,0.003525274168090698,0.0012887039628188797,-0.001175984478318291,0.22471117349106062,0,0.10416666666666667,0.0034870907157293907,0.007807162283618219,0.019651130494847013,4,0.0018711163001636777,2.3443390149392767,-0.1955164376321699,1.3495626933084777,0.0028167152504244555,0.5087125130129688,0.01682792051689061,0.07431947362528069,0.0011539273091734081,0.004210581545585179,0.006601674954200609,0.00666666666666671,0.0048828125
pine-v9|long|36987|2023-01-23T22:15:00+00:00,long,36987,2023-01-23 22:15:00+00:00,2023-01-23 22:30:00+00:00,2023-01-23 22:30:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.0021402934707521848,0.0021402934707521848,0.000273748314352863,1.1374853855781997,0.0016515388063019264,0.002713603854334652,0.00013409663739241597,-0.004084618366998947,0.2807737288429127,17,0.6458333333333334,0.0013595205730365656,0.003287426450565789,0.0031548226904940524,3,1.0317767296319502e-05,0.13798288883402043,-0.4909848008024854,0.4398807421293901,0.004372722692392667,1.0372975488479537,0.04096559575470836,0.05060563957865362,0.004510928443332007,0.0005818012566907171,0.006300890624422628,0.012430673896204558,-0.0018450297220847789
pine-v9|short|37756|2023-01-31T22:30:00+00:00,short,37756,2023-01-31 22:30:00+00:00,2023-01-31 22:45:00+00:00,2023-01-31 22:45:00+00:00,side_aligned_v1,pine_eth_15m_v9_raw_guarded_signal_v1,0.003395920847525827,0.0048283849220183,0.0024163442881016592,2.0063884721108822,0.003131162344291014,0.005346661852987773,-0.0010116443254841868,-0.0034505733285087503,0.24421849684050206,0,0.3125,6.389541588558423e-05,0.0027201574009070306,0.004892280337903898,3,0.0003255359986089612,0.6955899789003419,-0.3048932530116519,1.4367185846987656,0.004151106628230648,1.1839528138251167,0.027068984089368215,0.06940228996508657,0.009537638810705795,-0.004129286759559703,0.012427646193798658,0.009837690652311548,-0.005043718596165148
