feature_filter,variant,period,risk_percent,trades,gross_bp_per_trade,project_net_bp_per_trade,pine_net_bp_per_trade,win_rate,monetary_profit_factor,unit_profit_factor,return_percent,max_drawdown_15m_percent,max_drawdown_daily_percent,median_holding_bars,mean_leverage,max_leverage,long_trades,short_trades,period_end_exits,min_block_net_bp,weighted_net_bp,development_selected,selection_note
none,feature_none,2023H1,1.0,42,81.01980557981084,61.01980557981081,60.964550455408336,0.16666666666666666,1.9664614295632787,1.7102952243021816,39.79616799372436,16.638250217944673,14.95038591197211,33.5,0.8321384810863532,1.6893045897079273,24,18,1,41.4930219849321,96.03593848104391,False,development diagnostic only
none,feature_none,2023H2,1.0,42,61.493021984932106,41.4930219849321,41.41539833402185,0.11904761904761904,1.8603279624406746,1.762599844336993,21.83506503945354,16.71851143585299,15.080162696283361,82.0,1.1316964135240708,2.137486979166666,15,27,1,41.4930219849321,96.03593848104391,False,development diagnostic only
none,feature_none,2024H1,1.0,38,219.75929700700925,199.75929700700925,199.64779026505497,0.21052631578947367,3.549017414552155,4.160123396397319,60.321152845902006,9.476749657471428,8.056911620344554,38.5,0.7085728433217361,1.4408510638297873,17,21,0,41.4930219849321,96.03593848104391,False,development diagnostic only
none,feature_none,2024H2,1.0,45,112.03577071886177,92.03577071886176,92.03379837277885,0.17777777777777778,2.259705455541635,2.1827247827717957,30.522272456029786,12.192178930474462,10.16256226519201,47.0,0.636496012243711,1.5282016179215931,24,21,0,41.4930219849321,96.03593848104391,False,development diagnostic only
ema200_price_side,feature_ema200_price_side,2023H1,1.0,42,81.01980557981084,61.01980557981081,60.964550455408336,0.16666666666666666,1.9664614295632787,1.7102952243021816,39.79616799372436,16.638250217944673,14.95038591197211,33.5,0.8321384810863532,1.6893045897079273,24,18,1,41.4930219849321,96.03593848104391,False,development diagnostic only
ema200_price_side,feature_ema200_price_side,2023H2,1.0,42,61.493021984932106,41.4930219849321,41.41539833402185,0.11904761904761904,1.8603279624406746,1.762599844336993,21.83506503945354,16.71851143585299,15.080162696283361,82.0,1.1316964135240708,2.137486979166666,15,27,1,41.4930219849321,96.03593848104391,False,development diagnostic only
ema200_price_side,feature_ema200_price_side,2024H1,1.0,38,219.75929700700925,199.75929700700925,199.64779026505497,0.21052631578947367,3.549017414552155,4.160123396397319,60.321152845902006,9.476749657471428,8.056911620344554,38.5,0.7085728433217361,1.4408510638297873,17,21,0,41.4930219849321,96.03593848104391,False,development diagnostic only
ema200_price_side,feature_ema200_price_side,2024H2,1.0,45,112.03577071886177,92.03577071886176,92.03379837277885,0.17777777777777778,2.259705455541635,2.1827247827717957,30.522272456029786,12.192178930474462,10.16256226519201,47.0,0.636496012243711,1.5282016179215931,24,21,0,41.4930219849321,96.03593848104391,False,development diagnostic only
ema55_price_side,feature_ema55_price_side,2023H1,1.0,41,85.16557909415494,65.16557909415492,65.10680660309608,0.17073170731707318,2.052810066222728,1.7635503508038912,41.52823003998576,16.638250217944673,14.95038591197211,33.0,0.8250164980653805,1.6893045897079273,23,18,1,41.4930219849321,97.92096142328867,False,development diagnostic only
ema55_price_side,feature_ema55_price_side,2023H2,1.0,42,61.493021984932106,41.4930219849321,41.41539833402185,0.11904761904761904,1.8603279624406746,1.762599844336993,21.83506503945354,16.71851143585299,15.080162696283361,82.0,1.1316964135240708,2.137486979166666,15,27,1,41.4930219849321,97.92096142328867,False,development diagnostic only
