variant,period,risk_percent,trades,gross_bp_per_trade,project_net_bp_per_trade,pine_net_bp_per_trade,win_rate,monetary_profit_factor,unit_profit_factor,return_percent,max_drawdown_15m_percent,max_drawdown_daily_percent,median_holding_bars,mean_leverage,max_leverage,long_trades,short_trades,period_end_exits,component_order
core_cross_only,2023H1,1.0,310,11.509782874490623,-8.490217125509387,-8.508522105914505,0.18064516129032257,0.8472241162321337,0.8551702482914125,-21.260747837654883,26.829769858016363,25.351511004250472,24.0,0.88877974309846,2.4413673469387756,153,157,1,0
core_cross_only,2023H2,1.0,298,-2.0663929792207916,-22.066392979220797,-22.06672363337591,0.20134228187919462,0.6739976367271321,0.6198928813692485,-41.923087292305084,47.84298430731333,47.183187156865905,28.5,1.0781871534717014,2.42903984217562,146,152,1,0
core_cross_only,2024H1,1.0,295,-2.5892298524519357,-22.58922985245195,-22.58496545912809,0.19322033898305085,0.6990221444611933,0.679909179502253,-33.670228077732666,37.041691385394536,36.735847793026444,26.0,0.6912331429866156,1.7045431726907627,153,142,0,0
core_cross_only,2024H2,1.0,293,-5.727048701205152,-25.727048701205167,-25.7363103195625,0.17747440273037543,0.6142162165545969,0.6673018968755209,-40.12333569147939,42.216753089551005,41.93119730403212,21.0,0.6234026794830675,1.6092287239904373,151,142,1,0
core_plus_ema100_regime,2023H1,1.0,147,3.240479585472061,-16.75952041452795,-16.804244939089468,0.1360544217687075,0.7638412726912536,0.7807991773710128,-18.63378945848886,28.98206014914104,27.796339885317877,37.0,0.7965697208476825,2.031273787629142,70,77,1,1
core_plus_ema100_regime,2023H2,1.0,164,-12.637072463207973,-32.63707246320799,-32.633207708180755,0.1402439024390244,0.5995797641652231,0.5060266586378954,-34.098189078029314,38.72689587155814,37.78944280537644,40.0,1.091975617484939,2.4290398421756207,83,81,1,1
core_plus_ema100_regime,2024H1,1.0,151,14.092122179680398,-5.907877820319615,-5.914281260853817,0.1456953642384106,1.0909708196340981,0.9220619128867216,7.387938433961683,23.65114274692126,20.474134561764313,40.0,0.6587853501500399,1.5764089773438559,80,71,0,1
core_plus_ema100_regime,2024H2,1.0,158,7.955286087634374,-12.044713912365646,-12.054999034900671,0.13291139240506328,0.7947545646172186,0.8554557197729876,-14.403111694464965,28.61357403153718,27.34547086024357,29.0,0.5840793768754532,1.5587525643123696,84,74,1,1
core_plus_slope12,2023H1,1.0,54,57.655090156682945,37.65509015668292,37.59000531310966,0.14814814814814814,1.6912712408250834,1.4307559278915012,34.37799671416928,17.476493016282923,16.283335585567105,45.0,0.79917304660465,1.6746582984658303,32,22,1,2
core_plus_slope12,2023H2,1.0,75,-10.11109128082488,-30.11109128082489,-30.122899527816426,0.09333333333333334,0.5255711482639908,0.5809081741787749,-22.611083633822215,27.882258160053475,26.603194021499622,40.0,1.1201495796356968,2.1374869791666664,36,39,1,2
core_plus_slope12,2024H1,1.0,50,163.43352765725822,143.43352765725822,143.35824891365104,0.2,2.599612336466977,3.021600521616214,53.073042085449764,9.735334052523026,8.015196682862113,38.0,0.7338328995468596,1.4408510638297873,22,28,0,2
core_plus_slope12,2024H2,1.0,68,63.2339615720386,43.23396157203859,43.23572912625463,0.14705882352941177,1.715018182421886,1.5867151856936657,23.43626732220574,11.63218917726574,9.587042402282586,42.5,0.5912033018929165,1.3177395048439182,40,28,0,2
core_plus_osc_direction,2023H1,1.0,47,64.64053323260165,44.64053323260164,44.58513904151023,0.14893617021276595,1.7763735775020553,1.5151443553649162,34.50714057112349,16.853313540078176,15.035311323738377,34.0,0.8540553696598719,1.9624193548387094,26,21,1,3
core_plus_osc_direction,2023H2,1.0,55,3.8889375674806748,-16.11106243251933,-16.125426762203748,0.10909090909090909,0.8633346726533085,0.7853646925650325,-5.417894863187122,17.54018457716522,15.160081284581139,32.0,1.0970613244919183,2.137486979166666,28,27,1,3
core_plus_osc_direction,2024H1,1.0,41,202.1680657710485,182.16806577104848,182.06622934166774,0.1951219512195122,3.3396207225182706,3.9591044288163486,58.16832139129693,9.512444041735801,8.015196682862113,38.0,0.7116471881089242,1.4408510638297873,20,21,0,3
core_plus_osc_direction,2024H2,1.0,49,95.92281405654202,75.92281405654201,75.92161411498773,0.16326530612244897,2.053274026206619,1.9482745053508415,27.556849831763852,12.202064513004963,10.171048772119406,47.0,0.6200961101436876,1.5282016179215931,27,22,0,3
core_v9_threshold_0p1,2023H1,1.0,42,81.01980557981084,61.01980557981081,60.964550455408336,0.16666666666666666,1.9663081715899866,1.7102952243021816,39.79900126126466,16.685271509090306,14.863595053910917,33.5,0.8322539814104182,1.6893045897079273,24,18,1,4
core_v9_threshold_0p1,2023H2,1.0,42,61.493021984932106,41.4930219849321,41.41539833402185,0.11904761904761904,1.8601652686954122,1.762599844336993,21.83240646128919,16.73389582303041,15.182953077074501,82.0,1.1318481434868357,2.1374869791666664,15,27,1,4
core_v9_threshold_0p1,2024H1,1.0,38,219.75929700700925,199.75929700700925,199.64779026505497,0.21052631578947367,3.548986644868432,4.160123396397319,60.32406024704353,9.512444041735801,8.015196682862102,38.5,0.7086704529198538,1.4408510638297873,17,21,0,4
core_v9_threshold_0p1,2024H2,1.0,45,112.03577071886177,92.03577071886176,92.03379837277885,0.17777777777777778,2.2596480706471516,2.1827247827717957,30.52369560341095,12.215350734134066,10.184642341298344,47.0,0.6365754671178048,1.5282016179215931,24,21,0,4
