arm,period,control_seed,control_net_bp_per_trade,candidate_minus_control_bp_per_trade
baseline_v9,2023,0,-18.041264715502233,70.04893871122769
baseline_v9,2023,1,20.554688225899316,31.45298576982614
baseline_v9,2023,2,24.190843759138154,27.816830236587315
baseline_v9,2023,3,1.8634919908738987,50.144182004851565
baseline_v9,2023,4,25.111431674503972,26.896242321221486
baseline_v9,2023,5,18.882309290290333,33.12536470543513
baseline_v9,2023,6,1.9087812935744455,50.09889270215102
baseline_v9,2023,7,17.49013364651191,34.51754034921355
baseline_v9,2023,8,-2.4977565140532496,54.50543050977872
baseline_v9,2023,9,-16.212852357361264,68.22052635308671
baseline_v9,2023,10,37.49674691643908,14.510927079286374
baseline_v9,2023,11,17.066426156558872,34.94124783916658
baseline_v9,2023,12,19.97239233193825,32.035281663787195
baseline_v9,2023,13,-9.319182679089947,61.3268566748154
baseline_v9,2023,14,-1.4490973885511673,53.456771384276635
baseline_v9,2023,15,6.574592483792834,45.43308151193262
baseline_v9,2023,16,-19.26160493628098,71.26927893200643
baseline_v9,2023,17,11.203014690066011,40.80465930565945
baseline_v9,2023,18,28.53788305972517,23.469790936000294
baseline_v9,2023,19,-8.264777630267428,60.272451625992886
baseline_v9,2023,20,1.891587392611891,50.11608660311357
baseline_v9,2023,21,27.823459785285344,24.184214210440103
baseline_v9,2023,22,10.957432564287227,41.05024143143824
baseline_v9,2023,23,1.705646023225227,50.30202797250024
baseline_v9,2023,24,33.43352978841618,18.574144207309278
baseline_v9,2023,25,5.3097884328581335,46.69788556286734
baseline_v9,2023,26,9.401144458184993,42.60652953754047
baseline_v9,2023,27,-9.041208016117546,61.04888201184301
baseline_v9,2023,28,3.3145924071843886,48.69308158854106
baseline_v9,2023,29,-15.996831270757713,68.00450526648318
baseline_v9,2023,30,4.399980532926356,47.607693462799105
baseline_v9,2023,31,-3.7296021613988684,55.73727615712432
baseline_v9,2024,0,10.889134088306077,130.46584143717743
baseline_v9,2024,1,-10.018644302516051,151.37361982799953
baseline_v9,2024,2,16.34547249054642,125.00950303493708
baseline_v9,2024,3,15.174162401135137,126.18081312434836
baseline_v9,2024,4,18.28104668807551,123.07392883740803
baseline_v9,2024,5,14.530128594202617,126.82484693128087
baseline_v9,2024,6,11.145414049189968,130.20956147629354
baseline_v9,2024,7,26.677675769343125,114.67729975614039
baseline_v9,2024,8,19.920692137336598,121.4342833881469
baseline_v9,2024,9,22.121079060180154,119.23389646530336
baseline_v9,2024,10,58.78475729049502,82.57021823498849
baseline_v9,2024,11,-4.250900990710799,145.60587651619426
baseline_v9,2024,12,6.922955646890156,134.43201987859337
baseline_v9,2024,13,8.54329799678772,132.81167752869578
baseline_v9,2024,14,19.011969786922837,122.3430057385607
