raw_x0_px,raw_y0_px,raw_x1_px,raw_y1_px,global_x0_bar,global_x1_bar,price_high,price_low,context_x0_px,context_y0_px,context_x1_px,context_y1_px,event_order,events_total,episode_id,episode_candidate_count,day,rank,daily_return,symbol,class_id,class_name,confidence,window_len,window_start_i,window_end_i,window_end_time,core_start_i,core_end_i,core_start_time,core_end_time,core_length_bars,confirmation_bars,context_start_i,context_end_i,context_start_time,context_end_time,context_bars,post_detection_review_bars,model_input_pixel_sha256,boxes_per_document,canvas_width,canvas_height,image_path,image_sha256,image_size_bytes
824,416,1154,662,192.63694267515925,197.36624203821657,0.189210139275766,0.18161223398328688,1234,455,1303,594,1,30,HOT3D_FARTCOIN_001,16,2026-08-26T00:00:00+00:00,8,0.1668460710441335,FARTCOIN_USDT_SWAP,0,dense_long,0.8125612735748291,19,181,199,2026-08-26T01:45:00+00:00,193,197,2026-08-26T00:15:00+00:00,2026-08-26T01:15:00+00:00,5,2,109,236,2026-08-25T03:15:00+00:00,2026-08-26T11:00:00+00:00,128,37,2a3b0911c7c7ba11b3c08a6e8ae79866d2cb1a4ef0c5a2b389c357d308ee1343,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-hot3d-20260829-v1/results/charts/001_FARTCOINUSDT_P_LONG_20260826T0145Z.png,6f6c2e340b2fa13deafd7c90f1ef142d95301ef79dcb1d252fa4ccb66fb0a218,206025
785,294,1073,640,211.4625796178344,215.36066878980893,0.0017996144846796657,0.00172945069637883,1232,502,1289,657,2,30,HOT3D_RLS_001,14,2026-08-26T00:00:00+00:00,3,0.25973271353864,RLS_USDT_SWAP,0,dense_long,0.6336389780044556,18,201,218,2026-08-26T06:30:00+00:00,211,215,2026-08-26T04:45:00+00:00,2026-08-26T05:45:00+00:00,5,3,128,255,2026-08-25T08:00:00+00:00,2026-08-26T15:45:00+00:00,128,37,67fa1ffb620a3345a437f9467fa3d50465e90adce35b8f115f1359607869a48b,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-hot3d-20260829-v1/results/charts/002_RLSUSDT_P_LONG_20260826T0630Z.png,7b5f3b78fcfeec593dc4009a22c96fd383915e261443bcee628d741012801b05,202282
827,393,1153,702,212.6799363057325,217.35191082802547,0.16040922005571032,0.14860008356545962,1235,429,1303,662,3,30,HOT3D_LIGHT_001,14,2026-08-26T00:00:00+00:00,14,0.1103360811667724,LIGHT_USDT_SWAP,0,dense_long,0.7192975878715515,19,201,219,2026-08-26T06:45:00+00:00,213,217,2026-08-26T05:15:00+00:00,2026-08-26T06:15:00+00:00,5,2,129,256,2026-08-25T08:15:00+00:00,2026-08-26T16:00:00+00:00,128,37,d93591e9e1487eaf8ea15fddfaac7209f7287f5fbbbc2759d8bb87a664fff575,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-hot3d-20260829-v1/results/charts/003_LIGHTUSDT_P_LONG_20260826T0645Z.png,93838c11ccfd438e3685b8d92e668afb731d84c63778dcacd0e7842a5a54c07c,203823
824,261,1155,558,218.63694267515925,223.38057324840764,0.022321884532961928,0.021707721293964716,1234,458,1304,605,4,30,HOT3D_HUMA_001,12,2026-08-26T00:00:00+00:00,19,0.1045392022008253,HUMA_USDT_SWAP,0,dense_long,0.8408793210983276,19,207,225,2026-08-26T08:15:00+00:00,219,223,2026-08-26T06:45:00+00:00,2026-08-26T07:45:00+00:00,5,2,135,262,2026-08-25T09:45:00+00:00,2026-08-26T17:30:00+00:00,128,37,a7f6fca0ecd91a52ca01e4a27c635f302fb970106d3f83e16fb2bee952d0f007,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-hot3d-20260829-v1/results/charts/004_HUMAUSDT_P_LONG_20260826T0815Z.png,d513dac2e39762d921396f5455f0b11c3f27573bf77ce4018d04796ef37fa180,194063
873,221,1147,481,226.65366242038218,230.36226114649682,1.2576618662952648,1.2274812980501393,1249,453,1303,634,5,30,HOT3D_GAS_001,1,2026-08-26T00:00:00+00:00,11,0.1383968292485642,GAS_USDT_SWAP,1,dense_short,0.4427301287651062,18,215,232,2026-08-26T10:00:00+00:00,227,230,2026-08-26T08:45:00+00:00,2026-08-26T09:30:00+00:00,4,2,142,269,2026-08-25T11:30:00+00:00,2026-08-26T19:15:00+00:00,128,37,c26a174a0dd244134fea7c496e112769067021f98188959be1f9c4f02ac9bd25,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-hot3d-20260829-v1/results/charts/005_GASUSDT_P_SHORT_20260826T1000Z.png,83aa6ad78216f86fbc2b32e309e3a92e7d011eaa9a27cfd7024909b17606d1ce,206058
863,266,1145,664,228.51831210191082,232.33519108280254,0.03266791309192201,0.03146287108635098,1247,318,1303,582,6,30,HOT3D_CHIP_001,16,2026-08-26T00:00:00+00:00,16,0.1081587996248829,CHIP_USDT_SWAP,0,dense_long,0.6119326949119568,18,217,234,2026-08-26T10:30:00+00:00,229,232,2026-08-26T09:15:00+00:00,2026-08-26T10:00:00+00:00,4,2,144,271,2026-08-25T12:00:00+00:00,2026-08-26T19:45:00+00:00,128,37,df7fda6b7ef7b84340b91e0a01b4ca488c7db10dd867160506a8ee3759db7ff5,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-hot3d-20260829-v1/results/charts/006_CHIPUSDT_P_LONG_20260826T1030Z.png,d92e47cd3584e37f893c100626dc585fd6bcc166475f1d0478e17b0e39751cac,219603
862,401,1147,639,242.50477707006368,246.36226114649682,0.05363552646239554,0.05114070306406685,1247,616,1303,699,7,30,HOT3D_ONT_001,26,2026-08-26T00:00:00+00:00,2,0.2994458245748137,ONT_USDT_SWAP,0,dense_long,0.5968220233917236,18,231,248,2026-08-26T14:00:00+00:00,243,246,2026-08-26T12:45:00+00:00,2026-08-26T13:30:00+00:00,4,2,158,285,2026-08-25T15:30:00+00:00,2026-08-26T23:15:00+00:00,128,37,be1c447a83c5f2f5fafd05f1aff4257959fd5142dd94ce6d07e66d1e96ec9dbc,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-hot3d-20260829-v1/results/charts/007_ONTUSDT_P_LONG_20260826T1400Z.png,b2e50921b41b106fddcae6faf9810be6cee306a674f9ea1a2c1901d068aa4476,184963
871,433,1146,592,242.6265923566879,246.34872611464968,0.02833949415041783,0.027774003342618384,1249,581,1303,640,8,30,HOT3D_S_001,16,2026-08-26T00:00:00+00:00,7,0.168983174835406,S_USDT_SWAP,0,dense_long,0.956964373588562,18,231,248,2026-08-26T14:00:00+00:00,243,246,2026-08-26T12:45:00+00:00,2026-08-26T13:30:00+00:00,4,2,158,285,2026-08-25T15:30:00+00:00,2026-08-26T23:15:00+00:00,128,37,b57e89fea90a51a78aac68fe989c7e6ccda736534e034fe869947c4f76d3c98b,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-hot3d-20260829-v1/results/charts/008_SUSDT_P_LONG_20260826T1400Z.png,eeebd1e1f1b4146ffc35bb871af0343b7e429437c4c764df8cdf333d2dd281ea,192188
897,172,1153,599,243.68312101910828,247.35191082802547,1.2847944791086352,1.225047782729805,1250,483,1303,683,9,30,HOT3D_GAS_002,4,2026-08-26T00:00:00+00:00,11,0.1383968292485642,GAS_USDT_SWAP,0,dense_long,0.9405959248542786,19,231,249,2026-08-26T14:15:00+00:00,244,247,2026-08-26T13:00:00+00:00,2026-08-26T13:45:00+00:00,4,2,159,286,2026-08-25T15:45:00+00:00,2026-08-26T23:30:00+00:00,128,37,6b3ae998c77e76a767cf57683b50d5769f7eefbb1aa2df53a0938e232d39229a,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-hot3d-20260829-v1/results/charts/009_GASUSDT_P_LONG_20260826T1415Z.png,2d122e7dbf9baeb9be1de2bf76822137e074280d17830bc4c46be252d667a78f,195644
827,294,1150,498,252.6799363057325,257.3089171974522,0.13236505228412257,0.12679884883008358,1235,290,1303,422,10,30,HOT3D_ACU_001,15,2026-08-26T00:00:00+00:00,12,0.1246082797295067,ACU_USDT_SWAP,0,dense_long,0.6834045052528381,19,241,259,2026-08-26T16:45:00+00:00,253,257,2026-08-26T15:15:00+00:00,2026-08-26T16:15:00+00:00,5,2,169,296,2026-08-25T18:15:00+00:00,2026-08-27T02:00:00+00:00,128,37,97d630665323263d0debc7526448d288e2f4ea3a42871bb6c2294c192350293a,1,1920,1400,experiments/active/exp-15m-ma-launch-owner-grade-a8000-hot3d-20260829-v1/results/charts/010_ACUUSDT_P_LONG_20260826T1645Z.png,c4d592e2a334aa018c26b1e840d8ee0915cf1e17aa23bb95e176d7e001898783,213462
