period,path_membership,variant,signal_i,signal_time,direction,entry_time,exit_time,exit_reason,holding_bars,gross_return,project_net_return,trend_quality,trend_only_score,ewmac_only_score,donchian_only_score,dense_only_score
confirmation_2024,v12f_only,v12f_ma6_w8_full_gate,74883,2024-02-22 16:15:00+00:00,long,2024-02-22 16:30:00+00:00,2024-02-22 23:30:00+00:00,stop,28,0.0009999999999998899,-0.0010000000000001102,0.49841194606170336,0.5292098929536121,0.6080834784676886,0.4503363074395356,0.37522015849406853
confirmation_2024,v12f_only,v12f_ma6_w8_full_gate,99432,2024-11-04 09:30:00+00:00,short,2024-11-04 09:45:00+00:00,2024-11-05 14:15:00+00:00,stop,114,0.0010000000000000009,-0.0009999999999999992,0.5485976015280192,0.6062536491425796,0.5394037424365102,0.6731035558486489,0.31797341106977745
confirmation_2024,v12f_only,v12f_ma6_w8_full_gate,99571,2024-11-05 20:15:00+00:00,short,2024-11-05 20:30:00+00:00,2024-11-06 00:45:00+00:00,stop,17,-0.024319322201201032,-0.026319322201201034,0.5210389583124575,0.5279159500968895,0.5151534655467055,0.5406784346470737,0.4935309911747292
discovery_2023,v12f_only,v12f_ma6_w8_full_gate,37756,2023-01-31 22:30:00+00:00,short,2023-01-31 22:45:00+00:00,2023-02-01 19:30:00+00:00,stop,83,-0.016601296421850487,-0.01860129642185049,0.539012012187772,0.571559634093665,0.556487658761194,0.586631609426136,0.40882152456419957
discovery_2023,v15_only,v15e_soft_l2,37829,2023-02-01 16:45:00+00:00,short,2023-02-01 17:00:00+00:00,2023-02-01 19:30:00+00:00,stop,10,-0.013014454865032832,-0.015014454865032832,0.6505446478960537,0.6186128813969375,0.5568183409221568,0.6804074218717181,0.7782717138925186
discovery_2023,v12f_only,v12f_ma6_w8_full_gate,51414,2023-06-23 05:00:00+00:00,long,2023-06-23 05:15:00+00:00,2023-06-23 13:45:00+00:00,stop,34,-0.008895690850829752,-0.010895690850829752,0.5223309640872319,0.563571739406351,0.49978038711280803,0.6273630916998938,0.35736786281075544
discovery_2023,v12f_only,v12f_ma6_w8_full_gate,55060,2023-07-31 04:30:00+00:00,short,2023-07-31 04:45:00+00:00,2023-08-01 23:00:00+00:00,stop,169,0.0010000000000000009,-0.0009999999999999992,0.5462476204945427,0.5690339679564278,0.6092317814240947,0.5288361544887609,0.45510223064700206
discovery_2023,v12f_only,v12f_ma6_w8_full_gate,57076,2023-08-21 04:30:00+00:00,short,2023-08-21 04:45:00+00:00,2023-08-21 05:30:00+00:00,stop,3,-0.00717243683839941,-0.00917243683839941,0.5060553672364668,0.575278723046476,0.44935263475157067,0.7012048113413814,0.22916194399643022
discovery_2023,v12f_only,v12f_ma6_w8_full_gate,59251,2023-09-12 20:15:00+00:00,long,2023-09-12 20:30:00+00:00,2023-09-18 00:30:00+00:00,stop,496,0.0009999999999998899,-0.0010000000000001102,0.5435104117528313,0.5844156159742502,0.6524118084370243,0.5164194235114761,0.3798895948671559
final_preholdout_2025_202602,v12f_only,v12f_ma6_w8_full_gate,107605,2025-01-28 12:45:00+00:00,short,2025-01-28 13:00:00+00:00,2025-01-29 20:15:00+00:00,stop,125,0.0010000000000000009,-0.0009999999999999992,0.46872341537720424,0.5307119680004719,0.42596963950046446,0.6354542965004795,0.2207692048841333
