signal_i,signal_time,side,trend_ewmac_forecast,trend_donchian_forecast,trend_ensemble_forecast,trend_ensemble_horizon_dispersion,ewmac_only_score,donchian_only_score,trend_only_score,dense_only_score,trend_component_consensus,trend_quality,passes_soft_l0,passes_soft_l1,passes_soft_l2,passes_soft_l3,selected_profile,selected_gate_pass,outcome_label_included,training_eligible
327,2022-01-07 01:15:00+00:00,short,-0.6866017881492986,-0.47503306609610213,-0.5808174271227003,0.2059752193135987,0.8433008940746494,0.7375165330480511,0.7904087135613502,0.5043599197714205,1.0,0.7331989548033643,True,True,True,True,soft_l2,True,False,False
841,2022-01-12 09:45:00+00:00,long,0.5761865885636271,0.5993899778410473,0.5877882832023372,0.19022135779321106,0.7880932942818135,0.7996949889205236,0.7938941416011687,0.64532204702695,1.0,0.764179722686325,True,True,True,True,soft_l2,True,False,False
939,2022-01-13 10:15:00+00:00,long,0.5263701620334417,0.4486981104062509,0.48753413621984626,0.17707643925528735,0.7631850810167209,0.7243490552031254,0.7437670681099231,0.529122756407983,1.0,0.7008382057695351,True,True,True,True,soft_l2,True,False,False
1151,2022-01-15 15:15:00+00:00,long,0.3232533847158547,0.6223699037197236,0.47281164421778915,0.15355906581651463,0.6616266923579274,0.8111849518598617,0.7364058221088946,0.7890544044512413,1.0,0.746935538577364,True,True,True,True,soft_l2,True,False,False
1276,2022-01-16 22:30:00+00:00,long,0.18318838773590204,0.19122371778730854,0.1872060527616053,0.11416605005571547,0.591594193867951,0.5956118588936543,0.5936030263808026,0.6814437645432335,1.0,0.6111711740132888,True,True,True,True,soft_l2,True,False,False
1391,2022-01-18 03:15:00+00:00,short,-0.4473243280526021,-0.12837023683326867,-0.2878472824429354,0.3149001654190829,0.723662164026301,0.5641851184166343,0.6439236412214677,0.34941812119331206,0.8333333333333334,0.5850225372158366,True,True,True,False,soft_l2,True,False,False
1492,2022-01-19 04:30:00+00:00,short,-0.5402486077252626,-0.5788373040221871,-0.5595429558737249,0.09971748085702584,0.7701243038626313,0.7894186520110935,0.7797714779368625,0.7428209685369581,1.0,0.7723813760568816,True,True,True,True,soft_l2,True,False,False
1975,2022-01-24 05:15:00+00:00,short,-0.29674689476355565,-0.5326934647125953,-0.41472017973807546,0.20973924564973057,0.6483734473817778,0.7663467323562976,0.7073600898690378,0.8291745307699525,1.0,0.7317229780492208,True,True,True,True,soft_l2,True,False,False
2320,2022-01-27 19:30:00+00:00,short,-0.26430520462091933,-0.7002842544856236,-0.4822947295532714,0.24836990392835884,0.6321526023104597,0.8501421272428118,0.7411473647766357,0.6635990837722378,1.0,0.7256377085757562,True,True,True,True,soft_l2,True,False,False
2869,2022-02-02 12:45:00+00:00,long,0.42229798840439575,0.8237215745837977,0.6230097814940967,0.2538905323391376,0.7111489942021979,0.9118607872918989,0.8115048907470483,0.7535220647826666,1.0,0.7999083255541721,True,True,True,True,soft_l2,True,False,False
3296,2022-02-06 23:30:00+00:00,long,0.24567924843791475,1.0,0.6228396242189573,0.38786804399791824,0.6228396242189573,1.0,0.8114198121094787,0.7860253548419347,1.0,0.80634092065597,True,True,True,True,soft_l2,True,False,False
3628,2022-02-10 10:30:00+00:00,long,0.569349210886899,0.7627154595036455,0.6660323351952724,0.12493089873620906,0.7846746054434495,0.8813577297518227,0.8330161675976362,0.5881109003218457,1.0,0.7840351141424782,True,True,True,True,soft_l2,True,False,False
3755,2022-02-11 18:15:00+00:00,short,-0.3236035945242092,-0.7547444269073722,-0.5391740107157907,0.3073543831127812,0.6618017972621046,0.8773722134536861,0.7695870053578954,0.6150117338574123,1.0,0.7386719510577988,True,True,True,True,soft_l2,True,False,False
3821,2022-02-12 10:45:00+00:00,short,-0.6465747625311534,-0.38201844770356413,-0.5142966051173588,0.2914316154110492,0.8232873812655768,0.6910092238517821,0.7571483025586794,0.39059973813583737,1.0,0.683838589674111,True,True,True,True,soft_l2,True,False,False
3940,2022-02-13 16:30:00+00:00,short,-0.32694033528103467,-0.8992088910788119,-0.6130746131799233,0.311874059094263,0.6634701676405174,0.9496044455394059,0.8065373065899617,0.7542651976950192,1.0,0.7960828848109732,True,True,True,True,soft_l2,True,False,False
4010,2022-02-14 10:00:00+00:00,short,-0.3825997505036433,-0.12677060034934706,-0.25468517542649516,0.2548572254628245,0.6912998752518217,0.5633853001746736,0.6273425877132476,0.3223461840157459,1.0,0.5663433069737472,True,True,True,False,soft_l2,True,False,False
4190,2022-02-16 07:00:00+00:00,long,0.4368914235145356,-0.017975856144447615,0.20945778368504397,0.3945141372203821,0.7184457117572678,0.4910120719277762,0.604728891842522,0.28506767324105897,0.5,0.5407966481222294,True,True,False,False,soft_l2,False,False,False
4242,2022-02-16 20:00:00+00:00,long,0.3668817429201887,0.6508352769519691,0.5088585099360788,0.20168762515629046,0.6834408714600944,0.8254176384759846,0.7544292549680394,0.7045220833461698,1.0,0.7444478206436655,True,True,True,True,soft_l2,True,False,False
4489,2022-02-19 09:45:00+00:00,short,-0.632201419479496,-0.5017960862304651,-0.5669987528549806,0.2121078702922221,0.816100709739748,0.7508980431152326,0.7834993764274902,0.4522811073762089,1.0,0.717255722617234,True,True,True,True,soft_l2,True,False,False
4631,2022-02-20 21:15:00+00:00,short,-0.6340088745950503,-1.0,-0.8170044372975251,0.2239779759886071,0.8170044372975251,1.0,0.9085022186487626,0.5863566017178856,1.0,0.8440730952625872,True,True,True,True,soft_l2,True,False,False
4689,2022-02-21 11:45:00+00:00,short,-0.24350245536844942,-0.6693587466991691,-0.4564306010338092,0.3490329275314615,0.6217512276842247,0.8346793733495845,0.7282153005169046,0.2604166666666667,0.8333333333333334,0.6346555737468571,True,True,True,True,soft_l2,True,False,False
5074,2022-02-25 12:00:00+00:00,long,0.5246743418055172,0.8839342108587452,0.7043042763321311,0.24232233661778813,0.7623371709027587,0.9419671054293726,0.8521521381660655,0.523424780569953,1.0,0.7864066666468431,True,True,True,True,soft_l2,True,False,False
5487,2022-03-01 19:15:00+00:00,long,0.4541372103466174,0.27122029321428326,0.36267875178045034,0.2660193428026357,0.7270686051733087,0.6356101466071417,0.6813393758902252,0.388677049068464,1.0,0.6228069105258729,True,True,True,True,soft_l2,True,False,False
5523,2022-03-02 04:15:00+00:00,long,0.5750838702239783,0.6795961723703249,0.6273400212971516,0.11604526027676125,0.7875419351119892,0.8397980861851624,0.8136700106485758,0.7735795980911458,1.0,0.8056519281370899,True,True,True,True,soft_l2,True,False,False
5662,2022-03-03 15:00:00+00:00,short,-0.3495711043424559,-1.0,-0.6747855521712279,0.32885661786701836,0.6747855521712279,1.0,0.8373927760856139,0.5835589044722211,1.0,0.7866260017629354,True,True,True,True,soft_l2,True,False,False
5983,2022-03-06 23:15:00+00:00,short,-0.3819388878176035,-1.0,-0.6909694439088018,0.31097958674994913,0.6909694439088018,1.0,0.8454847219544008,0.8376902343802372,1.0,0.8439258244395682,True,True,True,True,soft_l2,True,False,False
6376,2022-03-11 01:30:00+00:00,short,-0.5042393597255889,-0.5870920293425365,-0.5456656945340627,0.11613827266356841,0.7521196798627945,0.7935460146712683,0.7728328472670314,0.7580005123867569,1.0,0.7698663802909766,True,True,True,True,soft_l2,True,False,False
6878,2022-03-16 07:00:00+00:00,long,0.42927496699852136,-0.2138930376882866,0.10769096465511736,0.41684702768861986,0.7146374834992607,0.3930534811558567,0.5538454823275587,0.47313856541102217,0.6666666666666666,0.5377040989442514,True,True,False,False,soft_l2,False,False,False
7437,2022-03-22 02:45:00+00:00,long,0.4381483477844992,0.8423000093041152,0.6402241785443071,0.21154556275096428,0.7190741738922496,0.9211500046520575,0.8201120892721536,0.8298840510605421,1.0,0.8220664816298313,True,True,True,True,soft_l2,True,False,False
7605,2022-03-23 20:45:00+00:00,long,0.08127620330502044,-0.18306112318469447,-0.050892459939837015,0.1821955086775807,0.5406381016525103,0.40846943840765276,0.4745537700300815,0.5561623817747539,0.3333333333333333,0.49087549237901595,True,False,False,False,soft_l2,False,False,False
7679,2022-03-24 15:15:00+00:00,long,0.5080823469497976,0.9825178826050047,0.7453001147774012,0.2468369094143676,0.7540411734748989,0.9912589413025024,0.8726500573887006,0.7769786537720753,1.0,0.8535157766653756,True,True,True,True,soft_l2,True,False,False
7833,2022-03-26 05:45:00+00:00,long,0.04079693457912842,0.4828024593702156,0.26179969697467204,0.45440240325061654,0.5203984672895642,0.7414012296851078,0.630899848487336,0.2982080813339518,0.6666666666666666,0.5643614950566592,True,True,True,False,soft_l2,True,False,False
