variant,period,assignment_seed_index,status,candidate_minus_control_bp_per_trade
v15e_soft_l2,confirmation_2024,0,complete,203.4414654400362
v15e_soft_l2,confirmation_2024,1,complete,164.475054345933
v15e_soft_l2,confirmation_2024,2,complete,157.76597815974415
v15e_soft_l2,confirmation_2024,3,complete,196.2204340076782
v15e_soft_l2,confirmation_2024,4,complete,146.0927731812106
v15e_soft_l2,confirmation_2024,5,complete,158.61107385497266
v15e_soft_l2,confirmation_2024,6,complete,169.8567754981756
v15e_soft_l2,confirmation_2024,7,complete,165.48119562614193
v15e_soft_l2,discovery_2023,0,complete,122.24371989754842
v15e_soft_l2,discovery_2023,1,complete,72.27837215255542
v15e_soft_l2,discovery_2023,2,complete,71.98417731947602
v15e_soft_l2,discovery_2023,3,complete,100.78344361926429
v15e_soft_l2,discovery_2023,4,complete,105.01155464329632
v15e_soft_l2,discovery_2023,5,complete,105.30387812537218
v15e_soft_l2,discovery_2023,6,complete,113.75365451253012
v15e_soft_l2,discovery_2023,7,complete,107.85295088093375
v15e_soft_l2,final_preholdout_2025_202602,0,complete,17.95218433772149
v15e_soft_l2,final_preholdout_2025_202602,1,complete,44.31213502492755
v15e_soft_l2,final_preholdout_2025_202602,2,complete,-26.214393296567845
v15e_soft_l2,final_preholdout_2025_202602,3,complete,43.33159171049271
v15e_soft_l2,final_preholdout_2025_202602,4,complete,53.83804689603506
v15e_soft_l2,final_preholdout_2025_202602,5,complete,6.261794686593353
v15e_soft_l2,final_preholdout_2025_202602,6,complete,-6.334022214570603
v15e_soft_l2,final_preholdout_2025_202602,7,complete,33.8621480412456
