month,candidate_events,baseline_events,candidate_mean_net_bp,baseline_mean_net_bp,difference_bp
2024-01,60,60,-5.269864152633599,-12.608641351946032,7.338777199312432
2024-02,53,53,-9.042750371515904,-22.50298511565557,13.460234744139665
2024-03,59,59,-33.195869043729616,-34.36235450074902,1.1664854570194025
2024-04,56,56,-8.39521366241697,-16.689607249325903,8.294393586908933
2024-05,58,58,-24.27387018215795,-21.06330859881279,-3.2105615833451577
2024-06,56,56,-40.92403410917032,-36.19053544568172,-4.733498663488599
2024-07,48,48,10.652238591677511,3.471024962608017,7.181213629069495
2024-08,61,61,-18.94172091337635,-8.411476562188602,-10.530244351187749
2024-09,54,54,-22.85344233316289,-18.97041042428548,-3.8830319088774115
2024-10,62,62,-22.3228938728642,-20.02971851489056,-2.2931753579736407
2024-11,55,55,9.395272685041812,-10.545168771725319,19.94044145676713
2024-12,60,60,-38.53505539998208,-11.880014557738171,-26.655040842243906
