group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp
loss_to_loss,178,178,-66.86287182070271,-53.26304407317751,13.599827747525186,2420.769339059483
win_to_loss,22,22,107.67472204850895,-23.857865403088375,-131.53258745159727,-2893.71692393514
win_to_win,51,51,112.13872471475189,112.13872471475189,0.0,0.0
