arm,fold,month,n,known,mean_net_bp
baseline,2023H1,2023-01,11,11,10.335933193340603
baseline,2023H1,2023-02,12,12,-42.5211151389819
baseline,2023H1,2023-03,5,5,-47.09044432421816
baseline,2023H1,2023-04,12,12,-18.038017644920547
baseline,2023H1,2023-05,6,6,35.891051264323565
baseline,2023H1,2023-06,9,9,-12.841008441722595
baseline,2023H2,2023-07,14,14,-5.615290697852961
baseline,2023H2,2023-08,10,10,-14.681156451313777
baseline,2023H2,2023-09,11,11,-29.071704247826162
baseline,2023H2,2023-10,9,9,-50.498476007075396
baseline,2023H2,2023-11,10,10,-1.6253582169529075
baseline,2023H2,2023-12,12,12,-1.9536754552596263
baseline,2024H1,2024-01,10,10,0.6495642175459344
baseline,2024H1,2024-02,9,9,-55.83613750018267
baseline,2024H1,2024-03,10,10,11.95872053839471
baseline,2024H1,2024-04,9,9,-68.6673520190366
baseline,2024H1,2024-05,11,11,-33.041713552533075
baseline,2024H1,2024-06,6,6,-41.99094358176169
baseline,2024H2,2024-07,10,10,-22.72162412703332
baseline,2024H2,2024-08,12,12,56.2510288453306
baseline,2024H2,2024-09,9,9,7.907831798077979
baseline,2024H2,2024-10,16,16,-43.039173020588976
baseline,2024H2,2024-11,16,16,-19.306680827652066
baseline,2024H2,2024-12,12,12,5.236289302350737
candidate,2023H1,2023-01,11,11,-3.222244003918386
candidate,2023H1,2023-02,12,12,-40.86716647362542
candidate,2023H1,2023-03,5,5,-26.531170058363983
candidate,2023H1,2023-04,12,12,4.082131370991653
candidate,2023H1,2023-05,6,6,23.684523387071927
candidate,2023H1,2023-06,9,9,-7.044065478098948
candidate,2023H2,2023-07,14,14,-22.486792259665485
candidate,2023H2,2023-08,10,10,-5.49501154622288
candidate,2023H2,2023-09,11,11,-34.94977684177336
candidate,2023H2,2023-10,9,9,-46.06051844609126
candidate,2023H2,2023-11,10,10,-29.33695889102586
candidate,2023H2,2023-12,12,12,-24.507458125943504
candidate,2024H1,2024-01,10,10,-5.578883010316485
candidate,2024H1,2024-02,9,9,-40.12615673922103
candidate,2024H1,2024-03,10,10,24.851295381484228
candidate,2024H1,2024-04,9,9,-33.1397327248247
candidate,2024H1,2024-05,11,11,-26.17919516495762
candidate,2024H1,2024-06,6,6,-30.397179901791386
candidate,2024H2,2024-07,10,10,-5.73149438942006
candidate,2024H2,2024-08,12,12,13.691053744464405
candidate,2024H2,2024-09,9,9,-5.899275732930296
candidate,2024H2,2024-10,16,16,-47.98024619077598
candidate,2024H2,2024-11,16,16,-26.283774145565587
candidate,2024H2,2024-12,12,12,5.980849960643908
