group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp
loss_to_loss,366,366,-56.437312806728926,-40.3951808048911,16.04213200183782,5871.4203126726425
win_to_loss,39,39,80.97232374020021,-32.08956459028091,-113.06188833048105,-4409.413644888761
win_to_win,57,57,110.54133803415719,110.54133803415719,0.0,0.0
