event_id,mother_decision_time,baseline_net_bp,baseline_exit_time,baseline_exit_reason,baseline_mfe_r,baseline_hold_minutes,candidate_net_bp,candidate_exit_time,candidate_exit_reason,candidate_mfe_r,candidate_hold_minutes,delta_net_bp,exit_delay_minutes,outcome_transition,failed_launch_executed,baseline_partial_executed,baseline_partial_exit_time,candidate_partial_executed,candidate_partial_exit_time,sacrificed_recovery,prior_partial_path_cut
2023-01-02T02:00:00+00:00_L::control0,2023-01-08 05:00:00+00:00,-21.94825896494222,2023-01-08 10:00:00+00:00,transition_colour_exit,1.2280640696979332,300.0,-20.413267053169758,2023-01-08 06:30:00+00:00,fast_failed_launch,0.3018473976024848,90.0,1.5349919117724617,-210.0,loss_to_loss,True,False,,False,,False,False
2023-01-02T02:00:00+00:00_L::control1,2023-01-03 05:00:00+00:00,-2.0516815686644034,2023-01-03 13:00:00+00:00,transition_colour_exit,2.0783124578179257,480.0,-8.134333724860369,2023-01-03 07:35:00+00:00,fast_failed_launch,2.0783124578179257,155.0,-6.082652156195966,-325.0,loss_to_loss,True,True,2023-01-03 11:00:00+00:00,False,,False,True
2023-01-02T02:00:00+00:00_L::control2,2023-01-08 04:00:00+00:00,-27.080941057066028,2023-01-08 10:00:00+00:00,transition_colour_exit,0.8295022219136036,360.0,-25.546737161368746,2023-01-08 06:30:00+00:00,fast_failed_launch,0.003950010580483489,150.0,1.5342038956972814,-210.0,loss_to_loss,True,False,,False,,False,False
2023-01-23T20:00:00+00:00_L::control0,2023-01-16 20:00:00+00:00,-125.00938150581062,2023-01-16 21:20:00+00:00,hard_stop,0.8115904030331593,80.0,-55.338176493777105,2023-01-16 21:15:00+00:00,fast_failed_launch,0.8115904030331593,75.0,69.67120501203351,-5.0,loss_to_loss,True,False,,False,,False,False
2023-01-23T20:00:00+00:00_L::control1,2023-01-14 21:00:00+00:00,-132.48970838838136,2023-01-15 00:45:00+00:00,transition_colour_exit,0.6372823297488089,225.0,-5.4960078120512375,2023-01-15 00:20:00+00:00,fast_failed_launch,0.6372823297488089,200.0,126.99370057633013,-25.0,loss_to_loss,True,False,,False,,False,False
2023-01-23T20:00:00+00:00_L::control2,2023-01-15 18:00:00+00:00,-116.02211591121623,2023-01-15 18:05:00+00:00,hard_stop,0.0,5.0,-116.02211591121623,2023-01-15 18:05:00+00:00,hard_stop,0.0,5.0,0.0,0.0,loss_to_loss,False,False,,False,,False,False
2023-01-25T20:00:00+00:00_L::control0,2023-01-31 19:00:00+00:00,-87.50198501869531,2023-01-31 21:20:00+00:00,hard_stop,0.13107184377438133,140.0,-53.36196218402165,2023-01-31 19:20:00+00:00,fast_failed_launch,0.13107184377438133,20.0,34.14002283467366,-120.0,loss_to_loss,True,False,,False,,False,False
2023-01-25T20:00:00+00:00_L::control1,2023-01-27 19:00:00+00:00,-102.17298758988245,2023-01-27 22:10:00+00:00,hard_stop,1.795322115399108,190.0,-28.32535307261606,2023-01-27 20:50:00+00:00,fast_failed_launch,1.795322115399108,110.0,73.84763451726639,-80.0,loss_to_loss,True,False,,False,,False,False
2023-01-25T20:00:00+00:00_L::control2,2023-01-06 19:00:00+00:00,34.893536211931824,2023-01-07 05:00:00+00:00,transition_colour_exit,3.42682134116847,600.0,34.893536211931824,2023-01-07 05:00:00+00:00,transition_colour_exit,3.42682134116847,600.0,0.0,0.0,win_to_win,False,True,2023-01-07 01:25:00+00:00,True,2023-01-07 01:25:00+00:00,False,False
2023-02-05T11:00:00+00:00_S::control0,2023-02-25 16:00:00+00:00,-51.426994179704074,2023-02-25 16:15:00+00:00,transition_colour_exit,0.007142139594195597,15.0,-24.303281360706258,2023-02-25 16:05:00+00:00,fast_failed_launch,0.007142139594195597,5.0,27.123712818997816,-10.0,loss_to_loss,True,False,,False,,False,False
