policy,arm,period,reason,count
source_confirmations,v7,development,event_folded_follower,0
source_confirmations,v7,development,frozen_outcome_unavailable,9757
source_confirmations,v7,validation,event_folded_follower,0
source_confirmations,v7,validation,frozen_outcome_unavailable,15598
source_confirmations,v8,development,event_folded_follower,0
source_confirmations,v8,development,frozen_outcome_unavailable,6998
source_confirmations,v8,validation,event_folded_follower,0
source_confirmations,v8,validation,frozen_outcome_unavailable,11106
event_leaders,v7,development,event_folded_follower,12544
event_leaders,v7,development,frozen_outcome_unavailable,7249
event_leaders,v7,validation,event_folded_follower,20007
event_leaders,v7,validation,frozen_outcome_unavailable,11459
event_leaders,v8,development,event_folded_follower,10496
event_leaders,v8,development,frozen_outcome_unavailable,5292
event_leaders,v8,validation,event_folded_follower,16419
event_leaders,v8,validation,frozen_outcome_unavailable,8305
event_leaders_asset_cap,v7,development,event_folded_follower,12544
event_leaders_asset_cap,v7,development,asset_already_open,9334
event_leaders_asset_cap,v7,development,frozen_outcome_unavailable,7249
event_leaders_asset_cap,v7,validation,event_folded_follower,20007
event_leaders_asset_cap,v7,validation,asset_already_open,14770
event_leaders_asset_cap,v7,validation,frozen_outcome_unavailable,11459
event_leaders_asset_cap,v8,development,event_folded_follower,10496
event_leaders_asset_cap,v8,development,asset_already_open,7853
event_leaders_asset_cap,v8,development,frozen_outcome_unavailable,5292
event_leaders_asset_cap,v8,validation,event_folded_follower,16419
event_leaders_asset_cap,v8,validation,asset_already_open,12182
event_leaders_asset_cap,v8,validation,frozen_outcome_unavailable,8305
event_leaders_concurrency_cap_5,v7,development,event_folded_follower,12544
event_leaders_concurrency_cap_5,v7,development,concurrency_cap_5,30763
event_leaders_concurrency_cap_5,v7,development,frozen_outcome_unavailable,7249
event_leaders_concurrency_cap_5,v7,validation,event_folded_follower,20007
event_leaders_concurrency_cap_5,v7,validation,concurrency_cap_5,49273
event_leaders_concurrency_cap_5,v7,validation,frozen_outcome_unavailable,11459
event_leaders_concurrency_cap_5,v8,development,event_folded_follower,10496
event_leaders_concurrency_cap_5,v8,development,concurrency_cap_5,27685
event_leaders_concurrency_cap_5,v8,development,frozen_outcome_unavailable,5292
event_leaders_concurrency_cap_5,v8,validation,event_folded_follower,16419
event_leaders_concurrency_cap_5,v8,validation,concurrency_cap_5,43711
event_leaders_concurrency_cap_5,v8,validation,frozen_outcome_unavailable,8305
