policy,arm,period,source_confirmations,market_events,policy_candidates,folded_source_confirmations,frozen_outcome_available,accepted,blocked,blocked_frozen_outcome_unavailable,blocked_asset_already_open,blocked_concurrency_cap_5,censored_accepted,closed,max_concurrency_after_entry,cumulative_net_r,max_drawdown_r,pf_net_r,realized_10r_count
source_confirmations,v7,development,51217,38673,51217,0,41460,41460,9757,9757,0,0,2,41458,1048,2624.63644071892,3749.326641634443,1.0915939932898817,226
source_confirmations,v7,validation,81376,61369,81376,0,65778,65778,15598,15598,0,0,545,65233,913,-5784.200246167317,7181.611231496082,0.877215175280472,335
source_confirmations,v8,development,44139,33643,44139,0,37141,37141,6998,6998,0,0,2,37139,942,2807.6796943036798,3450.689562860991,1.1090058855689395,213
source_confirmations,v8,validation,69156,52737,69156,0,58050,58050,11106,11106,0,0,443,57607,760,-4829.462642945315,5996.928716447491,0.8838412582129701,319
event_leaders,v7,development,51217,38673,38673,12544,31424,31424,19793,7249,0,0,2,31422,765,1432.9967022452488,2942.3087444017,1.064583344148082,177
event_leaders,v7,validation,81376,61369,61369,20007,49910,49910,31466,11459,0,0,414,49496,653,-5180.942592597889,5809.683055068389,0.8580227995637855,255
event_leaders,v8,development,44139,33643,33643,10496,28351,28351,15788,5292,0,0,2,28349,692,1708.408983148765,2726.7358462049883,1.0854168932874169,167
event_leaders,v8,validation,69156,52737,52737,16419,44432,44432,24724,8305,0,0,340,44092,550,-4170.62954160984,4741.048348169964,0.8709139825249236,246
event_leaders_asset_cap,v7,development,51217,38673,38673,12544,31424,22090,29127,7249,9334,0,2,22088,345,1273.408025220082,1748.8590962261997,1.0827255085212488,130
event_leaders_asset_cap,v7,validation,81376,61369,61369,20007,49910,35140,46236,11459,14770,0,300,34840,367,-3752.1409469784244,3822.877857827084,0.8532762246821459,181
event_leaders_asset_cap,v8,development,44139,33643,33643,10496,28351,20498,23641,5292,7853,0,2,20496,332,1236.2070166167337,1622.5724164868116,1.085889592209489,127
event_leaders_asset_cap,v8,validation,69156,52737,52737,16419,44432,32250,36906,8305,12182,0,263,31987,335,-3192.9207398917647,3289.505529658687,0.8635280067215132,175
event_leaders_concurrency_cap_5,v7,development,51217,38673,38673,12544,31424,661,50556,7249,0,30763,0,661,5,-27.76764324258866,58.48142957421969,0.9462145940126436,2
event_leaders_concurrency_cap_5,v7,validation,81376,61369,61369,20007,49910,637,80739,11459,0,49273,18,619,5,-182.7630957595021,190.29662738422155,0.6287934789034506,2
event_leaders_concurrency_cap_5,v8,development,44139,33643,33643,10496,28351,666,43473,5292,0,27685,0,666,5,23.60647981957011,64.36890004251798,1.0460890693488978,5
event_leaders_concurrency_cap_5,v8,validation,69156,52737,52737,16419,44432,721,68435,8305,0,43711,15,706,5,-77.76634966251532,96.39811014896202,0.8475656723006643,3
