event_id,symbol,review_group,semantic_status,geometry_status,win_len,box_bars,box_center_ratio,position_band,post_bars,image_path,anchor_time
270b9d4ee1cee4c9,AERO_USDT_SWAP,delay_3,unreviewed,unreviewed,23,5,0.7727272727272727,right_band,3,datasets/dense_owner_w20_midbox/images/train/AERO_USDT_SWAP_005730_w20.png,2025-08-30 23:30:00+00:00
d7215a6504cdbd14,APT_USDT_SWAP,delay_3,unreviewed,unreviewed,28,5,0.8148148148148148,far_right_band,3,datasets/dense_owner_w20_midbox/images/train/APT_USDT_SWAP_011130_w20.png,2025-09-24 18:45:00+00:00
cfa785bf905c49cf,INIT_USDT_SWAP,delay_3,unreviewed,unreviewed,29,7,0.7857142857142857,right_band,3,datasets/dense_owner_w20_midbox/images/train/INIT_USDT_SWAP_002530_w20.png,2025-06-29 18:15:00+00:00
d9de07a7f2701603,LUNA_USDT_SWAP,delay_3,unreviewed,unreviewed,21,5,0.75,right_band,3,datasets/dense_owner_w20_midbox/images/train/LUNA_USDT_SWAP_023087_w20.png,2026-01-29 01:45:00+00:00
d1492c561f290136,AIXBT_USDT_SWAP,delay_3,unreviewed,unreviewed,28,5,0.8148148148148148,far_right_band,3,datasets/dense_owner_w20_midbox/images/train/okx_AIXBT_USDT_SWAP_023860_w20.png,2026-02-08 01:30:00+00:00
01dc726f31b26d73,SOL_USDT_SWAP,delay_3,unreviewed,unreviewed,24,7,0.7391304347826086,right_band,3,datasets/dense_owner_w20_midbox/images/train/SOL_USDT_SWAP_014930_w20.png,2025-11-03 03:00:00+00:00
56aed97ff8fd03a3,ANIME_USDT_SWAP,delay_3,unreviewed,unreviewed,23,5,0.7727272727272727,right_band,3,datasets/dense_owner_w20_midbox/images/val/okx_ANIME_USDT_SWAP_014360_w20.png,2025-11-02 12:15:00+00:00
6769ca2aacf56f21,GMX_USDT_SWAP,delay_3,unreviewed,unreviewed,28,5,0.8148148148148148,far_right_band,3,datasets/dense_owner_w20_midbox/images/train/GMX_USDT_SWAP_001730_w20.png,2025-06-20 15:00:00+00:00
1437d820fab2c822,AERO_USDT_SWAP,delay_3,unreviewed,unreviewed,23,7,0.7272727272727273,right_band,3,datasets/dense_owner_w20_midbox/images/train/AERO_USDT_SWAP_013130_w20.png,2025-11-16 12:45:00+00:00
80ae71f30f30f0f9,SHELL_USDT_SWAP,delay_3,unreviewed,unreviewed,23,5,0.7727272727272727,right_band,3,datasets/dense_owner_w20_midbox/images/train/okx_SHELL_USDT_SWAP_004060_w20.png,2025-07-16 15:00:00+00:00
d072c9ef1f35254c,AEVO_USDT_SWAP,delay_3,unreviewed,unreviewed,27,5,0.8076923076923077,far_right_band,3,datasets/dense_owner_w20_midbox/images/val/AEVO_USDT_SWAP_023698_w20.png,2026-02-05 07:30:00+00:00
