minutes,cohort,arm,feature,n,top_n,descriptive_auc,top_gross_bp,top_net_bp,top_win_rate,top_matched_actual_bp,top_random_bp,top_excess_bp
60,altcoins,burst_trail,relative_volume,1600,160,0.48083457514283284,-125.51926081495499,-145.5192608149549,0.26875,-153.90296736208438,333.66379615499716,-487.5667635170814
60,altcoins,burst_trail,tr_expansion,1600,160,0.4850023055108636,-257.526170721201,-277.526170721201,0.2875,-275.0726866779442,350.15698940316855,-625.2296760811128
60,altcoins,focus_trail,relative_volume,21918,2192,0.5030271706051067,-112.90611404234048,-132.9061140423405,0.27144160583941607,-135.50520871285704,124.35996066125865,-259.86516937411574
60,altcoins,focus_trail,tr_expansion,21918,2192,0.4929626698245596,-107.36287705771214,-127.36287705771215,0.2645985401459854,-129.70742541803844,138.26549821490391,-267.9729236329424
60,BTC,burst_trail,relative_volume,13,2,0.43333333333333335,7.256520221660111,-12.74347977833989,0.5,-12.74347977833989,46.65279022916543,-59.39627000750532
60,BTC,burst_trail,tr_expansion,13,2,0.4666666666666667,-340.0094952055316,-360.0094952055316,0.0,-360.0094952055316,-347.9324236795785,-12.07707152595313
60,BTC,focus_trail,relative_volume,66,7,0.6438969764837627,607.6213965690264,587.6213965690264,0.5714285714285714,587.6213965690264,25.319638454798355,562.3017581142279
60,BTC,focus_trail,tr_expansion,66,7,0.6886898096304591,433.40982625862864,413.40982625862864,0.42857142857142855,413.40982625862864,10.547075728690325,402.8627505299383
60,ETH,burst_trail,relative_volume,6,1,0.6,-909.5817459164434,-929.5817459164437,0.0,-929.5817459164437,-285.1486640132287,-644.433081903215
60,ETH,burst_trail,tr_expansion,6,1,0.8,-909.5817459164434,-929.5817459164437,0.0,-929.5817459164437,-285.1486640132287,-644.433081903215
60,ETH,focus_trail,relative_volume,68,7,0.4688888888888889,-180.72876967978164,-200.72876967978166,0.14285714285714285,-200.72876967978166,123.56773666864471,-324.29650634842636
60,ETH,focus_trail,tr_expansion,68,7,0.47,279.49755912153336,259.4975591215333,0.42857142857142855,259.4975591215333,222.46766390360045,37.029895217932825
240,altcoins,burst_trail,relative_volume,380,38,0.48375611927013795,-1327.0778719341101,-1347.0778719341101,0.15789473684210525,-1014.6081526807035,2331.6058104299177,-3346.213963110621
240,altcoins,burst_trail,tr_expansion,380,38,0.48474889596384924,-727.0846252196909,-747.0846252196909,0.2631578947368421,-348.028701087018,2407.8089150769515,-2755.83761616397
240,altcoins,focus_trail,relative_volume,4493,450,0.5036178732563192,-344.1812225156677,-364.1812225156677,0.2288888888888889,-477.45394586804656,497.12694127886243,-974.580887146909
240,altcoins,focus_trail,tr_expansion,4493,450,0.507855981132424,-109.79174516900221,-129.79174516900224,0.28888888888888886,-200.49503524404463,704.7883316509073,-905.2833668949518
240,BTC,burst_trail,relative_volume,1,1,,-315.3682644866607,-335.3682644866607,0.0,-335.3682644866607,244.235908414406,-579.6041729010667
240,BTC,burst_trail,tr_expansion,1,1,,-315.3682644866607,-335.3682644866607,0.0,-335.3682644866607,244.235908414406,-579.6041729010667
240,BTC,focus_trail,relative_volume,11,2,0.2777777777777778,-284.436016774236,-304.436016774236,0.0,-304.436016774236,8.883695636277565,-313.3197124105136
240,BTC,focus_trail,tr_expansion,11,2,0.2222222222222222,-284.436016774236,-304.436016774236,0.0,-304.436016774236,8.883695636277565,-313.3197124105136
240,ETH,burst_trail,relative_volume,1,1,,1406.0379349207474,1386.0379349207474,1.0,,,
240,ETH,burst_trail,tr_expansion,1,1,,1406.0379349207474,1386.0379349207474,1.0,,,
240,ETH,focus_trail,relative_volume,16,2,0.36507936507936506,-152.79518512795187,-172.79518512795187,0.5,-172.79518512795187,28.863391219123145,-201.658576347075
240,ETH,focus_trail,tr_expansion,16,2,0.2222222222222222,-761.932508263355,-781.932508263355,0.0,-781.932508263355,-50.077891154258765,-731.8546171090961
