minutes,cohort,arm,candidates,valid,paired0,matched_fraction,paired0_fraction,mean_gross_bp,mean_net_bp,median_net_r,win_rate,paired_actual_net_bp,paired_random_net_bp,mean_excess_bp,permutation_p,permutation_assets,asset_balanced_excess_bp,initial_stop_rate,natural_exits,boundary_marks,natural_20pct,natural_50pct,natural_5r,peak_r_max,net_r_max,risk_pct_median,holm_p
60,altcoins,burst_trail,1600,1600,1585,0.990625,0.990625,102.04865138992199,82.04865138992199,-1.0215068968318817,0.270625,85.96450508175111,330.5740152972607,-244.60951021550963,0.6073392660733926,551,-140.6244496942779,0.721875,1587,13,119,30,36,913.2509252405648,580.6340621761673,7.05761751432353,1.0
60,altcoins,focus_trail,21918,21918,21846,0.9967606533442832,0.9967150287434985,-8.526564073621925,-28.526564073621934,-1.042960263157895,0.279040058399489,-28.725174265115726,72.70760488264622,-101.43277914776196,1.0,643,-93.81259082874374,0.6886120996441281,21818,100,623,125,686,785.7280254777075,499.50777070063725,3.259295893500985,1.0
60,BTC,burst_trail,13,13,13,1.0,1.0,-140.29174993429413,-160.29174993429416,-1.0560424725665127,0.23076923076923078,-160.29174993429416,-33.7563959912655,-126.53535394302865,,1,-114.98837769507357,0.7692307692307693,13,0,0,0,0,4.8313572818970165,3.408400283135743,2.72389340428347,
60,BTC,focus_trail,66,66,66,1.0,1.0,50.85100342193078,30.851003421930784,-1.0970462861342427,0.2878787878787879,30.851003421930784,22.533500952341914,8.317502469588847,,1,10.3733984804338,0.6818181818181818,66,0,1,0,8,26.477854775534684,18.83583067188903,1.401675246085645,
60,ETH,burst_trail,6,6,5,0.8333333333333334,0.8333333333333334,-297.87769268190635,-317.8776926819064,-1.0475966108047676,0.16666666666666666,-315.4499471460382,70.4803052793522,-385.93025242539034,,1,-385.93025242539034,0.8333333333333334,6,0,0,0,0,3.7226493199290585,1.852434851172886,2.7648867704109596,
60,ETH,focus_trail,68,68,68,1.0,1.0,14.150743099538753,-5.849256900461256,-1.0844292240710482,0.2647058823529412,-5.849256900461256,83.55206558774371,-89.40132248820497,,1,-61.958739683221914,0.7058823529411765,68,0,2,0,5,19.975293390982166,14.720345892526309,1.743720415454415,
240,altcoins,burst_trail,380,380,314,0.8263157894736842,0.8263157894736842,-176.02481439782426,-196.02481439782426,-1.009512615685809,0.28157894736842104,-366.45545004670936,968.2830232902777,-1334.7384733369872,1.0,235,-1387.0200778483809,0.6789473684210526,361,19,54,21,12,37.08280254777069,17.927585987261146,14.82666565832261,1.0
240,altcoins,focus_trail,4493,4493,4271,0.9505898063654574,0.9505898063654574,5.219487757197351,-14.780512242802653,-1.0215715355805244,0.2851101713776986,-11.706810780366103,397.42681349750274,-409.1336242778688,1.0,611,-432.1931202861745,0.6672601825061206,4347,146,332,102,146,117.28793103448304,67.44416206896571,6.38888888888888,1.0
240,BTC,burst_trail,1,1,1,1.0,1.0,-315.3682644866607,-335.3682644866607,-1.0634179220047877,0.0,-335.3682644866607,244.235908414406,-579.6041729010667,,1,-579.6041729010667,1.0,1,0,0,0,0,0.0992186400112609,-1.0634179220047877,3.1536826448665995,
240,BTC,focus_trail,11,11,11,1.0,1.0,-262.2542823131249,-282.2542823131249,-1.0644514206661717,0.18181818181818182,-282.2542823131249,-32.92821373068707,-249.32606858243787,,1,-249.3260685824379,0.8181818181818182,11,0,0,0,0,2.807314276353504,0.5277303628470805,2.92302257983518,
240,ETH,burst_trail,1,1,0,0.0,0.0,1406.0379349207474,1386.0379349207474,1.555655614167293,1.0,,,,,0,,0.0,1,0,0,0,0,2.590429540316504,1.555655614167293,8.90967076709109,
240,ETH,focus_trail,16,16,14,0.875,0.875,481.34822500636324,461.34822500636324,-1.016285708535828,0.4375,271.29470737145334,752.1000887055759,-480.8053813341225,,1,-480.8053813341225,0.5625,16,0,3,0,3,24.690247599797917,18.815325248442004,3.8449631379655402,
